"ASVID","DonorA_Stool2","DonorA_Stool4","DonorA_Stool5","DonorA_Stool6","DonorA_Stool7","DonorA_Stool8","DonorA_Stool9","DonorA_Stool10","DonorA_Stool12","DonorA_Stool13","DonorA_Stool14","DonorA_Stool15","DonorA_Stool16","DonorA_Stool17","DonorA_Stool18","DonorA_Stool19","DonorA_Stool20","DonorA_Stool21","DonorA_Stool22","DonorA_Stool23","DonorA_Stool24","DonorA_Stool25","DonorA_Stool26","DonorA_Stool27","DonorA_Stool28","DonorA_Stool29","DonorA_Stool30","DonorA_Stool32","DonorA_Stool33","DonorA_Stool34","DonorA_Stool36","DonorA_Stool37","DonorA_Stool38","DonorA_Stool39","DonorA_Stool40","DonorA_Stool41","DonorA_Stool42","DonorA_Stool43","DonorA_Stool44","DonorA_Stool45","DonorA_Stool46","DonorA_Stool47","DonorA_Stool49","DonorA_Stool50","DonorA_Stool51","DonorA_Stool52","DonorA_Stool53","DonorA_Stool54","DonorA_Stool55","DonorA_Stool56","DonorA_Stool57","DonorA_Stool58","DonorA_Stool59","DonorA_Stool60","DonorA_Stool61","DonorA_Stool64","DonorA_Stool65","DonorA_Stool66","DonorA_Stool67","DonorA_Stool68","DonorA_Stool70"
"OTU_99",20,13,14,8,14,17,24,13,13,15,17,14,16,15,17,23,14,17,25,20,23,12,12,7,19,17,24,11,10,10,17,24,28,27,19,6,18,16,31,14,29,16,9,12,21,24,13,6,16,21,18,17,18,15,29,7,17,15,20,12,8
"OTU_219",15,15,11,2,10,23,30,9,11,14,11,2,11,16,16,14,17,17,15,22,19,19,34,23,35,12,32,14,22,22,15,9,5,9,12,21,23,10,10,12,14,15,17,15,16,17,19,15,31,17,32,11,18,11,9,11,20,51,3,5,1
"OTU_27",6,3,1,20,25,4,10,12,1,2,12,71,39,3,2,4,0,2,2,25,7,0,4,108,2,20,4,2,1,5,49,20,11,8,4,27,50,12,9,2,8,4,3,21,7,5,101,3,3,7,15,2,1,14,9,59,35,4,9,45,12
"OTU_131",11,8,9,34,19,11,14,12,3,7,7,7,7,11,25,14,8,13,5,7,1,0,0,2,2,8,14,35,13,6,22,10,16,32,14,4,1,4,17,32,45,25,10,3,8,9,50,10,12,23,26,5,8,11,29,73,47,12,19,25,8
"OTU_132",15,2,6,35,13,11,10,9,1,13,5,8,5,6,9,7,4,15,7,8,4,1,0,3,0,11,12,18,14,3,15,12,8,24,15,1,2,3,21,23,35,30,4,3,5,7,37,12,10,21,32,5,4,4,21,78,43,10,19,40,15
"OTU_160",5,28,13,4,17,12,20,8,2,40,17,1,10,9,4,28,0,26,1,15,10,13,1,4,12,25,24,12,10,5,7,40,17,10,0,20,26,26,4,7,8,26,10,2,15,20,2,3,19,70,9,4,12,5,5,10,6,16,2,4,16
"OTU_282",15,7,12,1,11,9,6,6,3,11,10,10,8,20,10,3,10,41,22,15,11,18,3,9,16,20,13,23,18,18,15,17,16,26,19,10,6,7,7,19,6,6,10,8,7,7,12,9,24,11,13,21,8,9,7,15,20,20,18,5,11
"OTU_26",4,7,39,2,55,27,4,16,0,2,0,15,3,21,5,6,6,2,6,4,5,0,3,3,8,5,3,2,1,5,5,5,4,3,13,74,40,0,19,5,3,47,4,10,8,4,13,8,10,6,9,23,35,31,9,18,6,12,1,1,2
"OTU_128",28,2,5,15,4,8,0,3,30,2,35,18,54,36,19,1,10,3,3,3,6,19,0,7,1,18,7,0,1,17,24,33,34,29,36,32,6,0,1,8,3,1,19,17,2,2,2,2,1,2,2,5,2,3,5,12,6,3,0,16,10
"OTU_50",2,1,0,3,12,6,5,4,1,0,8,88,52,2,0,78,6,2,0,11,9,2,2,23,4,17,1,0,1,1,7,2,4,3,4,7,32,10,1,0,2,3,6,4,11,3,40,4,2,3,1,1,2,14,6,76,20,5,3,27,16
"OTU_171",13,22,5,4,11,11,11,2,3,7,8,7,6,12,4,17,16,13,10,4,17,9,23,16,13,3,15,9,8,5,11,5,14,4,9,3,9,7,8,14,3,4,8,7,2,20,25,16,18,16,12,13,19,3,7,11,13,27,9,3,6
