"ASVID","nahant_5um_d1_544","nahant_5um_d2_547","nahant_5um_d3_550","nahant_5um_d4_553","nahant_5um_d5_556","nahant_5um_d6_559","nahant_5um_d7_562","nahant_5um_d8_565","nahant_5um_d9_568","nahant_5um_d10_571","nahant_5um_d11_574","nahant_5um_d12_576","nahant_5um_d13_579","nahant_5um_d14_582","nahant_5um_d15_585","nahant_5um_d16_588","nahant_5um_d17_591","nahant_5um_d18_594","nahant_5um_d19_597","nahant_5um_d20_600","nahant_5um_d21_603","nahant_5um_d22_606","nahant_5um_d23_609","nahant_5um_d24_612","nahant_5um_d25_615","nahant_5um_d26_618","nahant_5um_d27_621","nahant_5um_d29_624","nahant_5um_d30_627","nahant_5um_d31_630","nahant_5um_d32_633","nahant_5um_d33_636","nahant_5um_d34_639","nahant_5um_d35_642","nahant_5um_d36_645","nahant_5um_d38_648","nahant_5um_d39_651","nahant_5um_d40_654","nahant_5um_d41_657","nahant_5um_d42_660","nahant_5um_d43_663","nahant_5um_d44_666","nahant_5um_d45_670","nahant_5um_d46_672","nahant_5um_d47_675","nahant_5um_d48_678","nahant_5um_d49_681","nahant_5um_d51_684","nahant_5um_d52_687","nahant_5um_d53_690","nahant_5um_d54_693","nahant_5um_d55_696","nahant_5um_d56_699","nahant_5um_d57_702","nahant_5um_d58_705","nahant_5um_d59_708","nahant_5um_d60_711","nahant_5um_d61_714","nahant_5um_d62_718","nahant_5um_d63_720","nahant_5um_d64_723","nahant_5um_d65_726","nahant_5um_d66_729","nahant_5um_d67_733","nahant_5um_d68_735","nahant_5um_d69_738","nahant_5um_d70_741","nahant_5um_d71_744","nahant_5um_d72_747","nahant_5um_d73_750","nahant_5um_d74_753","nahant_5um_d75_756","nahant_5um_d76_759","nahant_5um_d77_762","nahant_5um_d78_765","nahant_5um_d79_768","nahant_5um_d80_771","nahant_5um_d81_774","nahant_5um_d82_777","nahant_5um_d83_780","nahant_5um_d84_783","nahant_5um_d85_786","nahant_5um_d86_789","nahant_5um_d87_792","nahant_5um_d88_795","nahant_5um_d90_798","nahant_5um_d91_801","nahant_5um_d92_804"
"OTU_114",5,29,15,13,2,5,10,6,30,19,24,14,28,24,6,10,3,17,19,4,10,43,4,13,1,2,12,8,13,16,11,0,45,36,32,10,20,28,13,14,7,3,6,60,2,11,9,10,17,7,12,21,43,8,8,43,14,20,10,2,10,18,24,25,29,2,15,12,2,19,20,22,5,21,13,22,2,3,15,2,17,8,6,8,3,5,26,27
"OTU_71",1,0,3,0,1,1,1,1,4,1,19,9,1,2,9,5,0,3,2,1,0,0,3,7,1,1,1,3,3,8,0,1,2,0,27,27,14,7,12,18,17,7,34,24,11,1,9,95,8,44,42,82,107,12,31,0,4,4,0,1,0,0,3,3,0,6,14,27,0,1,0,0,1,0,6,2,103,98,143,92,12,5,3,31,7,4,2,0
"OTU_77",48,20,19,25,21,32,17,26,22,9,12,6,2,5,3,8,1,14,33,6,14,14,6,5,0,2,9,7,6,8,9,7,7,13,0,42,10,32,34,17,7,25,2,13,11,22,14,15,23,22,14,12,6,16,18,6,15,20,25,8,6,37,36,28,27,28,21,25,28,15,30,10,6,5,9,1,3,3,9,13,15,10,13,6,11,7,3,5
"OTU_108",5,10,13,12,4,12,15,15,16,12,14,9,12,21,17,8,2,21,13,14,6,13,16,23,4,5,17,17,12,37,18,0,59,38,19,22,45,36,18,10,9,0,3,45,18,22,13,8,16,11,12,33,37,11,10,33,17,32,33,1,9,18,14,7,21,8,11,7,1,14,14,15,1,15,7,7,3,3,5,5,11,3,2,7,0,2,22,15
"OTU_56",0,1,1,1,0,0,0,1,2,0,4,0,0,0,2,2,0,4,2,0,0,2,1,6,1,0,0,0,3,4,1,1,7,94,281,37,12,23,12,34,3,3,31,109,8,0,2,133,17,16,11,18,43,6,15,0,1,7,4,3,0,0,1,2,0,1,4,5,1,0,0,0,0,4,71,30,29,27,47,21,8,1,3,24,10,9,0,0
"OTU_72",8,10,5,20,16,17,30,15,7,23,14,7,3,1,7,12,1,1,15,4,18,35,27,16,4,9,10,3,1,11,13,2,9,8,3,9,10,14,2,12,11,13,3,4,3,2,2,11,33,16,39,8,7,20,16,10,12,33,33,2,6,11,31,27,34,19,47,45,45,23,45,20,13,3,6,1,2,1,13,14,37,14,23,9,14,14,4,6
"OTU_70",39,12,9,21,15,19,30,30,30,41,10,13,5,8,4,15,4,21,55,7,28,26,32,16,14,17,9,18,12,4,6,23,11,16,2,34,9,13,19,14,7,24,8,8,8,5,8,14,26,15,18,5,5,16,9,7,12,11,18,5,1,23,23,15,14,17,21,18,24,16,17,10,5,5,12,0,4,4,14,12,10,3,7,4,5,7,2,0
"OTU_79",23,42,26,8,17,9,13,5,46,11,9,57,62,98,27,43,222,60,11,37,11,6,16,13,12,17,15,7,8,7,3,2,5,6,10,9,3,8,17,21,9,4,30,4,9,0,1,3,1,0,2,9,10,5,2,5,2,3,3,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,5,2,7,5,3,0,2,5,10,13,6,7,5,19
"OTU_14",33,88,62,11,35,16,22,12,30,7,9,13,8,2,4,0,25,10,26,44,81,84,19,16,26,24,42,22,24,18,22,15,11,6,1,1,0,3,13,3,13,3,2,18,4,0,3,12,13,12,9,7,9,13,2,8,6,0,0,0,0,0,1,0,2,10,0,0,5,8,34,26,15,4,9,3,3,2,4,3,2,7,18,11,10,5,7,2
"OTU_67",72,79,92,27,66,22,53,47,43,24,7,13,9,4,1,3,14,4,11,21,29,25,3,5,2,8,82,44,39,14,30,17,12,20,2,7,0,4,69,4,8,3,10,19,2,4,0,2,5,3,3,7,17,3,2,10,6,11,4,1,2,0,0,2,3,6,2,5,6,0,1,2,1,0,2,0,1,0,0,0,0,0,1,3,2,0,2,0
