"ASVID","nahant_unf_d0_1080","nahant_unf_d1_1083","nahant_unf_d2_1086","nahant_unf_d3_1089","nahant_unf_d4_1092","nahant_unf_d5_1095","nahant_unf_d6_1098","nahant_unf_d7_1101","nahant_unf_d8_1104","nahant_unf_d9_1107","nahant_unf_d10_1110","nahant_unf_d11_1113","nahant_unf_d12_1116","nahant_unf_d13_1119","nahant_unf_d14_1122","nahant_unf_d15_1125","nahant_unf_d16_1128","nahant_unf_d17_1131","nahant_unf_d18_1134","nahant_unf_d19_1137","nahant_unf_d20_1140","nahant_unf_d21_1143","nahant_unf_d22_1146","nahant_unf_d23_1149","nahant_unf_d24_1152","nahant_unf_d25_1155","nahant_unf_d26_1158","nahant_unf_d27_1161","nahant_unf_d28_1164","nahant_unf_d29_1167","nahant_unf_d30_1170","nahant_unf_d31_1173","nahant_unf_d32_1176","nahant_unf_d33_1180","nahant_unf_d34_1182","nahant_unf_d35_1185","nahant_unf_d36_1188","nahant_unf_d37_1191","nahant_unf_d38_1194","nahant_unf_d39_1197","nahant_unf_d40_1200","nahant_unf_d41_1203","nahant_unf_d42_1206","nahant_unf_d43_1209","nahant_unf_d44_1212","nahant_unf_d45_1215","nahant_unf_d46_1218","nahant_unf_d47_1221","nahant_unf_d48_1224","nahant_unf_d49_1227","nahant_unf_d50_1230","nahant_unf_d51_1233","nahant_unf_d52_1236","nahant_unf_d53_1239","nahant_unf_d54_1242","nahant_unf_d55_1245","nahant_unf_d56_1248","nahant_unf_d57_1251","nahant_unf_d58_1254","nahant_unf_d59_1257","nahant_unf_d60_1260","nahant_unf_d61_1263","nahant_unf_d62_1266","nahant_unf_d63_1269","nahant_unf_d64_1272","nahant_unf_d65_1275","nahant_unf_d66_1278","nahant_unf_d67_1281","nahant_unf_d68_1284","nahant_unf_d69_1287","nahant_unf_d70_1290","nahant_unf_d71_1293","nahant_unf_d72_1296","nahant_unf_d73_1301","nahant_unf_d75_1304","nahant_unf_d76_1307","nahant_unf_d77_1310","nahant_unf_d78_1313","nahant_unf_d79_1316","nahant_unf_d81_1322","nahant_unf_d82_1325","nahant_unf_d83_1328","nahant_unf_d85_1334","nahant_unf_d86_1337","nahant_unf_d87_1340","nahant_unf_d88_1343","nahant_unf_d89_1346","nahant_unf_d90_1349","nahant_unf_d91_1352","nahant_unf_d92_1355"
"OTU_43",158,133,78,78,126,105,139,117,108,30,65,52,82,57,75,82,60,74,101,68,62,145,130,54,41,58,84,63,75,56,89,36,27,18,24,21,12,15,7,4,13,47,51,24,14,48,36,6,14,5,15,5,4,26,10,47,37,36,15,63,14,42,22,8,11,8,2,16,68,53,42,12,36,45,47,33,57,42,74,30,40,54,49,25,62,50,66,48,41,71
"OTU_6",23,24,17,15,13,11,12,10,11,2,6,3,7,7,5,5,3,2,4,3,3,13,20,21,13,10,15,13,12,7,22,36,196,123,109,58,12,16,0,21,36,30,26,40,54,65,87,3,3,1,10,4,66,65,101,52,64,65,116,65,62,54,8,3,3,0,4,16,34,41,78,31,42,72,78,189,100,87,241,75,95,149,121,147,151,149,152,159,97,182
"OTU_3",1,0,1,2,0,0,0,0,0,0,0,2,4,0,0,0,0,1,1,0,2,0,2,0,0,0,3,11,0,0,0,3,5,2,1,0,2,14,0,2,7,0,7,0,2,0,2,0,10,0,1,0,1,1,14,10,32,30,98,20,85,39,151,645,278,370,597,278,100,51,877,301,125,19,27,27,26,0,2,0,0,1,3,6,1,4,1,3,26,2
"OTU_182",33,30,24,25,27,45,41,18,36,10,26,20,81,65,34,91,71,21,47,27,12,23,32,60,57,60,66,51,35,46,64,26,38,15,32,61,14,26,8,9,11,14,48,43,66,156,96,16,23,17,31,16,29,55,31,40,73,48,28,124,35,104,15,13,2,2,1,9,33,28,56,18,16,16,21,31,32,31,73,44,63,32,88,54,141,118,152,124,88,193
"OTU_13",2,1,4,2,0,0,4,0,1,4,0,8,1,3,0,4,12,1,2,2,5,3,3,3,9,6,5,0,2,3,1,36,4,42,75,98,110,174,443,243,150,165,315,66,123,39,154,119,35,77,78,137,53,125,70,101,27,36,69,21,46,23,55,13,115,51,52,24,31,9,39,32,41,7,6,2,0,32,7,69,55,17,16,7,8,16,2,9,4,0
"OTU_302",182,101,79,42,86,109,146,162,127,102,94,93,92,160,171,122,148,254,304,214,104,125,114,63,32,65,108,103,116,58,73,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1
"OTU_197",13,6,7,11,11,11,16,10,10,17,9,7,14,12,23,7,22,26,23,18,17,10,14,5,4,13,5,7,4,6,2,84,27,19,42,41,50,34,60,43,40,99,48,63,31,39,45,95,49,90,57,41,40,46,36,88,75,39,32,88,56,72,47,198,262,69,41,53,69,41,40,34,46,19,26,14,29,56,54,34,41,12,41,33,39,74,65,63,60,94
"OTU_23",27,43,38,35,29,29,30,11,32,12,39,14,16,11,10,27,19,10,15,5,25,46,7,9,23,9,17,10,15,17,21,13,7,7,9,17,15,11,23,36,20,10,19,26,37,14,18,10,6,6,23,91,45,24,12,11,15,11,16,9,18,9,8,10,28,25,35,183,67,108,14,169,79,43,249,138,155,281,58,103,103,186,36,98,33,17,22,21,13,19
"OTU_19",2,4,20,15,4,18,6,7,5,26,19,7,9,22,12,17,4,4,2,4,21,79,35,63,78,10,41,11,25,80,53,37,204,121,105,170,44,31,5,17,24,36,29,49,18,23,15,1,10,8,6,2,92,85,72,9,8,9,20,16,51,42,8,8,23,5,4,26,31,13,6,17,11,5,80,116,110,63,43,18,18,55,24,76,22,28,4,9,11,24
"OTU_319",46,81,92,71,62,57,43,58,62,31,53,19,35,12,6,12,6,15,10,19,36,44,54,62,72,58,62,43,44,124,68,52,71,38,34,56,23,14,11,13,25,22,9,41,18,22,19,0,6,1,15,11,30,18,34,28,62,19,17,56,30,38,10,4,1,0,2,6,17,21,10,8,4,3,24,29,23,31,44,29,39,21,21,35,8,15,13,9,18,24
