"ID","Nov2rep3","Nov3rep3","Nov4rep3","Nov5rep3","Nov9rep3","Nov10rep3","Nov11rep3","Nov12rep3","Nov13rep3","Nov16rep3","Nov17rep3","Nov18rep3","Nov19rep3","Nov20rep3","Nov23rep3","Nov24rep3","Nov25rep3","Nov26rep3","Nov27rep3","Nov30rep3","Dec1rep3","Dec2rep3","Dec3rep3","Dec4rep3","Dec7rep3","Dec8rep3","Dec9rep3","Dec10rep3","Dec11rep3","Dec14rep3","Dec15rep3","Dec16rep3","Dec17rep3","Dec18rep3","Dec21rep3","Dec22rep3","Dec23rep3","Jan4rep3","Jan5rep3","Jan6rep3","Jan7rep3","Jan8rep3","Jan11rep3","Jan12rep3","Jan13rep3","Jan14rep3","Jan15rep3","Jan18rep3","Jan19rep3","Jan20rep3","Jan22rep3","Jan25rep3","Jan26rep3","Jan27rep3","Jan28rep3","Jan29rep3","Feb1rep3","Feb2rep3","Feb3rep3","Feb4rep3","Feb5rep3","Feb8rep3","Feb9rep3","Feb11rep3","Feb12rep3","Feb15rep3","Feb16rep3","Feb18rep3","Feb19rep3","Feb22rep3","Feb23rep3","Feb25rep3","Feb26rep3","Feb29rep3","Mar2rep3","Mar3rep3","Mar4rep3","Mar7rep3","Mar8rep3","Mar9rep3","Mar10rep3","Mar11rep3","Mar14rep3","Mar15rep3","Mar21rep3","Mar22rep3","Mar23rep3","Apr18rep3","Apr19rep3"
"OTU_210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,77,69
"OTU_532",0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,1,1,4,0,1,2,1,0,1,5
"OTU_139",10,0,7,12,1,1,0,1,0,1,5,22,9,13,5,2,0,1,0,2,0,1,1,1,0,0,0,2,2,0,0,0,0,7,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,2,0,5,1,0,1,1,1,1,1,2,4,5,1,2,2,6,2,1,5,5,3,7,3,7,0,0
"OTU_92",4,17,27,8,5,16,11,12,8,5,25,10,19,18,6,6,4,0,3,2,6,11,4,10,3,5,1,2,0,8,7,5,9,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,3,0,2,3,0,1,1,0,0,1,0,0,0,2,2,0
"OTU_212",0,0,0,0,1,0,1,0,2,0,0,1,1,2,2,1,0,0,1,2,0,0,1,2,0,0,0,1,0,2,0,6,5,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,2,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,2,1,2,1,0,1,1,1,0,3,2,2,4,3,1,2,3,3,3,0,5,2,4,29,7
"OTU_19283",0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,2,0,1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"OTU_4878",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,1,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_16448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0
"OTU_18422",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,1,1,0,0,0,1,0,2,0,1,1,0,2,0,0,0,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10894",0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,3,1,1,0,0,0,0,0,0,2,1,0,2,0,1,0
"OTU_196",1,1,0,1,1,1,4,0,2,0,0,2,1,0,4,5,4,4,5,3,7,5,3,2,2,0,1,0,1,0,1,0,0,0,0,1,2,6,2,6,3,3,3,3,4,4,5,5,1,2,1,3,1,1,0,2,5,1,2,3,5,1,1,2,0,0,0,0,1,1,1,0,0,0,0,2,2,1,0,0,0,0,1,0,1,0,1,0,0
"OTU_500",0,1,0,0,2,1,2,0,4,0,2,1,0,0,0,0,2,0,1,2,0,0,2,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
"OTU_258",10,2,8,7,7,3,4,3,4,0,2,1,0,1,1,4,1,1,2,0,0,0,3,1,2,2,2,3,0,0,0,0,0,0,1,0,1,1,2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"OTU_394",4,4,3,6,3,2,2,3,5,5,2,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,2,1,2,2,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_475",2,0,4,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,2,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,4,0,2,1,0,0,0
"OTU_16768",0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,2,2,0,1,1,2,5,4,2,0,1,1,1,0,2,3,0,5,0,4,1,0,1,2,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0
"OTU_417",3,3,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,3,0,0,2,0,1,2,0,1,1,3,2,1,0,0
