"ASVID","SE1A","SE2A","SE3A","SE4A","SE5A","SE6A","SE7A","SE8A","SE9A","SE10A","SE11A","SE12A","SE13A","SE14A","SE15A","SE16A","SE17A","SE18A","SE19A","SE20A","SE21A","SE22A","SE23A","SE24A","SE25A","SE26A","SE27A","SE28A","SE29A","SE30A","SE31A","SE32A","SE33A","SE34A","SE35A","SE36A","SE37A","SE38A","SE39A","SE40A","SE41A","SE42A","SE43A","SE44A","SE45A","SE46A","SE47A","SE48A","SE49A","SE50A","SE51A","SE52A"
"0382b21d7201fdd349f76ebec688684d",-14.424435434785,-14.4241416879556,-14.4251922070616,-9.80950648906523,-7.85038187187726,-8.1795923181242,-8.70996000607173,-8.41005331585833,-7.99553128890556,-9.7924442537428,-8.40105255628142,-8.41438497143456,-14.4240193884804,-14.4248429734937,-9.10863981714984,-14.4224264031209,-14.4269084526485,-14.4259310636285,-14.4255697531332,-14.4258737860147,-14.4237068067604,-7.85648554191954,-8.66538328504942,-14.4250924046624,-14.4269763814278,-9.80675636357636,-14.4098448137323,-14.4283324102096,-8.71724551390704,-9.11981373277662,-14.4291546088588,-14.4258149583695,-14.4287318788511,-14.4282794384244,-14.4271413744637,-14.4263704083177,-14.4261207090824,-14.4270126623581,-14.4257151442372,-14.4087185818571,-9.79138211875182,-14.4280967921925,-14.4287265308503,-14.4120680246266,-7.86710550031674,-14.419675933748,-14.4227462282813,-14.427877590989,-8.41924954708611,-8.70979505761775,-14.4226706647967,-14.4142901755126
"039238310976a1f381e8e7c0455e964e",-12.4785220221123,-12.478228274324,-12.4792787968577,-12.480582299413,-12.4745172271872,-12.4710117831597,-12.4799345037867,-12.4746453746074,-12.470431762586,-12.4727101968749,-12.4704427244976,-12.4766174888584,-12.4781059744496,-12.4789295621507,-12.4770231347661,-8.4142741374084,-7.17083357418328,-6.91715540349405,-7.09936688268318,-7.24268786941776,-7.50091636466616,-7.16295105397102,-8.15444268571561,-7.09898151561629,-6.76635628308004,-6.91544783746181,-6.78014915437699,-5.90055467174814,-6.20308247339037,-7.10419887099965,-6.59594443495176,-12.4799015501959,-12.4828184801703,-6.63556371775914,-6.86616544588963,-7.32410537452524,-6.97513901336487,-6.55146487648248,-7.32267554586106,-7.20557806781836,-6.53188631371783,-6.81679064360804,-7.24932439452976,-12.4661545713407,-12.4822448713694,-12.473762505505,-12.476832810091,-12.4819641895308,-12.4789346196396,-12.479913129462,-12.4767572463593,-12.468376729561
"041323e511ac47609f702b91685cca22",-8.01290172900118,-6.24749008289678,-13.3564318424529,-13.3577353421136,-6.79983593676264,-6.89792938483085,-13.3570875479253,-8.18685410849847,-6.8421214213404,-8.40598226208024,-7.58984151218266,-6.90953147838339,-13.3552590226523,-13.356082608522,-13.3541761853792,-13.3536660356343,-13.3581480898216,-13.3571706997872,-13.3568093889167,-13.3571134221139,-13.3549464406071,-13.3543864893833,-13.335968127066,-13.35633203995,-13.3582160186713,-13.3560172104555,-13.3410844330532,-13.3595720488587,-13.3601362921109,-13.3587769777959,-13.3603942483593,-13.3570545944077,-13.3599715179139,-13.3595190770186,-13.3583810118784,-13.3576100449325,-13.357360345438,-13.3582522996393,-13.3569547801717,-13.339958199989,-13.3492348957438,-13.3593364305975,-13.3599661699076,-5.61779330231007,-13.3593979103836,-13.3509155633915,-13.3539858611279,-13.3591172291669,-13.3560876659997,-13.357066173648,-13.3539102975646,-13.3455297995137
"042dbcdca92e352fc64508e3447f93b3",-7.72510926299627,-7.60705019012832,-6.97282674631395,-7.86326672400957,-13.9125501780183,-7.14946820445119,-6.9745889583455,-7.85027055049231,-8.40110871239544,-7.59477259916655,-7.99547512648382,-13.914650433573,-8.19433979595301,-13.9169625001469,-8.70311935491363,-13.9145459289035,-13.9190279800441,-13.9180505906729,-7.86194717246556,-13.9179933130385,-13.9158263330045,-13.9152663821619,-13.8968480324998,-13.9172119314053,-13.9190959088477,-13.9168971021248,-13.9019643349483,-13.9204519381161,-13.9210161809862,-13.919656867592,-13.92127413706,-13.9179344853722,-13.9208514069008,-13.9203989663119,-13.9192609019429,-13.91848993552,-13.918240236195,-13.9191321897911,-13.917834671204,-13.9008381026615,-13.9101147920386,-13.9202163200145,-13.9208460588981,-13.9041875466537,-13.9202777997589,-13.9117954585371,-13.9148657541793,-13.9199971187324,-13.9169675576211,-13.9179460646047,-13.9147901906674,-13.9064096983486
"04b4ed8ceabf387ba2caa3e54509965d",-4.81329744542501,-7.03129946507359,-6.62760036183942,-5.81760706872616,-6.70441435496411,-8.1795923181242,-6.02212600686559,-6.90519645242047,-6.56734730750728,-6.95833655523905,-6.4902175896397,-6.46714400261978,-6.16436688198544,-6.50871393867178,-6.30356203187116,-5.772330802904,-6.07068273913772,-5.91399929724734,-5.42180631470206,-5.76216171543324,-6.58379642242911,-6.71052310945243,-7.1243057148267,-7.16802944863452,-6.63266032203583,-6.71455659835869,-5.80371318120577,-5.17494226810221,-5.86193612092317,-5.83987348175263,-6.17652358165853,-6.81245509912781,-7.04239543170494,-6.44604817269669,-7.1027736665705,-7.24400771122836,-6.91792560763621,-6.7187386327375,-5.64583330707644,-6.27287700654617,-5.76294945199186,-5.85952529295149,-6.41214662102101,-11.026665537601,-11.0427560356683,-6.84928950937695,-7.49842666795285,-5.71532669410974,-5.851649718719,-5.42213769656746,-5.40206547185958,-5.07636628577631
"04bb27a4cb94cd3559e003c0a8b6e19f",-8.41847721847708,-13.3966243448,-13.397674864931,-8.1998488447032,-13.3929133061713,-13.3894078702097,-13.3983305703615,-13.3930414532973,-13.3888278509733,-9.09924119945746,-8.68879078484722,-8.70212245629319,-7.23838631312415,-8.01394986038937,-7.72201328529114,-7.2351202358761,-13.39939111219,-8.1988044581853,-7.72836076072188,-7.8620572016234,-9.1107962416398,-9.80272754938498,-13.3772111508661,-13.3975750624345,-13.3994590410354,-13.3972602329601,-13.3823274565203,-7.32974968904151,-7.10715243656635,-7.86677703915432,-8.42967259388674,-13.398297616846,-13.4012145401661,-7.6172131583664,-8.20193435119422,-13.3988530673353,-7.86299196099095,-9.11773154024352,-7.50510716208722,-8.16154629028893,-7.59370998896058,-7.41512037657368,-8.20527306971118,-8.17058172610178,-13.4006409326723,-13.3921585862233,-13.3952288837626,-13.4003602514735,-13.3973306884998,-13.3983091960856,-8.4144957931779,-13.3867728226927
"04e9594ff7c516d50fec6b8e83797ddf",-7.72510926299627,-7.40626905844297,-8.01488673185852,-7.61184239958042,-7.49353994121358,-6.65252636679827,-6.76305975792563,-7.02309087766204,-6.60822552128264,-6.95833655523905,-7.01408407570451,-7.09201939223543,-6.66728863248535,-7.50290366865998,-7.09301695383445,-7.72090525193678,-7.50752541003678,-7.61079778338184,-12.3243052649404,-7.8620572016234,-6.71179569102788,-7.72289882885133,-7.1243057148267,-6.67109689936128,-7.24636808010246,-7.72692920007656,-6.94283848517023,-7.10644218986236,-7.73614332768038,-7.24740926166349,-7.86989307283593,-7.41078697246385,-7.8695655261576,-8.02284222329963,-7.61392836399711,-8.01758222541784,-7.61156760636058,-8.42447465041303,-7.40974195408092,-7.97916764772359,-7.15159741464653,-12.3268323138405,-12.3274620549468,-7.98820359702258,-12.326893793802,-7.39627951979706,-8.00947384926932,-12.3266131117844,-7.40726254566455,-7.41007207788035,-7.40250695165443,-7.3845539513607
"05126f5c111750a5f4c2c938b78b2185",-12.6855158952314,-12.6852221476523,-12.6862726694382,-12.6875761710668,-12.6815111031631,-12.6780056616456,-12.6869283759009,-7.71668349252779,-7.07873498164778,-6.90112221767904,-6.52801414636107,-6.21538557388758,-6.21854478394205,-6.16635726247336,-6.5423611141951,-6.50345615751394,-12.6879889193975,-6.97436885159284,-12.6866502164724,-12.6869542501286,-12.6847872653468,-12.6842273132757,-12.6658089228187,-12.6861728667846,-12.6880568483496,-12.6858580368144,-12.6709252366748,-12.6894128805805,-12.6899771246822,-12.6886178083199,-12.6902350813187,-12.6868954223336,-12.6898123502372,-12.6893599086607,-12.6882218418055,-12.6874508736967,-12.6872011738254,-12.6880931293723,-12.6867956079469,-12.6697990018819,-12.6790757118177,-12.6891772619644,-12.6898070022228,-12.673148453319,-7.2477378307481,-6.70251861979921,-6.96741057302067,-7.10408931197461,-7.03229322654222,-6.81173985054845,-6.96685624928142,-6.78620892090264
"05132b1dde6536848b2b69d54c367c2a",-6.50766459165587,-5.91024342428754,-5.70932265503182,-6.2813317304651,-5.82343657499127,-5.48108927237009,-5.58548460061092,-5.54417247538152,-4.92054660069331,-5.25469126498036,-5.62508868317489,-5.79051603528066,-6.21854478394205,-6.19308074139116,-6.4329955297212,-6.80394911025655,-7.24499645066623,-7.03504850463951,-11.3880639646848,-11.3883680008452,-7.8577570681986,-11.3856410415046,-6.99065927388176,-11.3875866110638,-11.3894706081414,-11.3872717784984,-6.83149925242271,-11.3908266515197,-11.3913909002553,-11.3900315727249,-11.3916488590095,-11.3883091725657,-11.3912261244574,-11.3907736791646,-6.34415500099882,-6.40682497905591,-7.03581862404608,-7.17116295495043,-6.47449677367323,-7.20557806781836,-9.09817900508785,-7.51048528941762,-6.92362862813843,-6.78343844447476,-6.25613384525069,-6.53524127101366,-5.82833499836783,-6.47922257651171,-6.27752766269721,-6.37287930944656,-6.21549659248331,-6.64627757792288
"05810500448cc3ad7c9d8b11a497f1ca",-4.96173401264242,-4.55253932243272,-4.06639774978693,-4.7130275818445,-4.1389607680501,-3.76246259721095,-3.90264584361555,-4.13525135880027,-3.89825636216152,-4.08203567213106,-4.3542665456358,-4.5170393014648,-4.34879659953155,-4.52743152299481,-4.49244931592397,-4.7422529573032,-4.7985047024129,-4.93380962841184,-5.37279516826556,-5.18766233157324,-4.84747647141098,-5.14299933896877,-5.25917220609613,-4.98073019534186,-5.63407506223138,-5.76061594941937,-9.76045989158937,-9.77894853467131,-9.77951280897833,-6.22757916478667,-6.17652358165853,-5.93544519017868,-5.92135954139397,-5.66834718034857,-6.37595860364262,-6.02306231073704,-6.02267688001344,-6.04742715581861,-4.97303034156512,-6.15823792709661,-6.02783011486474,-5.91911327281489,-5.78656866827549,-5.3210795862151,-5.08875307336021,-5.017504303707,-4.6925778259186,-4.81444936200327,-4.33313806140711,-4.48913685632677,-4.55410083069004,-4.85533228798449
