"ASVID","TSP_23_02","TSP_24_02","TSP_25_02","TSP_26_02","TSP_27_02","TSP_28_02","TSP_01_03","TSP_02_03","TSP_03_03","TSP_04_03","TSP_25_05","TSP_26_05","TSP_27_05","TSP_28_05","TSP_29_05","TSP_30_05","TSP_31_05","TSP_01_06","TSP_02_06","TSP_03_06","TSP_24_08","TSP_25_08","TSP_26_08","TSP_27_08","TSP_28_08","TSP_29_08","TSP_30_08","TSP_31_08","TSP_01_09","TSP_02_09","TSP_25_11","TSP_26_11","TSP_27_11","TSP_28_11","TSP_29_11","TSP_30_11","TSP_01_12","TSP_02_12","TSP_03_12","TSP_04_12"
"OTU_151",-3.79548918917219,-3.90197266957464,-6.68928942454123,-4.54329478227,-4.54329478227,-6.75894651613427,-3.3322045101752,-6.77386777366991,-4.66343909411207,-6.71066529819821,-4.02535169073515,-6.8067425048933,-4.67282883446191,-6.75481259374709,-4.54329478227,-6.79487302407277,-6.79673111985284,-4.54329478227,-6.72614907864478,-6.63714908983386,-6.68374973932897,-4.70953020131233,-4.54329478227,-3.03495298670727,-3.12456514539696,-4.35670882668959,-3.90197266957464,-6.68147233745036,-4.45434729625351,-6.63660250848157,-6.64838414405961,-4.43081679884331,-4.44265125649032,-4.48863636973214,-3.12456514539696,-6.60071649237738,-4.55387689160054,-2.9338568698359,-4.56434819146784,-3.44468249360189
"OTU_101",-4.49980967033027,-6.85405221622924,-4.48863636973214,-6.82802230830076,-4.54329478227,-4.64439089914137,-4.04305126783455,-6.88398775181455,-3.01553490085017,-3.42317628838093,-4.72738781871234,-3.64631983969514,-6.88115682057635,-3.93182563272433,-6.82875243558294,-3.60186807712431,-4.0342406381524,-6.82759405467775,-4.56434819146784,-6.74728651310049,-4.49980967033027,-4.00733318523247,-4.54329478227,-3.56482680544396,-3.83945231259331,-4.35670882668959,-3.48635519000246,-6.79160384188535,-3.74950407593037,-6.74674000638718,-6.75852004211367,-6.77568592385723,-6.78472544306501,-6.80275760002436,-6.82173124795734,-6.7108589810766,-6.82908119163523,-6.84717232258585,-3.8607297110406,-6.83520020231449
"OTU_8",-4.49980967033027,-3.90197266957464,-3.36729582998647,-4.54329478227,-6.82091988073519,-3.94158180766969,-4.74493212836325,-4.69134788222914,-6.87774171168743,-3.83945231259331,-6.89879866028601,-6.91685863209041,-6.88115682057635,-6.86493486265685,-4.54329478227,-4.71849887129509,-4.0342406381524,-6.82759405467775,-6.83627487667084,-4.36944785246702,-3.3787245258101,-6.89599090232739,-6.8289285933638,-3.97968165390196,-3.42317628838093,-6.74196368848068,-3.48635519000246,-4.46590811865458,-3.74950407593037,-3.67630067190708,-6.75852004211367,-6.77568592385723,-6.78472544306501,-3.78418963391826,-3.12456514539696,-4.29045944114839,-6.82908119163523,-4.58496747867057,-6.83094014476001,-4.56434819146784
"OTU_7",-6.85053725127838,-4.60517018598809,-4.48863636973214,-6.8757007280138,-6.86859865946702,-3.52636052461616,-3.62877553004423,-2.85263142991332,-6.92541768829625,-6.86847183028494,-6.94647363826009,-4.06044301054642,-3.55534806148941,-6.91261145699973,-3.12456514539696,-4.71849887129509,-6.95452300814109,-3.83945231259331,-6.88395288241692,-6.79496916809192,-6.84156111575849,-6.94366601224875,-4.54329478227,-6.93366445218186,-3.42317628838093,-6.78964663489722,-6.8995431017728,-3.76120011569356,-6.83050695086951,-6.79442269122849,-3.70130197411249,-3.72569342723665,-6.83240609151565,-4.48863636973214,-4.54329478227,-6.75854366184665,-6.87675955804113,-4.58496747867057,-6.87861841771741,-3.8607297110406
"OTU_12",-3.3787245258101,-4.60517018598809,-3.36729582998647,-4.54329478227,-3.83945231259331,-4.64439089914137,-4.74493212836325,-4.69134788222914,-7.00147548239682,-4.54329478227,-7.02252993458615,-7.04058780676349,-4.67282883446191,-6.98867017758967,-4.54329478227,-3.60186807712431,-7.03057874017119,-4.54329478227,-4.56434819146784,-6.8710369784826,-4.49980967033027,-7.01972250647248,-4.54329478227,-7.00972165590513,-4.54329478227,-6.86571488236574,-6.97560278012635,-4.46590811865458,-6.90657190181956,-3.67630067190708,-3.28341434600577,-4.43081679884331,-6.90847089249845,-6.9265006997489,-3.12456514539696,-4.29045944114839,-6.95282093639712,-6.97090981228654,-6.95467965591829,-3.8607297110406
"OTU_34",-4.49980967033027,-4.60517018598809,-7.03449272691274,-7.06308854765736,-3.42317628838093,-4.64439089914137,-4.04305126783455,-7.11904165643756,-3.96081316959758,-7.05586092872436,-7.13384941445396,-7.15190560728114,-7.11621133270057,-4.63472898822964,-4.54329478227,-4.71849887129509,-7.14189746776746,-7.06266039110708,-3.8607297110406,-4.36944785246702,-3.79548918917219,-4.70953020131233,-3.83945231259331,-7.12104234543595,-4.54329478227,-4.35670882668959,-7.08692676860584,-3.76120011569356,-7.01790291917452,-6.9818254352948,-4.40671924726425,-3.72569342723665,-3.73766961828337,-7.03782963785813,-7.05679891750334,-4.29045944114839,-3.85014760171006,-4.58496747867057,-7.06600572383248,-7.07026482082089
"OTU_44",-4.49980967033027,-7.11899012901299,-7.06437160046032,-7.09296669077851,-3.83945231259331,-4.64439089914137,-7.17851316894451,-7.14891842936846,-4.66343909411207,-7.08573925449371,-4.02535169073515,-7.18178161045548,-3.97029191355212,-7.129870120089,-4.54329478227,-2.2270775404859,-7.17177370268462,-4.54329478227,-7.101217189729,-7.01225206752516,-4.49980967033027,-7.16091873907083,-4.54329478227,-7.15091907077907,-7.09175733639012,-3.23212105161822,-7.11680431858645,-7.05655756338861,-7.04778222615026,-7.01170571002869,-2.98315349134713,-7.04064383530739,-7.04968096693636,-7.06770842509022,-7.08667721949428,-4.29045944114839,-7.0940253076309,-7.11211192902126,-7.09588379360718,-4.56434819146784
"OTU_26",-3.07961375753469,-4.60517018598809,-3.78418963391826,-3.83945231259331,-3.83945231259331,-7.16479836646356,-4.74493212836325,-7.17971389724955,-4.66343909411207,-7.11653627513688,-7.19452095534684,-7.21257630861606,-4.67282883446191,-4.63472898822964,-7.12449345391591,-4.71849887129509,-4.0342406381524,-4.54329478227,-4.56434819146784,-4.36944785246702,-4.49980967033027,-4.70953020131233,-7.12466956294637,-4.68213122712422,-7.12255420486311,-7.03772979993651,-4.60517018598809,-7.08735533503191,-7.07858022794909,-7.04250467953375,-7.0542811971158,-7.07144202582407,-4.44265125649032,-4.48863636973214,-4.54329478227,-7.0066346290837,-3.43398720448515,-7.14290828955226,-4.56434819146784,-7.13093944185673
"OTU_33",-7.09860582670665,-3.48635519000246,-4.48863636973214,-3.83945231259331,-7.11666307537142,-7.16479836646356,-7.20930794253065,-7.17971389724955,-3.54577861047326,-7.11653627513688,-7.19452095534684,-4.76217393479776,-4.67282883446191,-4.63472898822964,-7.12449345391591,-7.20071122927474,-4.7361984483945,-7.12333539379818,-3.8607297110406,-7.04305102211302,-7.08963178648928,-4.70953020131233,-7.12466956294637,-7.18171449107464,-7.12255420486311,-7.03772979993651,-7.14760056347963,-7.08735533503191,-3.74950407593037,-7.04250467953375,-7.0542811971158,-3.30810695859614,-7.08047891876453,-4.48863636973214,-7.11747421636026,-2.62466859216316,-4.55387689160054,-7.14290828955226,-3.14630513203337,-7.13093944185673
"OTU_21",-7.13038034518991,-4.60517018598809,-7.12694377622348,-7.15553740580078,-7.14843713180362,-7.19657123120151,-7.24107975523033,-7.21148640421159,-7.20524215416347,-7.14831033478466,-3.61091791264422,-4.76217393479776,-7.20865628291707,-3.93182563272433,-3.12456514539696,-3.07269331469012,-7.23434060157624,-4.54329478227,-4.56434819146784,-2.94443897916644,-7.12140653772356,-4.70953020131233,-7.15644341716228,-7.21348695045343,-3.83945231259331,-3.65065824129374,-7.17937384741617,-7.11913014564117,-7.1103552687018,-7.07428068794078,-7.08605688579571,-7.10321725528465,-4.44265125649032,-7.13028042823582,-4.54329478227,-4.29045944114839,-7.15659596937284,-4.58496747867057,-7.1584543619476,-7.16271313884357
