"ASVID","ZN3TBJM_nasal_920","ZN3TBJM_nasal_921","ZN3TBJM_nasal_922","ZN3TBJM_nasal_923","ZN3TBJM_nasal_924","ZN3TBJM_nasal_925","ZN3TBJM_nasal_926","ZN3TBJM_nasal_927","ZN3TBJM_nasal_928","ZN3TBJM_nasal_929","ZN3TBJM_nasal_930","ZN3TBJM_nasal_931","ZN3TBJM_nasal_932","ZN3TBJM_nasal_933","ZN3TBJM_nasal_934","ZN3TBJM_nasal_935","ZN3TBJM_nasal_936","ZN3TBJM_nasal_937","ZN3TBJM_nasal_938","ZN3TBJM_nasal_939","ZN3TBJM_nasal_940","ZN3TBJM_nasal_941","ZN3TBJM_nasal_942","ZN3TBJM_nasal_947","ZN3TBJM_nasal_948","ZN3TBJM_nasal_949","ZN3TBJM_nasal_950","ZN3TBJM_nasal_951","ZN3TBJM_nasal_953","ZN3TBJM_nasal_955","ZN3TBJM_nasal_957","ZN3TBJM_nasal_959","ZN3TBJM_nasal_961","ZN3TBJM_nasal_963","ZN3TBJM_nasal_964","ZN3TBJM_nasal_966","ZN3TBJM_nasal_967","ZN3TBJM_nasal_968"
"OTU_89",-8.72486378108759,-8.73889239639489,-8.73440006155685,-8.73417136153219,-8.41027590907016,-8.41249912030157,-8.73329803282562,-8.42222295382501,-8.72868334147777,-8.72794886345293,-5.24460887722206,-8.73189972126432,-4.4628087139153,-7.7376162828579,-4.5334951492812,-8.44612674298238,-8.73022673886842,-5.71351275929878,-5.3890717298165,-5.80103881141601,-5.79800981732169,-4.96065692429001,-4.27979741211361,-8.74039297319293,-5.4786632888502,-8.74447168440186,-4.60712479623141,-4.14994569416894,-3.45909896345848,-4.56265101564525,-3.9753843633927,-8.73018541167263,-2.31415683624083,-3.61337190160579,-3.3322045101752,-4.46003534484245,-4.98406313849326,-2.36514380750593
"OTU_57",-5.26628812397576,-5.94955689402924,-5.93995193042544,-6.63441432380101,-5.69910488510509,-5.31678220100256,-7.03790596344718,-5.04875017942481,-6.46747687363534,-7.31455283232408,-9.17720691780479,-5.0141845436074,-5.78338552525517,-5.24790088063402,-9.17144961977097,-5.14469124047642,-6.33991828938764,-5.37571922761636,-4.45631989963288,-4.62671421555281,-5.25684411834146,-4.39577103193035,-4.33006407088042,-4.90723364292376,-4.38958726664233,-9.18725837544394,-5.87795122937285,-5.34645796914867,-3.27299439270212,-5.43952753509956,-4.23256821179858,-4.11266879397987,-4.77912349311153,-4.15043402887314,-9.18403034191695,-5.06825337238925,-5.05351231845265,-3.88078752953739
"OTU_255",-5.9193417826121,-7.04990567108681,-4.70490515177277,-9.53222978010728,-6.01015247135707,-7.31344258462482,-6.81454289725996,-6.02212600686559,-8.414717399827,-7.02664880892255,-9.53247804755637,-6.62892282180734,-6.34431970494385,-6.48376244483143,-9.52672092796969,-5.95885526354235,-9.52828550722183,-6.47741182675085,-6.82762923450285,-5.3940603531109,-6.82957749791811,-6.48594299519391,-2.03654997705052,-5.95345976108227,-6.47982543187209,-9.54252919610304,-6.36453558740514,-6.49483387019752,-5.84220572874576,-9.48869022161845,-5.86886222501565,-9.52824418369792,-7.06390396147207,-6.95320654188605,-5.39341107270718,-5.73053258973212,-6.19281682841953,-5.0260711022261
"OTU_175",-9.7544800686579,-9.76850722899075,-9.76401535785466,-9.76378668149234,-9.75648332126458,-9.75756106219611,-9.76291344319411,-9.76200814190613,-9.75829923087923,-9.75756482930177,-9.76403494522278,-9.7615152765527,-9.76305291715789,-9.76593145234426,-9.7582779121065,-9.77292237910558,-9.75984246780979,-9.76317107397952,-9.76923691922548,-9.77146573760607,-9.77019486815966,-9.7669093665767,-9.76085462535975,-5.66491170026721,-7.04009846596985,-2.65893318613726,-6.14096155825389,-5.80017432033127,-5.00215499333032,-4.43057381500054,-6.48920493132532,-3.89950048042926,-7.75747876658418,-9.72371556893712,-4.09522137069564,-6.83130610681873,-8.39185670010494,-4.43301895784821
"OTU_3",-9.90188445485427,-9.91591150440227,-9.91141966857345,-9.91119099401283,-8.41027590907016,-7.71912984090673,-7.73149202924568,-8.42222295382501,-8.414717399827,-9.90496919100159,-9.91143925578726,-9.90891960699158,-8.4252971767117,-9.91333574798265,-9.90568226815438,-9.92032661996709,-8.42090253109795,-6.81432333418958,-8.43793351043061,-8.44290058683438,-8.43988008831357,-9.91431365452965,-4.91687946122417,-9.9174119150148,-9.91094370924781,-9.92149017577356,-8.44548234386224,-6.83173779255822,-9.90339721509752,-9.86765245281767,-2.68357225473493,-9.90720548889548,-9.92240762526128,-8.34021732094704,-3.28162703543168,-5.39276137046451,-5.99169179401272,-5.38471347493367
"OTU_631",-4.48368028840038,-6.48963905332041,-6.48004456192665,-5.37836007422157,-6.21126919715668,-5.70133503767972,-5.85727359636347,-6.22323742512025,-7.02775807137683,-7.7202398421307,-5.12616613840816,-6.81146461866385,-9.99035833308642,-9.9932368346474,-9.98558338402777,-10.0002276801466,-9.98714792135528,-5.78272567699632,-7.33888813383888,-9.9987710555322,-8.43988008831357,-9.99421473747842,-3.90084970483002,-9.99731298621432,-7.32799952451689,-5.50168776381594,-4.54329478227,-4.93860751891415,-4.76397168809093,-5.15039723647141,-5.0630314284081,-9.98710659893784,-6.05080492217257,-6.39287382238689,-9.9981633823065,-5.60493664001957,-5.39180770963538,-7.74022952476318
"OTU_31",-6.32570214592778,-5.94955689402924,-6.34629403924757,-6.63441432380101,-6.46302945692067,-5.1882792613391,-5.05140211468066,-5.37329230971254,-2.75878571914361,-5.57683997180212,-4.14959714442536,-10.0986065939189,-10.1001442091887,-10.1030226970507,-10.0953692829415,-10.1100135094437,-10.0969338127828,-10.1002623640651,-10.1063281097563,-10.1085568917083,-10.1072860430235,-10.1040005952368,-10.0979459536233,-10.1070988292862,-10.1006306788019,-10.1111770553722,-10.1094675182921,-10.1082968159603,-10.0930842496038,-10.0573398017245,-10.1057324208066,-10.0968924905629,-10.1120944970793,-10.0608075215295,-10.1079492213553,-8.44160720445964,-10.0848702505772,-10.10423394142
"OTU_801",-7.30764934204085,-10.2853982640712,-10.2809064969154,-10.2806778258591,-10.2733746357326,-6.80217251640707,-10.2798046078339,-7.32317071794347,-10.2751905029371,-10.2744561185021,-10.280926083829,-6.11721575241354,-10.2799440785585,-6.82067117207502,-10.2751691846618,-8.44612674298238,-2.47374926401374,-10.2800622326364,-10.2861279374587,-10.288356704456,-7.34083555412327,-10.2838004385918,-10.2777458378672,-10.2868986518135,-10.2804305448845,-10.2909768505818,-10.2892673249394,-10.2880966304514,-10.27288416686,-10.2371399666864,-7.04947183160062,-10.2766923819465,-10.2918942861589,-10.2406076620708,-10.2877490381771,-10.2879781823153,-10.2646702239746,-6.234628566913
"OTU_653",-4.73462275870439,-10.4003481241819,-10.3958563737091,-7.32821846266774,-6.46302945692067,-6.61962866329121,-6.81454289725996,-10.393849211855,-7.02775807137683,-6.10902533584713,-10.3958759605498,-8.42178300661158,-10.3948939589365,-10.3977724166611,-10.3901190828738,-10.4047631562215,-10.3916835962454,-6.63178216610673,-10.4010777948664,-10.4033065536196,-10.4020357181564,-10.3987503046285,-4.88680459637603,-10.4018485063683,-10.3953804234503,-5.80814248998044,-4.44504490359119,-5.30178959225879,-5.76787446754344,-4.61076426600259,-5.02891170284697,-10.3916422744602,-5.73979291217923,-5.33993904123886,-10.4026988895866,-6.36065459935143,-8.39185670010494,-5.53951910511728
"OTU_382",-10.5898346001324,-10.6038613027281,-10.5993695774735,-10.5991409085553,-10.5918377869749,-10.59291549258,-10.5982676986997,-10.5973624269249,-10.5936536370893,-10.5929192595623,-10.599389164204,-10.5968695776503,-10.598407168119,-10.6012856096544,-10.5936323190145,-10.6082763100904,-10.5951968235389,-10.5985253210912,-10.6045909693267,-10.606819715618,-10.6055488872571,-10.6022634921324,-10.5962089480224,-6.64790451967894,-10.5988936298935,-3.38649284808541,-10.6077303276547,-7.05509711688006,-10.5913473227237,-4.8607809274398,-6.64357269570786,-8.41913925094085,-10.6103572645502,-7.24112747735103,-4.62606154501947,-8.44160720445964,-10.5831334575711,-4.81481766828318
