"ID","SE1A","SE2A","SE3A","SE4A","SE5A","SE6A","SE7A","SE8A","SE9A","SE10A","SE11A","SE12A","SE13A","SE14A","SE15A","SE16A","SE17A","SE18A","SE19A","SE20A","SE21A","SE22A","SE23A","SE24A","SE25A","SE26A","SE27A","SE28A","SE29A","SE30A","SE31A","SE32A","SE33A","SE34A","SE35A","SE36A","SE37A","SE38A","SE39A","SE40A","SE41A","SE42A","SE43A","SE44A","SE45A","SE46A","SE47A","SE48A","SE49A","SE50A","SE51A","SE52A"
"59fc0ef30a69927560ab5182ccb6f9d2",28,8,26,22,21,21,27,23,21,25,27,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,18,21,24,33
"5a20ec7253386217e09eed3fc4d27826",0,0,0,0,0,0,0,2,8,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,7,19,5,7,10,5,0,1,4,0,0,0,0,0,0,0,0,0,0,6
"5a6c87d6a4eb5e114959f6192f29b641",11,17,18,22,21,14,0,24,22,19,24,25,16,19,15,22,19,25,13,23,35,38,20,8,12,27,51,14,8,6,14,19,11,0,21,25,15,14,22,19,9,21,16,16,23,27,45,16,19,33,30,13
"5abcade08bf3558cbf4c372a2013f631",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,13,0,0,0,0,0,0
"5ad4ffad545af8e279101d52bd189173",25,16,27,16,21,19,30,36,36,24,18,22,22,0,47,29,0,23,24,18,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,13,0,15,0,21,27,39,21,13,20,25,21,31,32,28
"5b22fc00cb27980e111e0e7263786313",0,0,0,0,0,0,0,0,0,0,0,20,0,35,0,21,26,31,41,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,0,0,0,0,0,0,0,0,0,0,0,0
"5b824059f35b2d1a22e2ce26ab79ede0",0,46,54,39,37,46,0,60,42,32,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,32,0,0,32
"5e5d292aa9ec408816b03a7926d965af",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,2,0,6,0,0,0,2,0,5,0,0,13,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5e881daab846993e2a1262bd76e598f2",71,47,34,71,44,59,47,31,23,33,33,20,33,33,41,45,39,28,21,22,19,16,10,8,0,8,0,0,6,0,8,0,11,0,6,10,9,8,40,13,6,15,8,16,19,20,11,0,27,18,20,26
"5ec7485582e96e450b0c65c431780a11",43,8,7,57,17,13,86,72,5,13,19,15,28,15,31,38,6,3,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,5,11,19,23,31
"5f63d04f0aee24a3b4c1351f65b67962",0,0,0,0,0,0,0,0,0,11,13,21,24,18,15,0,0,0,23,0,0,14,0,0,0,0,0,0,12,8,7,0,0,15,0,13,0,0,0,9,16,0,0,0,0,0,0,0,0,0,0,6
"5fa97937c087ce34a2c5ae09d617b9b1",16,0,0,18,11,19,26,17,22,11,16,8,20,23,18,19,30,11,13,12,10,11,0,25,0,0,0,0,0,0,17,25,31,0,13,20,15,4,0,5,7,18,0,0,0,15,0,24,16,21,14,11
"5fc700fccb243bf15e9a100f7c4253c6",16,12,7,0,0,6,14,7,10,7,9,0,0,7,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,2,0,1,0,0,0,7,0,0,7,0,0,0,0,6
"60100a196856996735dfb367491283a4",0,8,8,4,5,4,0,2,4,3,9,12,8,4,10,4,10,6,8,8,13,14,9,8,14,13,3,0,0,10,4,11,16,5,6,7,5,6,5,22,4,5,6,0,6,15,12,8,7,5,6,4
"601101d33cdf43a40bd674a50711af52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6025a9df24d166c1bf336cb10563c8a6",0,0,0,0,0,0,0,0,2,5,9,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60604c057e05699ff879469ac3db03ef",0,0,0,0,0,0,0,0,0,0,0,0,9,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,6,8
"609d1ae0045de753ac19f31803e3e19d",0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,10,5,0,0,0,6,0
"60c24e14ac67927ee85a38e54d24a54e",17,17,25,25,24,24,29,38,22,32,26,28,23,46,25,12,20,33,14,29,21,28,14,18,23,16,11,7,19,17,15,24,24,10,11,21,10,12,17,12,18,20,0,14,19,22,25,23,13,35,23,20
"60c3d74065113c1642200bccb71d55ee",0,0,0,0,3,3,0,2,3,1,4,9,2,3,3,4,0,4,0,2,4,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"610d332346bdac3b3c67a61455cb758c",0,0,8,0,4,12,0,10,28,23,25,26,31,39,44,42,58,44,31,30,26,21,14,9,10,5,0,0,2,0,4,0,0,0,0,0,0,0,40,2,7,0,0,0,0,0,0,0,0,0,3,4
"6152d1d9a768b10ede7757a8fffa7bdd",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,5,0,0,0,0,0,0,5,0,3,8,0,5,0,0,0,4,0,0,5,5,0
"61c99e8c05e4ec601235ebdd8cee0f9b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,3,5,6,0,16,0,0,15,0,7,0,0,0,22,11
"6238215252d3a1b64fe2e1fa0cf51322",2,5,4,5,0,12,0,9,7,4,1,3,1,3,6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,6,4,0,6,2,5,0,4,8,5,3,4,3
"62fd9b033e7124c8387e0782cb8bfb39",0,0,0,0,0,0,4,3,1,3,4,4,3,4,1,2,5,9,5,0,5,5,0,3,0,2,0,0,0,0,0,4,2,2,3,6,3,3,5,7,3,13,10,13,13,5,6,0,1,0,1,0
"630f430116b3982158619c2f6d774e91",0,22,0,0,67,39,0,10,22,57,48,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"63615a7b50dce08ca859fe0ea40b7983",0,5,7,0,4,0,0,4,5,0,9,0,0,2,13,7,0,5,4,0,11,11,1,0,9,11,0,0,2,4,8,6,4,0,0,2,0,0,0,5,2,0,0,0,0,5,7,6,0,0,0,1
"6420671c26eef32065e0275c8cd6701e",4,6,8,6,3,5,0,3,9,0,7,7,0,0,3,0,7,4,0,3,6,5,5,0,0,5,13,0,0,0,0,4,0,0,5,6,0,0,0,5,3,0,0,0,6,5,5,0,0,0,11,3
"646bf3bedddb909f0e06085af94f0a9e",17,17,17,34,19,19,34,24,30,0,0,0,0,10,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,24,0,0,18,30,37,21,33,34,29
"6472eb8b1e09f892aca2f23182962903",0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,0,24,0,0
"649aab605a71356fa457fe090f9d8ab3",0,11,0,0,7,12,0,2,7,9,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0
"64c648a5837913164392989003a5a87d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,15,0,3,4,3,16,35,27,21,11,0,10,3
"653334c36340a20181971e05d9b4e110",20,24,30,43,27,20,38,27,23,30,27,31,29,22,17,0,0,0,0,0,0,0,0,17,0,0,0,0,14,0,0,0,0,0,0,0,0,0,21,14,0,0,0,0,35,10,31,39,28,36,29,22
"65a2cd72de8d6795960e62923b0bee33",5,6,9,7,5,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,15,19,8,15,7,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"6616dc3bd6aeb3e26b9b2218290ea574",2,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,7,5,8,5,5,10
"66710dc67a16ee15b84b22764079988c",24,22,27,0,0,22,0,23,35,39,58,32,55,50,52,51,66,48,30,18,31,34,21,0,0,0,0,0,0,0,0,35,30,0,0,0,0,0,57,10,31,0,0,0,22,27,29,0,17,0,0,14
"66950cf19482c3f3ee1b7971a304e6c4",39,22,47,62,46,13,47,18,29,37,18,22,14,17,21,25,46,32,15,38,38,45,38,42,33,39,21,30,40,26,24,37,70,30,59,32,33,30,32,28,49,20,12,14,55,46,66,28,34,34,33,26
