"ID","N01C","N02C","N03C","N04C","N05C","N06C","N07C","N08C","N09C","N10C","N11C","N12C","N13C","N14C","N15C","N16C","N17C","N18C","N19C","N20C","N21C","N22C","N23C","N24C","N25C","N26C","N27C","N28C","N29C","N30C","N31C","N32C","N33C","N34C","N35C","N36C","N37C","N38C","N39C","N40C","N41C","N42C","N43C","N44C","N45C","N46C","N47C","N48C","N49C","N50C","N51C","N52C"
"40670ba0c13c8c9eee3809de269c375b",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"406d2049afc545fff9ca66c77497f9c1",23,26,40,43,21,6,13,0,0,0,0,0,0,0,7,8,14,0,15,0,7,17,22,30,31,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40e36c1fbeb3ab6b782f28434e240dc9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,16,4,0,2,0,0,0,0,0,17,0,0,0,7,15,4,8,4,0,13,9,12,25,34,12,15,8,11,10,12,0,0,0
"416236d3396a3d7a9b59f1e234f2c453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,9,0,12,0,12,0,10,0,0,0,15,16,12,7,0,15,0,0,8,5,9,11,2,0,0,0,7,0,0,0,0,6,3,5,0
"419dbd106b1c97a5eccc5fcd8a4de2bc",0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41b024826cbf8203352777d695f524d5",0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41c215d58deb3dae780eee8dc22ab129",36,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,16,36,108,102,69,44,66,133,197,203,114,28,92,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"41d407d2dcd22d6ed303635fcdd94744",238,175,64,71,61,42,56,79,110,87,125,85,75,46,88,80,44,45,39,32,14,37,34,66,138,186,194,192,150,126,131,116,67,31,18,61,18,119,128,164,176,185,167,100,64,117,92,60,109,22,26,38
"432b07b78eb7d93df8896c3d481fa8a7",0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"432e76e91bd73d6abf0237bb769c5a2c",0,0,3,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"432ff3cf389f2139c4889748e2f4afcf",89,45,27,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433e2e8af8aebca1a2b04d446cd939b9",1,4,2,5,5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,11,11,11,0,11,12,13,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
