"ASVID","DonorA_Stool123","DonorA_Stool125","DonorA_Stool126","DonorA_Stool127","DonorA_Stool128","DonorA_Stool129","DonorA_Stool134","DonorA_Stool135","DonorA_Stool136","DonorA_Stool138","DonorA_Stool139","DonorA_Stool140","DonorA_Stool141","DonorA_Stool142","DonorA_Stool143","DonorA_Stool144","DonorA_Stool146","DonorA_Stool147","DonorA_Stool149","DonorA_Stool150","DonorA_Stool151","DonorA_Stool152","DonorA_Stool153","DonorA_Stool154","DonorA_Stool155","DonorA_Stool156","DonorA_Stool158","DonorA_Stool159","DonorA_Stool160","DonorA_Stool161","DonorA_Stool162","DonorA_Stool163","DonorA_Stool164","DonorA_Stool165","DonorA_Stool166","DonorA_Stool167","DonorA_Stool168","DonorA_Stool169","DonorA_Stool170","DonorA_Stool171","DonorA_Stool172","DonorA_Stool173","DonorA_Stool174","DonorA_Stool175","DonorA_Stool176","DonorA_Stool177","DonorA_Stool178","DonorA_Stool179","DonorA_Stool180","DonorA_Stool181","DonorA_Stool182","DonorA_Stool183","DonorA_Stool184","DonorA_Stool185","DonorA_Stool186","DonorA_Stool187","DonorA_Stool284","DonorA_Stool285","DonorA_Stool286","DonorA_Stool287"
"OTU_18",-3.53784120958149,-4.75275893586315,-4.11930282845482,-3.24586525942911,-3.28416192974326,-4.28093851649073,-4.87530188742982,-4.97401322175133,-3.56535666292469,-4.26996031014886,-3.53524007555953,-4.07806696470178,-4.4126937946729,-4.81881421391109,-4.04906051437582,-4.54089306859008,-3.80718646148784,-4.0494774158375,-5.23414479151592,-5.30932043989237,-4.64201006886713,-4.1464097808217,-4.46697183538077,-3.53955232126177,-4.48457068782213,-5.12134987220019,-4.99135980056793,-5.51177311664772,-4.23630949526005,-5.22201764515333,-4.34412472364981,-4.08171368718581,-4.48035560613212,-5.22025186957119,-5.33014584891383,-4.57834904706569,-4.26760780313453,-4.97254525462182,-3.88796029644765,-3.91651551677132,-4.64325294836425,-4.32044669557606,-6.0462408990367,-4.40890572322512,-4.38618464482255,-4.68181906854513,-3.99265994210706,-3.68962070474352,-4.15624023600502,-4.96534645581169,-3.64182165949324,-3.16309948202104,-3.71752232006617,-3.91369699619361,-4.00701965646364,-4.10979476619442,-3.51014856545071,-5.12396397940326,-4.70995910974696,-4.87916749848957
"OTU_17",-4.02322357756765,-3.89213583847612,-5.26890957331222,-6.008915555305,-5.01624453286077,-5.0195537396035,-3.2263478397069,-3.50988568741266,-4.48717879529397,-4.29309032927467,-3.97645735447333,-4.421900811736,-4.0676099889477,-3.82609308336658,-4.73249258359955,-4.41081094892837,-4.77058127063373,-4.31341733916583,-4.29014326893729,-4.21526681671656,-3.46997859053852,-4.5272611228055,-4.59660731322228,-6.32414810312908,-4.23630949526005,-4.8316764979323,-4.20313668318162,-4.26006822760702,-3.96055004632281,-4.504202523331,-4.295476798885,-6.29382995647032,-4.04158820978279,-3.70586794965863,-3.98491836465427,-3.95522904110849,-3.81035935165165,-3.81457527699318,-4.53125450303792,-4.52375351899157,-4.28900549967303,-3.89224537781947,-3.16910808378949,-4.39174813495429,-4.27944004589878,-4.52450228292064,-4.11538239081423,-4.5425644363666,-4.16312577109846,-4.90694266165631,-5.11468460567402,-6.23193087323859,-4.44065346391166,-4.69934335600534,-5.06694331609731,-5.64993408465947,-4.76428208357051,-4.29965563724075,-4.10291340905561,-4.37473515909254
"OTU_25",-3.84545576115603,-3.51244798992624,-3.46164679777991,-3.74102040675884,-4.63951966600273,-4.68721607178537,-4.26911891338067,-4.17164378394989,-5.11406290842055,-4.37418345721286,-5.44601872269539,-5.83491515934642,-4.95177993953638,-4.46790969951772,-6.16226161804998,-4.43732737523757,-4.98929815670812,-5.04519254473287,-3.86738663883242,-3.83475696729011,-5.18965923866865,-3.98381498605441,-4.32711900659727,-4.79419996151716,-4.0007283491445,-4.14398092910757,-4.86259921526885,-4.13302046468362,-4.63566810240102,-3.97831560524735,-3.93214702112497,-4.86084546230479,-4.62996658146476,-4.96524233795018,-3.714307708585,-4.19897564524195,-4.17365440067998,-4.48505967751185,-5.68646161371357,-5.00745074160783,-4.28900549967303,-4.75464094249021,-3.10976898425075,-3.79019692394468,-5.7903818894064,-4.23808932088824,-5.20566403156223,-4.96649103738402,-4.09625356693802,-3.95960222886467,-5.20535348862717,-5.70928812404889,-5.70180134685115,-5.35237314610526,-4.8455330513561,-4.48477660295897,-3.97242161300472,-3.32342407042546,-4.6072111126324,-3.43409691977408
"OTU_20",-4.73736031807894,-4.6058990869419,-3.97103782439709,-3.93903456537018,-3.99877720649374,-4.90094442833721,-4.23906615176051,-4.02291847080944,-4.06359195825185,-4.54854744693649,-4.27635512538892,-3.78632137635845,-3.96661640403232,-4.54497863869818,-4.74472001679177,-4.47378589690896,-3.92443246113077,-3.5751719091699,-4.90119762052453,-5.30932043989237,-5.13528230800655,-4.70942543990634,-4.79557861383797,-3.30295511322102,-4.66877076739769,-5.87170038364654,-5.37651221413309,-4.19458784045874,-4.28138979336383,-4.37028441008143,-4.03146463807801,-3.73306420926419,-4.32564374217938,-4.95032312346187,-5.00404955306754,-4.95717246530744,-5.59212646372319,-5.70002542577849,-4.69996370341978,-4.21805677736431,-4.50157343070865,-4.59554063701225,-5.54260423529891,-5.34979542647408,-4.52498040867682,-4.13999697671957,-4.35650034133493,-4.43008553738477,-5.7646685002122,-3.7744016275521,-4.05803677409745,-3.7387272598415,-4.63946658723665,-4.83401175841694,-4.7446215211236,-4.865609522046,-4.86911381377414,-4.22394136598057,-3.31182122231277,-3.76043912201657
"OTU_35",-4.98371199023486,-8.48683707140134,-6.67970387048201,-9.18932100475211,-7.7950290617858,-7.57507169950756,-4.65301799104899,-5.67061210805514,-6.53999875232116,-4.58937600895534,-4.91802568980518,-5.83491515934642,-6.23193087323859,-6.03277337962513,-3.42426265459315,-3.94232024327474,-6.29352196406503,-6.87512877615504,-4.07933667178169,-4.9230440388648,-5.35082731182,-2.49939309597045,-4.31090565001944,-4.20994028872932,-6.23151696594791,-3.26351425633317,-4.78501955363666,-5.20359192141345,-5.30174897184973,-5.88001557551318,-5.49337794911942,-6.18826412308259,-3.84366018751659,-3.1695778394717,-3.8660837734867,-3.95522904110849,-3.27875150319486,-3.05703907017006,-5.39764837758521,-5.54702606367707,-6.18764791683941,-5.15685853071773,-5.88548655690136,-4.97157377225147,-5.89989735358249,-6.47007684850932,-5.53992105515456,-5.22149862297944,-3.76622444610907,-5.67706508631749,-3.52816395161531,-5.67841286527844,-2.82542009897127,-5.88713230917572,-4.76892615491504,-4.17892732741833,-7.08694694276716,-4.03746789804944,-4.95304898123395,-5.96881411867266
"OTU_28",-5.0642813740674,-5.36887937666317,-5.72863243127962,-4.89148145630609,-5.68182601437462,-6.04716658694029,-5.61437862760147,-5.50293132606626,-4.72905223187095,-4.94761196434551,-4.94680505668811,-4.31254151606894,-4.93707715217773,-4.6283405285278,-3.77615488074643,-5.0928139198541,-4.30479247932238,-4.64741725156859,-5.87263930187315,-5.69530917745158,-4.95768944820682,-4.29944517738519,-4.544783035973,-4.2547057770558,-5.91713465684113,-6.07701652636126,-5.65794383280918,-4.9093353806132,-4.99679638687935,-5.14749447681345,-4.58656059673892,-5.06890420222023,-5.34958892156885,-5.48386288744693,-5.0679758407115,-5.65382987040914,-5.46155554951613,-5.23194710343552,-4.56083542827309,-4.4317480421203,-4.25130671888436,-4.88574371920258,-6.98595012656719,-5.0176936584637,-4.16864135070325,-4.60537849762305,-4.34829887212291,-4.12514245693456,-5.03538035744849,-4.90694266165631,-4.69467844317631,-4.04905729189476,-4.21455850326623,-4.10040582019796,-4.28000223553807,-4.20793201321822,-3.96668141796601,-4.52747100841861,-4.43750434399163,-5.23207072072911
"OTU_45",-5.39921444751289,-4.64887497777424,-5.44799814090245,-6.62314540556733,-6.98358399203393,-6.47543271670409,-3.21790500336916,-4.38751999308999,-5.48749039829109,-4.30880468815273,-4.42246924689294,-5.94855704609671,-5.36701389783427,-5.47761351808197,-5.82494603328686,-5.48344747566403,-7.57578975872701,-6.13205430409995,-4.91548700594867,-5.03075412692867,-4.78140328684507,-5.17813562295734,-6.45089160778797,-5.62920682151273,-4.70298506340743,-4.8585545425606,-4.81022710519828,-4.89524522634035,-5.70887365922066,-4.71537939283738,-5.28478876631821,-7.10578612948127,-5.24588823642476,-3.728184880724,-4.36851361250703,-4.49040343011606,-4.05625452274767,-4.10285525189001,-5.65650587035927,-5.19398512861578,-5.22884361022373,-5.33649238264901,-3.68279402981536,-3.814252659037,-6.38645835534885,-4.85442323182009,-5.8111409929767,-6.13143350739093,-4.67104208744181,-5.8783580593355,-4.40682347364404,-5.56358800632274,-4.00532270891906,-4.75835654558633,-4.64190642581371,-4.93811809579162,-7.08694694276716,-5.15989089567008,-6.44009556728085,-5.17348121415195
"OTU_46",-6.1182020803111,-5.1671727337345,-5.17122025591811,-8.09050444685645,-5.65186979344179,-5.11861307139,-5.87472263596001,-5.0208475216065,-5.91972064224914,-5.17959639116368,-6.78897174299217,-5.03642879537216,-5.99779861116956,-6.22424571754091,-5.46700473206619,-6.40222809366735,-5.57102298481026,-6.18094789692956,-4.84597027253974,-5.15129275105703,-5.88558949580721,-4.78237450536086,-4.24849524204936,-4.76866988437479,-4.98142491599645,-5.29414199513756,-4.69000691550079,-4.51451581771996,-5.51032218883592,-5.59140148828881,-5.98046679289844,-7.79934339821592,-4.57762249142627,-4.89274808634748,-5.41950545115293,-4.85846783157804,-5.01385925820119,-4.28015874044227,-5.02089498303387,-5.31238462375947,-5.59821617650974,-5.27299955856375,-4.57876398483098,-4.50878395575099,-4.04347907532771,-4.12013806349801,-5.8111409929767,-5.26092697732948,-4.8436620142491,-4.93572432404071,-5.43911397016397,-5.95687310233836,-5.29466487096646,-4.62207905351381,-4.75670125863689,-4.75939229183588,-6.27497124814928,-6.12624515913294,-4.65160337456455,-5.25238027136101
"OTU_36",-9.71661533483869,-9.72390012780844,-9.71705970574427,-9.72828223510185,-9.72449870570915,-9.72613234931328,-4.75810060941012,-4.78017336197437,-5.16748363067467,-3.85492341338757,-4.94680505668811,-4.79233232889378,-5.34493125129487,-3.99920777778855,-4.27880059154469,-4.47378589690896,-4.13949703594871,-4.44862079822652,-4.81944334258865,-5.33093185843343,-5.62525449222281,-5.07214840997381,-4.58602983933566,-3.97577550344475,-5.74072598984789,-5.52880232472061,-5.92702858481364,-4.9093353806132,-4.28909911027362,-5.51104791589074,-4.39519387517071,-5.28919424448373,-6.18517928773138,-5.22025186957119,-5.17213552307662,-5.84860405919494,-4.62632775642762,-6.86547388672553,-5.59914186441333,-5.88990338910362,-5.85035348078853,-5.40424748739188,-7.57414772223326,-5.77888994714301,-5.93922343526229,-5.26248291353882,-5.77713619417894,-5.61915785747755,-5.9475126595788,-5.95552644030235,-5.46331492901266,-5.3021641249434,-5.42882335391254,-6.13906319694394,-6.98595012656719,-5.59088036501953,-4.85540294839826,-5.21629353106945,-5.11842143696892,-4.37473515909254
"OTU_48",-6.32993059308899,-5.84509600772278,-4.80096889270328,-5.08893289020439,-5.30558257753945,-6.47543271670409,-5.25614028764885,-4.71902394350459,-4.91047770380715,-5.16114298264501,-5.00693615301005,-4.59564580607161,-5.04477696031131,-5.23351737332112,-5.46700473206619,-5.23935802405066,-4.68794037209123,-4.29770394760818,-5.40560625425889,-5.76005778262354,-5.74702733810921,-5.15968206200534,-5.30541974441883,-3.81432949995328,-5.48490066255044,-5.90954507942159,-5.78351744267505,-4.61564148585539,-4.95136392288971,-5.02898443276445,-5.09449035415803,-4.75866660708434,-4.95644823993825,-5.43486503895692,-5.49213508848042,-5.71466059280338,-6.40512514690931,-6.0312076990172,-5.05284986691619,-4.76114364416469,-5.46764840669802,-5.08623529225413,-6.0462408990367,-6.7841485000227,-5.54591619180882,-4.98319142552218,-5.65155995610391,-5.48510808839645,-6.52847992003561,-4.87895476421515,-5.28423913988868,-4.86659846161912,-5.31582282253018,-5.24867389724084,-5.1711036377307,-5.21269539821456,-5.98666136360196,-5.83783456502745,-4.55430644487175,-5.21216123870184
"OTU_39",-6.21849527041247,-5.84509600772278,-5.9852997504039,-5.33446462169339,-4.63951966600273,-6.00450416061579,-6.33838619960354,-6.27831293881119,-5.0150007516059,-4.90412649291114,-4.18241358076987,-4.24312369824745,-5.1653053195597,-5.27373189107542,-4.5545146467242,-5.64658945814146,-5.6558889671935,-5.09510106088645,-5.99073511447,-5.69530917745158,-5.22760598630338,-4.96106870918725,-4.43925386496474,-4.29355823082687,-6.69177352069555,-6.22393290798724,-6.62150807405131,-6.46976697916841,-5.74072598984789,-6.04077217571328,-5.20432362754746,-5.11964431825874,-6.29074575540311,-6.97873136777813,-6.23873572473697,-6.47409643650319,-6.46976697916841,-6.27685232300639,-6.13967927664307,-5.44653209608312,-5.08491785418322,-4.50498145873266,-6.40986644624687,-5.41754638469144,-4.93405065270109,-4.9680497221699,-4.59668064333423,-4.76290329143337,-5.00342183957795,-5.32197155744593,-5.20535348862717,-4.86659846161912,-5.76654859268161,-5.92497540680051,-5.20835137168081,-4.865609522046,-4.72759850026795,-4.67503159404561,-4.43750434399163,-5.1181007356994
"OTU_22",-2.56427337726455,-4.07575724551946,-3.55803985315513,-4.34826300452107,-5.00063675695298,-5.33004279331524,-4.64198415911081,-4.59617148552439,-6.61420989703107,-6.3999459350005,-7.39561929111078,-8.07111440042278,-9.89335549009007,-9.88969546183949,-9.15999399753944,-9.17636985240503,-6.98759283740888,-7.09847893904024,-5.70221875268002,-6.8607684877578,-8.49084921607663,-6.33776230439769,-4.09413086417662,-4.12585178546781,-7.79121285376105,-9.17024727840974,-8.49443620429362,-7.23273313617761,-9.89317334794946,-8.48528964240323,-7.55108176455813,-8.49269555981584,-6.5424719605068,-3.80296952856986,-6.09182394161711,-7.10342485329559,-6.98121224562696,-3.89139503763218,-3.67231743812901,-5.29166261969567,-7.57548208219517,-8.07101025002951,-9.89605096002713,-9.89569171838823,-7.77401507725073,-9.89399024201852,-9.18132342290569,-9.17802377049964,-8.07007240803924,-8.4836364078874,-8.48776438072542,-9.17823031805795,-7.78416107715738,-6.23935205757621,-6.47450778986152,-5.00010384204391,-7.55726400251225,-9.1728461675486,-9.87968501424197,-9.14931567013841
"OTU_55",-5.37611980445236,-5.51260127404495,-5.09934063781261,-4.47764668381912,-4.77891598117885,-5.13610798665806,-5.27644729744365,-4.91475352239297,-4.61678666322274,-9.17409123930106,-6.19021294158747,-7.56008046502183,-5.77403381320046,-5.99010946272905,-6.76104653609181,-5.43444954087262,-6.78671695060508,-5.80845309722009,-5.58401831119476,-5.33093185843343,-5.22760598630338,-6.68658893836461,-7.77380479441955,-9.89753037720315,-4.31258025635039,-4.92903743254795,-5.10419767106013,-5.77506900998028,-4.58277849567319,-4.51378562418624,-4.44894159121435,-4.47423282854062,-5.39424718904491,-6.23048144757848,-5.92435863046517,-4.87199434479514,-5.20359192141345,-6.60279661688223,-5.4443741545377,-5.23193098532199,-6.0921322505451,-4.70659272542755,-6.61781424674441,-4.75576895422379,-6.02281574795265,-4.99856271286199,-5.43942415989918,-4.90808771981504,-5.98843914184796,-5.23987785563694,-5.59388493327381,-5.0611413934812,-5.21420388450402,-5.57102298481026,-5.22750278180358,-7.06966152082516,-6.7681796828798,-6.33797031271877,-5.29458701316813,-4.99956899686884
