"ASVID","Nov2rep3","Nov3rep3","Nov4rep3","Nov5rep3","Nov9rep3","Nov10rep3","Nov11rep3","Nov12rep3","Nov13rep3","Nov16rep3","Nov17rep3","Nov18rep3","Nov19rep3","Nov20rep3","Nov23rep3","Nov24rep3","Nov25rep3","Nov26rep3","Nov27rep3","Nov30rep3","Dec1rep3","Dec2rep3","Dec3rep3","Dec4rep3","Dec7rep3","Dec8rep3","Dec9rep3","Dec10rep3","Dec11rep3","Dec14rep3","Dec15rep3","Dec16rep3","Dec17rep3","Dec18rep3","Dec21rep3","Dec22rep3","Dec23rep3","Jan4rep3","Jan5rep3","Jan6rep3","Jan7rep3","Jan8rep3","Jan11rep3","Jan12rep3","Jan13rep3","Jan14rep3","Jan15rep3","Jan18rep3","Jan19rep3","Jan20rep3","Jan22rep3","Jan25rep3","Jan26rep3","Jan27rep3","Jan28rep3","Jan29rep3","Feb1rep3","Feb2rep3","Feb3rep3","Feb4rep3","Feb5rep3","Feb8rep3","Feb9rep3","Feb11rep3","Feb12rep3","Feb15rep3","Feb16rep3","Feb18rep3","Feb19rep3","Feb22rep3","Feb23rep3","Feb25rep3","Feb26rep3","Feb29rep3","Mar2rep3","Mar3rep3","Mar4rep3","Mar7rep3","Mar8rep3","Mar9rep3","Mar10rep3","Mar11rep3","Mar14rep3","Mar15rep3","Mar21rep3","Mar22rep3","Mar23rep3","Apr18rep3","Apr19rep3"
"OTU_45",21,14,16,6,3,13,16,20,22,34,3,13,15,17,13,12,18,20,24,32,25,7,29,20,14,12,12,10,8,1,10,3,4,5,6,7,6,1,4,1,3,3,5,2,5,2,6,2,2,1,1,2,2,0,0,2,0,1,0,0,4,3,0,6,1,0,2,5,2,0,2,1,3,4,5,6,3,5,3,3,8,5,7,5,5,8,3,4,19
"OTU_56",1,2,1,2,0,0,1,0,3,0,5,7,1,1,2,4,8,7,5,12,13,22,12,5,3,9,16,15,14,6,7,3,1,3,6,7,6,7,4,3,9,5,4,9,5,5,5,5,8,11,6,6,6,4,12,9,13,17,17,25,16,16,10,16,22,13,15,17,16,13,9,10,10,8,8,8,9,4,11,10,3,8,5,3,1,2,3,2,1
"OTU_65",8,3,11,9,9,4,2,9,8,8,17,5,5,2,3,2,3,5,5,6,8,9,8,6,3,2,2,5,3,3,1,0,0,2,2,6,8,8,9,6,4,4,5,5,4,8,7,11,8,15,9,8,6,13,11,11,13,10,19,22,3,18,9,5,3,10,19,18,17,21,13,16,8,4,10,14,8,8,2,9,5,0,4,1,0,0,1,0,0
"OTU_63",32,17,61,32,4,5,3,8,4,4,2,5,6,8,4,11,10,5,5,9,5,2,6,0,1,6,12,6,1,3,6,6,16,19,9,5,6,3,8,3,6,9,5,4,6,6,8,2,4,5,4,4,4,4,2,6,5,2,3,10,6,3,9,7,1,5,7,5,3,0,4,5,2,4,4,8,3,7,6,4,7,2,3,6,4,14,9,6,29
"OTU_49",31,4,14,32,2,0,0,1,0,0,11,18,4,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,5,0,2,17,0,2,2,0,1,0,0,0,1,0,0,2,0,2,1,1,0,3,1,0,4,0,3,2,3,3,0,1,3,4,0,5,1,3,2,1,3,0,2,1,0,4,7,9,8,8,16,2,20,25,81,117,103,0,0
"OTU_87",74,136,83,55,14,5,6,3,6,2,6,15,14,5,1,3,1,1,2,2,2,1,1,2,3,1,0,2,1,11,10,21,13,16,6,1,1,3,4,0,2,1,2,0,0,0,1,0,2,0,2,1,2,0,0,2,1,3,1,1,2,1,4,2,1,1,2,0,2,1,2,2,2,2,8,1,4,2,4,2,3,5,1,0,1,0,1,0,0
"OTU_55",17,18,14,41,26,35,16,37,52,30,64,26,11,14,9,7,21,6,6,14,10,11,16,12,2,10,5,5,5,1,5,3,0,4,3,2,2,1,1,3,3,2,0,2,3,0,0,2,0,1,0,2,0,0,3,1,0,1,0,0,0,1,0,2,1,1,0,0,1,0,0,0,1,1,2,0,2,0,0,0,1,0,1,0,1,2,0,0,0
"OTU_52",3,1,0,3,2,12,18,9,31,24,31,6,7,13,28,34,25,24,43,32,22,29,13,19,7,7,11,11,7,10,10,2,1,12,6,7,5,2,2,1,2,4,2,0,2,1,3,2,0,1,0,0,1,0,1,0,2,0,1,0,3,0,0,0,2,2,1,1,1,0,0,0,0,1,1,1,1,2,0,1,2,0,0,4,2,1,1,9,3
"OTU_79",0,0,0,1,0,0,0,2,1,0,0,2,0,0,6,9,2,4,6,8,4,0,3,4,11,1,5,1,8,1,0,2,0,1,6,11,3,18,14,23,10,16,16,11,19,9,16,7,14,13,11,11,8,12,13,12,11,8,16,20,10,8,11,10,10,9,8,9,0,4,5,2,4,8,6,8,10,4,3,13,9,5,5,6,5,3,6,0,0
"OTU_71",2,1,4,8,14,5,9,5,8,2,3,3,3,2,7,10,13,10,8,10,6,12,14,5,5,10,10,4,11,9,7,0,0,2,7,12,9,13,14,21,15,9,7,8,9,17,10,7,13,11,3,9,6,10,14,11,7,10,3,11,6,2,10,7,2,4,8,6,5,8,4,5,1,2,0,2,1,2,0,0,0,1,1,0,0,0,0,0,0
