"ID","N01B","N02B","N03B","N04B","N05B","N06B","N07B","N08B","N09B","N10B","N11B","N12B","N13B","N14B","N15B","N16B","N17B","N18B","N19B","N20B","N21B","N22B","N23B","N24B","N25B","N26B","N27B","N28B","N29B","N30B","N31B","N32B","N33B","N34B","N35B","N36B","N37B","N38B","N39B","N40B","N41B","N42B","N43B","N44B","N45B","N46B","N47B","N48B","N49B","N50B","N51B","N52B"
"ed87b725f64bc315435ef8faf099e087",13,5,16,13,10,8,7,5,6,9,14,11,8,15,8,12,6,4,10,7,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,13
"ed89598c59ee717abc7cb7c34ee6d46e",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,8,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"edb114398ced5bf958f4f404493a6642",15,2,10,10,8,3,2,2,0,0,0,0,0,0,0,10,0,14,12,8,8,6,9,3,4,6,0,3,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"edd74e591385b3625e039a5966ddc0c3",19,7,20,24,16,17,6,14,13,0,0,0,10,22,14,18,0,6,12,39,54,31,18,30,14,13,12,14,29,23,32,14,9,12,9,30,14,11,25,19,19,34,99,174,118,21,29,8,35,10,29,36
"eddf5551bfa190056ebd8f93b08ad57e",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,11,3,3,5,2,1,6,11,9,0,1,0,0,0,0,0,0,0
"ee01f2e2144ff786a8dc982565c6bc48",1,1,2,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,3,4,5,3,2,10,4,1,4,5,3,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee17b3837472455fd13d181a12cf15ab",0,0,2,1,3,4,8,0,5,4,2,7,13,6,4,3,2,7,2,0,3,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee210e16816aa3366673a7da60f80131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,21,15,10,11,0,0,4,2,1,5,0,0,0,0,0,0,0,0,0,5
"ee5ec0bcf0e403ac13dd2e9f951de3dd",0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,16,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ee7c1636414e4b7ed322cbf2bdfdd442",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,31,37,8,21,26,17,31,22,24,4,22,0,0,0,0,0,2,0,8,0,4,0,0
