"ID","ZOZOW1T_feces_320","ZOZOW1T_feces_321","ZOZOW1T_feces_322","ZOZOW1T_feces_323","ZOZOW1T_feces_324","ZOZOW1T_feces_325","ZOZOW1T_feces_326","ZOZOW1T_feces_327","ZOZOW1T_feces_328","ZOZOW1T_feces_329","ZOZOW1T_feces_330","ZOZOW1T_feces_331","ZOZOW1T_feces_332","ZOZOW1T_feces_333","ZOZOW1T_feces_334","ZOZOW1T_feces_336","ZOZOW1T_feces_339","ZOZOW1T_feces_340","ZOZOW1T_feces_342","ZOZOW1T_feces_343","ZOZOW1T_feces_344","ZOZOW1T_feces_345","ZOZOW1T_feces_346","ZOZOW1T_feces_347","ZOZOW1T_feces_348","ZOZOW1T_feces_349","ZOZOW1T_feces_350","ZOZOW1T_feces_351","ZOZOW1T_feces_352","ZOZOW1T_feces_353","ZOZOW1T_feces_354","ZOZOW1T_feces_355","ZOZOW1T_feces_356","ZOZOW1T_feces_358","ZOZOW1T_feces_359","ZOZOW1T_feces_360","ZOZOW1T_feces_362","ZOZOW1T_feces_363","ZOZOW1T_feces_365","ZOZOW1T_feces_367","ZOZOW1T_feces_368","ZOZOW1T_feces_369","ZOZOW1T_feces_370","ZOZOW1T_feces_371","ZOZOW1T_feces_372","ZOZOW1T_feces_373","ZOZOW1T_feces_374","ZOZOW1T_feces_375","ZOZOW1T_feces_376","ZOZOW1T_feces_377","ZOZOW1T_feces_378","ZOZOW1T_feces_379","ZOZOW1T_feces_380"
"OTU_11248",1,0,1,2,1,3,2,1,4,1,2,3,5,2,2,0,0,0,0,0,0,1,1,1,6,1,0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,2,0,0,1,0,3,1,1,1,0
"OTU_3179",1,0,2,0,0,1,2,1,1,0,0,1,0,1,1,1,0,0,2,1,0,0,0,1,1,1,4,0,0,1,0,0,0,2,3,1,3,0,3,2,1,5,2,2,2,1,0,5,1,0,1,1,2
"OTU_16095",0,4,3,6,1,3,6,2,1,5,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,17,0,0,1,0,1,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0
"OTU_11196",1,1,0,2,11,7,5,7,1,4,3,3,7,4,1,6,0,0,0,1,2,4,0,0,1,2,2,3,2,0,3,2,0,0,5,0,0,0,2,0,2,1,4,2,1,1,0,0,0,3,1,1,1
"OTU_19930",0,0,0,0,2,1,0,0,1,1,1,0,0,1,0,0,1,0,12,0,1,2,2,0,0,0,1,0,0,0,0,1,2,2,0,1,0,1,0,1,0,2,0,2,1,2,2,0,0,0,2,0,1
"OTU_20275",0,0,2,1,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,0,2,1,7,5,3,0,0,0,1,0,2,1,0,3,0,0,0,2,1,0,2,2,0,0,0
"OTU_609",1,6,9,4,3,36,4,9,8,5,2,8,5,8,30,22,18,7,7,2,3,12,4,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_122",3,0,1,1,3,4,0,1,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,2,3,3,3,1,3,0,1,0,1,1,0,0,1,0,0,2,0,2,3,0,1,2,0,0,1,2
"OTU_340",6,1,0,2,0,4,2,0,0,0,0,0,0,0,1,0,2,1,0,3,0,2,1,0,0,0,2,0,3,2,0,3,1,0,4,4,1,3,2,5,2,2,2,1,0,17,4,5,2,1,3,1,3
"OTU_441",0,2,1,2,0,1,3,4,0,1,1,1,0,1,1,3,1,0,0,0,0,0,3,1,1,1,1,0,0,3,5,0,4,0,0,1,0,4,0,1,0,0,1,0,5,4,5,0,0,1,0,1,1
"OTU_1743",13,2,1,1,3,4,1,1,0,2,3,1,1,4,1,4,3,1,7,3,0,2,4,2,0,0,0,2,0,0,0,0,1,1,3,3,0,1,1,1,4,1,4,1,1,3,2,1,2,0,3,2,1
