"ASVID","NWSwk16S002","NWSwk16S010","NWSwk16S018","NWSwk16S026","NWSwk16S034","NWSwk16S042","NWSwk16S050","NWSwk16S058","NWSwk16S066","NWSwk16S074","NWSwk16S082","NWSwk16S090","NWSwk16S098","NWSwk16S106","NWSwk16S114","NWSwk16S122","NWSwk16S130","NWSwk16S138","NWSwk16S146","NWSwk16S154","NWSwk16S162","NWSwk16S170","NWSwk16S178","NWSwk16S186","NWSwk16S194","NWSwk16S202","NWSwk16S210","NWSwk16S218","NWSwk16S226","NWSwk16S234","NWSwk16S242","NWSwk16S250","NWSwk16S258","NWSwk16S266","NWSwk16S274","NWSwk16S282","NWSwk16S290","NWSwk16S298","NWSwk16S306","NWSwk16S314","NWSwk16S322","NWSwk16S330","NWSwk16S338","NWSwk16S346","NWSwk16S354","NWSwk16S362","NWSwk16S370","NWSwk16S378","NWSwk16S386","NWSwk16S394","NWSwk16S402","NWSwk16S410","NWSwk16S418","NWSwk16S426","NWSwk16S434","NWSwk16S442","NWSwk16S450","NWSwk16S458","NWSwk16S466","NWSwk16S474"
"bf3a1a4c1b84ea31505d1050de6beab1",-4.03290151615699,-3.94993908695476,-3.9650484943523,-3.89632521608157,-3.96908289224698,-4.10190021590831,-3.96907388660494,-3.95192222137801,-4.08702050940945,-3.83187071850996,-3.96298291091446,-4.33874211989714,-4.00084364215575,-4.26292268388966,-4.42288601167297,-4.09548028068603,-4.21496594322356,-3.94427223290736,-4.18282426488058,-3.75119799107503,-4.1481441294782,-3.88293404353325,-4.07937102043194,-4.14844447337976,-3.99212915280227,-4.42152467623199,-4.06034668535249,-4.05377660047344,-3.65094679994529,-3.89103506053592,-4.03742869022181,-4.55262297294095,-4.05838221641163,-4.01354399168546,-3.66427761952602,-4.1348604989825,-4.52112092477568,-3.73677412256668,-4.12390336446365,-3.81954926604668,-3.78342859887392,-4.09042452584203,-3.82432256449657,-3.68807842162929,-3.88454614658716,-3.63517338048321,-3.79007970330286,-4.32088279251542,-4.44833070939929,-3.67818757854316,-3.8463409735885,-3.76178721134831,-3.93097802112184,-4.07287926313034,-3.72467951400835,-3.98525568006161,-4.44218055749363,-3.96657163375977,-4.02200440727509,-4.42159069547002
"2d16d001e21717f960cf771ae879b1dd",-4.19953264922186,-3.91594971204432,-4.32582535497414,-3.77700569497613,-3.72023594231955,-4.07930529735521,-4.29793513660355,-3.84562645769652,-4.78309139443075,-4.42017840063826,-3.91494759493697,-4.2392024544739,-4.17649493731326,-4.10642239795816,-3.68005686549876,-3.85892628404144,-4.26328086439574,-4.4332351797076,-4.09135998033492,-3.41045429939445,-4.04968687324397,-3.69901311982874,-3.78766336732883,-3.54723643327469,-4.26714268651831,-3.96407581523239,-4.35421816537714,-4.01004827259526,-4.14733320584126,-3.96058905484989,-3.95672318434605,-4.09459705559549,-3.92111200978534,-3.8738651418842,-3.57637094519082,-4.29684923924716,-3.85817899617978,-4.5627579446445,-4.15955250210608,-4.40841158139637,-4.30614193714901,-4.81585179344971,-4.32322701020533,-4.02517487170896,-4.161659134537,-4.31577235675281,-4.41376752045794,-3.9248494842284,-4.91951883996435,-5.0303591719338,-4.47077588747462,-4.51889354868232,-3.78991611925944,-4.00413025410262,-4.34805076394648,-3.97073681278978,-4.10098910494077,-4.36495256494107,-3.77423617545386,-3.87397493779062
"69023e9c72ccf5e979a500bf1c235026",-3.72195932537705,-3.94419647306602,-3.88513199823868,-4.19809664218333,-3.89172710580824,-4.08490791156736,-4.08836819001018,-3.99684619773722,-4.13770877710554,-4.02984338865974,-4.13782967416184,-4.02275280159629,-4.0983049634382,-4.11144179246735,-4.49132936956433,-3.83168785733726,-3.68948690846507,-3.75006414315308,-4.10491489708087,-4.10417265115836,-3.87704608847274,-4.52359853229428,-4.27098763373013,-4.10519814681351,-4.0683617658506,-3.72419796009188,-4.20661662190849,-3.93216510484844,-4.14733320584126,-3.97264762724458,-4.78183058734731,-3.67046086858992,-4.29003126730327,-4.72276541058185,-3.99111851909291,-4.1348604989825,-3.91077222352649,-3.91238008452496,-4.13801564109745,-4.03526121997257,-4.00157002506073,-4.30743777768281,-4.59740426003722,-4.16525478633236,-3.85631808021618,-4.15525608692388,-4.5662843004947,-4.17528132449252,-3.9692639241153,-4.38068079272589,-4.51963386817833,-4.52970479999552,-4.03690407798357,-4.36118596880203,-4.76217393479776,-4.73206711917644,-4.05831509864288,-4.32583700275005,-4.29265299715408,-4.172494633405
"46d99f09b9b4c58ca58cda72404768bb",-4.00837160692495,-4.08505422857662,-4.02195924337983,-4.30629993076777,-4.05266807319478,-4.24895895640963,-4.24141342646029,-4.21434360284174,-4.35544403295336,-3.93978781705549,-4.36812323930869,-4.22470900682211,-4.26110397056914,-4.08168463423681,-4.39489798771409,-4.03381463289189,-4.35371289035927,-4.21749116890091,-4.45017008890434,-4.27433168507086,-4.20113262987111,-4.45133554816832,-4.36912598131999,-4.1675479662454,-4.10283333464223,-4.29018172765436,-4.07753744390572,-4.14720080569115,-4.17839261570431,-4.3229632934244,-4.53296086274794,-4.11796519438381,-4.30278134104875,-4.28006941214776,-4.09832523281826,-4.19192925967222,-4.46925500200829,-4.32675156269446,-4.3502779363593,-4.18787560824921,-4.32762701689617,-4.08092154188996,-4.42265813486077,-3.98562744947232,-4.02200384696546,-4.03827251459437,-4.12204078952343,-3.9248494842284,-5.30229094290791,-3.94345786849337,-3.92197333628131,-4.06559042481309,-3.87581995676419,-3.61917820370705,-3.56102344562201,-4.05063077712429,-4.11561433287523,-3.91890283831109,-3.92003316630116,-4.06485192194591
"13c94683bc0368daf22efe280916acd4",-3.2486111340381,-3.40539674687854,-3.72388197317922,-4.51389251508636,-4.69680050883402,-4.65590021497535,-3.97377988360384,-3.6135030722348,-4.5865014288924,-4.82964618253608,-3.85282453153348,-4.1091084553343,-5.10195483791147,-4.90680340016092,-5.5775076028495,-4.25104638435991,-3.2500404524199,-4.30446840032801,-4.62684372122008,-5.15935773381535,-4.1481441294782,-3.67813647048487,-4.57782040040501,-5.01942012365199,-4.58600624357818,-4.21110856031751,-5.00968245934098,-4.604918053365,-4.34209764155247,-3.73508316758649,-4.80375078663513,-4.336536308507,-2.57307614281793,-4.82743835426635,-5.20794370003614,-3.48057482708696,-3.84428417355955,-3.69526695277802,-5.35075535436122,-4.61833106370175,-3.54005012430965,-6.3755667203639,-5.80211837537706,-4.83234953853376,-3.48819994027075,-5.01557545234779,-6.10199915403954,-4.57417759774578,-4.20627718420031,-4.79350537065329,-4.37954510996085,-4.48712938515436,-3.69034179900042,-4.73202988775911,-4.68647252631188,-4.96963747539972,-3.80049694972684,-4.17609521224079,-4.18965474202643,-4.59443480129807
"6472eb8b1e09f892aca2f23182962903",-4.40551618791145,-3.65147986651455,-4.49633779918223,-4.22875746804017,-4.09147006443867,-4.23587009163254,-4.57834294375495,-4.09299229697209,-4.51737713617891,-4.66618380115024,-4.64803147903524,-4.18934336104929,-4.00575090642134,-4.08658506645119,-3.38044480836061,-4.50075084687033,-4.45289275054251,-4.11817835033876,-3.90119536677608,-3.72036990934088,-4.49255235907249,-3.92919431858592,-4.04121986414464,-3.89260870851906,-4.20081205988591,-4.38332209150352,-4.26037771775116,-4.19159969211314,-4.21041673347485,-4.36644534812631,-4.26540220177159,-4.76593758244706,-4.65080913177673,-3.91189641513745,-4.07258168155073,-4.62306226124849,-4.32777320444138,-4.31997391027087,-4.16683251782136,-4.48123017529976,-4.49212381376817,-4.62224578677835,-3.79765687228695,-4.25565675977088,-4.19973692450658,-3.95846535701483,-3.97102359115885,-4.10125754930729,-4.07539322083088,-4.04010973850444,-3.47313312118374,-4.12981895041576,-4.20288549884617,-4.1884674730619,-4.72361966618764,-4.74220553359608,-4.87707459701306,-4.7946946550761,-4.39852120415196,-4.57745634742058
"bdf8a26094624622d68509a87fa75ba7",-4.45667017766965,-4.2558833677894,-4.59358822171448,-4.3901767850229,-4.24988574053528,-3.78456367544123,-4.72411759204577,-4.53874643904508,-4.46843907905834,-4.58964889164155,-4.58885901742564,-4.37975132083675,-4.22398866861114,-4.76402675685276,-4.78180895964655,-4.64796670044843,-5.29458158363309,-4.19684865318719,-4.81306289704983,-4.40854684448328,-4.96355253224505,-4.63212325414351,-4.10560984600189,-4.5623017063215,-4.42215547563288,-4.49410010513745,-3.67528167480311,-3.94997215481072,-4.15964498815843,-3.78452711071993,-4.45136828254058,-4.73669957594194,-4.53183114889725,-4.68100446644163,-4.11585076744306,-4.33659332994205,-5.04219095907522,-4.61547406112636,-4.38581409603556,-3.98745382438351,-4.33488977929495,-4.05753911179034,-4.13703307718183,-4.28764551034332,-4.01657468342667,-4.11278939009184,-3.38200136645616,-4.33457486017557,-2.92880391892936,-3.990658888444,-4.05957514327563,-4.11519705838112,-4.41081613213664,-4.15833468740406,-4.02793146895913,-3.99504899558678,-4.59464992531391,-3.96657163375977,-4.0583509595742,-4.32507828280299
"d214bd84d67e8a0670a9eddffab2c9ed",-4.75977790421453,-5.6760043776842,-4.84714823632231,-4.71291399795157,-5.83234058348054,-4.02488655281337,-3.83696783926565,-5.46494625961549,-4.05455824411831,-4.90719885214679,-3.90222307648718,-3.44619607209533,-4.26742213586283,-4.12664796428155,-5.21037791524585,-3.3738608274984,-3.99287056525355,-4.0047034679286,-3.90681610284265,-4.28924104319078,-4.11427218617032,-4.24648114267766,-4.41295918144331,-4.94798236093867,-3.96620659125814,-3.70064706460693,-4.2742686112745,-4.59646574535795,-4.81256242721057,-4.20257409264667,-4.82615410360051,-4.2614215403961,-4.53988471928946,-4.28006941214776,-4.89924686364162,-3.40048601759161,-3.59199232735674,-4.08003209951166,-3.02175019101437,-4.0700892503534,-4.00685958825464,-4.20116997298337,-4.43884897054058,-5.25157510399591,-5.05985180659873,-5.29538855345723,-5.54070316408464,-4.98742426739795,-3.48213909339444,-5.73892986242185,-4.94886734215928,-6.07500114403577,-4.7251130496979,-5.48272008954582,-5.32544603393629,-5.84661392174352,-4.60646346698664,-6.58133237821393,-8.94436012035964,-5.22668496012997
"d3d472c89611f2b47bbe1b12747001e8",-4.55079126302736,-4.11838655670234,-4.53413441287134,-4.3901767850229,-4.49410010513745,-4.5534151044762,-4.4889820316782,-4.43149042635279,-4.56002853032332,-4.383365024345,-4.70163672174848,-4.78522580299286,-4.485495828025,-4.46163891083319,-4.64371983323989,-4.25104638435991,-4.49077834030648,-4.21749116890091,-4.61556046405469,-4.52452760995598,-4.50873033608864,-4.47783950387702,-4.36912598131999,-4.22707865722356,-4.20725611474211,-4.42152467623199,-4.16806056167577,-4.31176948723784,-4.0936776732344,-4.28124790051297,-4.25888068658284,-4.07174543577198,-4.28371506077927,-4.51753165312968,-3.99898270149578,-4.09137331123778,-4.46086072924269,-4.25454831376244,-4.26647325434477,-4.23427599612309,-4.17334850498803,-4.43929541769887,-4.42265813486077,-4.52821890090193,-4.3087502860744,-4.18033110869673,-4.55848165798729,-4.81912882772523,-4.7881396809729,-4.06339204229353,-4.43330288346161,-4.49760817474209,-4.68501307349911,-4.67146686939007,-4.33073334028633,-4.24416489194814,-4.47299280999524,-4.3181896218078,-4.71818736098678,-4.72192705428916
"90aca794c7e30b8a77e87f13ffc9a5cc",-4.34328924840795,-4.38787904110369,-4.49633779918223,-4.98636034319085,-4.46120743254832,-4.36750565532471,-4.44334305866249,-4.40015401926644,-4.60453935642633,-4.27480758969248,-4.31021895877855,-4.47619980469113,-4.18816475533594,-4.13176684487145,-4.69179530952967,-4.67810141988079,-4.51420212801354,-4.76458430053239,-4.43125761877551,-4.11679889938417,-4.96355253224505,-4.42550057186854,-4.73694699144394,-4.41318922376,-4.60488712706277,-4.4293391480388,-4.4491872274701,-4.43343073852467,-4.57338597357737,-4.80302364896154,-4.49953863089237,-4.49417585261201,-4.25883125138002,-4.21749461944342,-4.61865034754478,-4.2338445530568,-4.43608324468243,-4.38264700957746,-4.15232349566107,-4.12196991519949,-4.31325380939752,-4.45278528406462,-4.1309672759008,-4.28116764919135,-4.36792389750973,-4.52369370241094,-4.36759174089028,-4.60962453633747,-4.85768759410222,-4.29467164685977,-4.38831119322797,-3.92960561662297,-4.1471252994362,-4.05660423423925,-4.15731936138349,-4.18930025779726,-5.02716459604747,-4.61681924320529,-4.53603860862672,-4.29909209144374
