"SampleID","Week","AS.Bacteria.per.mL","AS.AOB.per.mL","AS.Virus.mL","Eff.Virus.mL","AS.pH","AS.Temp..oC.","AS.DO..mg.L.","Influent.Flow..L.sec.","HRT..Hours.","SRT..Days.","Eff.COD..mg.L.","AS.NH4.N..mg.L.","Eff.NH4.N..mg.L.","AS.MLSS..g.L.","Eff.MLSS..g.L.","AS.MLVSS..g.L.","Eff.MLVSS..g.L.","AS.Nitrate..mg.L.","Eff.Nitrate..mg.L.","AS.Nitrite..mg.L.","Eff.Nitrite..mg.L.","AS.Sulphate..mg.L.","Eff.Sulphate..mg.L.","AS.Phosphate..mg.L.","Eff.Phosphate..mg.L.","AS.Fluoride..mg.L.","Eff.Fluoride..mg.L.","AS.Chloride..mg.L.","Eff.Chloride..mg.L."
"AS_33",33,469598154.8,10586666.67,1452853877,719578497.7,6.59,9.9,3.32,83.95,11.32759402,14.12,29,6.7,6.9,3,0,2.19,0,10.835,36.212,0.322,1.785,92,103.316,6.351,3.232,0,0,77.616,68.024
"AS_34",34,285953296.6,6955333.333,1373899107,559085352.1,6.5,9.2,2.54,102.7,9.784735812,13.75,29,7,4.5,2.84,0.06,2.13,0.05,15.042,30.356,0,0.558,71.519,80.537,3.924,3.031,0.125,0.1,103.689,110.018
"AS_35",35,212647398,6291333.333,1374182824,745869468.2,6.37,9.6,2.44,85.52,9.057971014,13.88,24,3.6,2.7,3.06,0.03,2.26,0.03,21.518,48.462,0,0.283,98.84,111.638,5.794,3.046,0.095,0.246,86.534,88.756
"AS_36",36,81457561.03,2074600,1690063609,936951804.4,6.78,8.9,2.7,76.02,9.505703422,15.9,37,17,6.4,3.31,0.08,2.49,0.04,0.656,45.383,0,0,93.987,109.586,7.015,3.918,0,0,155.774,183.2
"AS_37",37,162347690.7,4650000,1311193966,826318993.4,6.76,9.1,2.35,91.65,7.552870091,14.72,33,7.1,2.3,3.1,0.05,2.31,0.04,17.293,30.786,0,0,118.811,93.419,5.828,3.362,0.807,0.878,153.471,86.447
"AS_38",38,262774811.9,11572000,1736050287,820832241.2,6.64,10.5,2.4,91.32,5.022601708,14.52,29,12.6,7.7,2.93,0.08,2.52,0.08,18.608,50.223,0,0,94.525,108.966,5.855,3.261,0,0,89.693,90.685
"AS_39",39,465542312.6,13052000,1303942781,684487746.7,6.07,10.8,2.45,73.85,9.009009009,12.89,46,55.5,50.5,3.12,0.11,2.34,0.11,6.011,54.214,0,0,97.128,125.582,10.952,6.119,1.575,0,87.303,83.266
"AS_40",40,455925409,53213333.33,1671767048,661574218.8,5.97,9.8,2.35,79.56,7.462686567,14.01,63,10.6,26,3.03,0.06,2.24,0.01,1.394,41.02,0,0,89.155,100.793,8.012,4.876,0.263,0.655,111.462,117.746
"AS_41",41,572176574.6,10549333.33,1777454158,850152508.2,6.41,11.2,2.23,75.52,4.967709886,11.65,51,13.3,7.4,2.95,0.06,2.02,0.03,2.285,43.434,0,0,94.705,111.583,7.898,4.613,0.14,0,79.308,80.463
"AS_42",42,1198813109,27080666.67,1450544851,804363486.8,6.43,11.5,2.48,82.5,11.41422212,11.6,112,66.2,18.1,2.94,0.09,2.14,0.09,6.056,48.711,0,0,96.728,112.382,8.239,15.116,0,0,73.616,73.399
"AS_43",43,467484660,6472666.667,2358047694,1175239437,6.04,12.3,1.85,78.27,4.967709886,12.76,45,60.7,7,2.96,0.03,2.23,0.03,1.212,46.438,0,0,92.923,112.004,8.882,5.285,2.594,1.225,78.339,73.747
"AS_44",44,635615412,8082666.667,1548097327,877158910.2,6.44,12.3,1.87,88.28,8.051529791,12.93,24,10.8,4.1,2.83,0.05,2.13,0.03,10.222,44.658,0,0,91.212,104.26,10.082,5.614,0.177,0,83.106,69.412
"AS_45",45,969249233.1,10297333.33,1292361773,788459714.2,6.75,11.6,2.02,102.2,10.12145749,10.64,82,12.6,3.5,2.48,0.05,1.78,0.05,0.92,39.128,0,0,87.753,103.983,7.199,4.055,0.286,0.208,98.682,98.874
"AS_46",46,681098971.7,11346666.67,1427574713,705306386.8,6.82,10.8,1.98,110.4,11.70138076,10.89,42,15,7.5,2.48,0.06,1.81,0.03,2.328,23.561,0,0,70.332,94.059,6.264,3.763,0.411,0,138.225,98.071
"AS_47",47,893083310,9020000,808786787.2,610971661.4,6.47,11.2,2.58,105.2,9.310986965,8.73,36,4.5,3,2.66,0.06,2.66,0.06,14.496,36.485,0,0,96.699,104.873,3.35,2.608,0.942,2.545,97.19,98.399
"AS_48",48,195699710.5,4865333.333,588475192.9,344213218.7,6.4,10.8,3.04,132.4,9.310986965,6.6,30,2.3,1.2,2.31,0.04,1.69,0.04,18.587,50.022,0,0.215,89.355,98.329,3.004,1.776,0.598,0.125,82.778,80.199
"AS_49",49,719550159,30300000,1007297515,388229651.4,6.4,10.5,2.82,199.1,11.10987668,9.64,30,16.7,17.2,1.92,0.02,1.41,0.02,4.16,20.004,0,0.284,40.725,53.721,8.128,6.674,0,0,39.375,41.341
"AS_50",50,788992395.9,11745333.33,1020810808,372103078.3,6.86,11.4,2.29,111,11.57407407,10.53,40,7.7,5.7,2.84,0.02,2.2,0.02,46.994,45.913,0,0,97.784,104.303,5.905,4.593,0,0,82.315,77.647
"AS_51",51,406127083.1,10540000,1366736232,603557492.1,6.76,13,2.62,134,10.88494612,11.03,154,23.8,24.2,2.21,0.04,1.66,0.04,19.144,53.625,0,0,104.756,105.315,7.333,5.489,2.267,0,84.753,71.532
"AS_52",52,448998843.5,17734666.67,1876267793,965981620.6,6.58,15.1,2.94,201.3,10.46462955,7.12,35,65.8,9.9,2.21,0.07,1.64,0.07,19.923,56.792,0.471,0.217,111.954,120.815,12.12,8.185,3.443,2.776,87.059,79.76
"AS_53",53,435707614,13655333.33,1652500558,600024988.7,6.62,14.6,3.15,87.61,11.16445238,6.22,36,10.3,10.6,2.69,0.02,1.95,0.02,7.762,39.957,0.215,0,76.483,84.055,9.283,6.522,0.508,1.51,67.924,65.775
"AS_54",54,389566878,7365333.333,1039279991,411427161.6,6.46,13.2,2.49,201.3,11.7370892,7.03,36,64.4,8.9,1.97,0.03,1.41,0.03,16.818,51.927,0.523,1.116,66.577,83.366,6.654,4.747,5.161,6.897,53.881,64.01
"AS_55",55,378512029.1,6414000,1330780052,541242055.2,6.79,14.1,2.59,124.2,10.43841336,10.38,32,16.1,5.6,2.88,0.05,2.14,0.05,12.025,43.582,0,0,87.592,105.236,5.16,3.629,2.531,1.025,74.731,71.971
"AS_56",56,519413372.7,13731333.33,1156204831,551219828,6.74,14.6,2.63,98.8,13.01236174,9.37,151,12.7,10.4,2.42,0.02,1.94,0.02,9.659,29.334,0.472,0,85.245,95.741,5.087,4.047,0.47,1.035,64.992,62.272
"AS_57",57,626156076.8,5863333.333,963577820.9,523917881.4,6.65,15.7,2.42,85.46,12.8915818,7.74,23,10.7,7.5,1.95,0.03,1.48,0.03,21.206,47.281,0.771,0,103.939,110.002,5.642,3.745,1.437,1.114,71.237,71.684
"AS_58",58,518433520.3,9433333.333,535365678.5,306803757.4,6.79,15.1,2.36,107.4,5.42888165,11.36,19,9.4,6.2,2.4,0.04,1.8,0.04,27.834,44.5,0.9,0,112.3,111.156,5.197,4.482,0.27,0.492,72.501,61.196
"AS_59",59,431173860,9751000,768326406.3,306356908.9,6.63,15.6,2.02,107.4,10.99989,6.89,18,9.6,3.8,2.41,0.01,1.66,0.01,16.099,27.661,0.69,0,84.005,90.396,11.062,0,1.9,1.532,52.164,47.493
"AS_60",60,284301574.3,11604666.67,1334201449,544897563.9,6.68,16.9,2.28,90.01,11.80358829,9.81,15,21.9,16.9,2.79,0.02,2.04,0.02,6.553,31.194,1.008,0,105.674,85.284,14.066,2.042,3.271,1.208,58.654,45.309
"AS_61",61,352443506.7,59733333.33,1987626709,667655111.8,6.42,16.5,1.81,86.4,5.219206681,9.54,32,61.9,2.9,2.75,0.02,1.98,0.02,1.737,29.536,0.173,0,66.354,89.403,12.616,2.261,2.57,1.109,32.388,42.676
"AS_62",62,424246861.9,33300000,1526141084,438880151.8,6.42,17.2,1.58,91.87,8.038585209,12.12,22,21.9,42.4,2.89,0.09,1.93,0.03,16.808,38.35,1.442,0,90.396,92.158,9.931,2.022,1.161,1.171,47.64,44.131
"AS_63",63,71646069.36,14320000,1772763718,713015575.1,6.26,17.9,1.69,95.56,9.881422925,10.58,20,40.5,51.1,3.12,0,2.21,0,19.827,31.398,1.41,0,83.423,53.525,13.765,2.994,1.148,0.87,51.311,63.996
"AS_64",64,374562302.8,7846666.667,1610916984,529206549.5,6.6,15.1,1.26,89.57,10.55408971,11.05,37,12.9,76.4,2.95,0.05,1.93,0.02,1.527,29.46,0,0,84.647,81.933,11.001,2.173,1.444,1.541,57.821,52.114
"AS_65",65,653936740.4,26373333.33,1099696786,506006190.1,6.46,16.1,2.52,85.2,10.95410231,7.45,46,12.4,63.9,2.57,0.05,1.7,0.04,14.843,36.971,0.675,0,58.461,86.275,10.375,3.896,1.182,1.572,44.586,57.882
