"ASVID","ZN3TBJM_nasal_920","ZN3TBJM_nasal_921","ZN3TBJM_nasal_922","ZN3TBJM_nasal_923","ZN3TBJM_nasal_924","ZN3TBJM_nasal_925","ZN3TBJM_nasal_926","ZN3TBJM_nasal_927","ZN3TBJM_nasal_928","ZN3TBJM_nasal_929","ZN3TBJM_nasal_930","ZN3TBJM_nasal_931","ZN3TBJM_nasal_932","ZN3TBJM_nasal_933","ZN3TBJM_nasal_934","ZN3TBJM_nasal_935","ZN3TBJM_nasal_936","ZN3TBJM_nasal_937","ZN3TBJM_nasal_938","ZN3TBJM_nasal_939","ZN3TBJM_nasal_940","ZN3TBJM_nasal_941","ZN3TBJM_nasal_942","ZN3TBJM_nasal_947","ZN3TBJM_nasal_948","ZN3TBJM_nasal_949","ZN3TBJM_nasal_950","ZN3TBJM_nasal_951","ZN3TBJM_nasal_953","ZN3TBJM_nasal_955","ZN3TBJM_nasal_957","ZN3TBJM_nasal_959","ZN3TBJM_nasal_961","ZN3TBJM_nasal_963","ZN3TBJM_nasal_964","ZN3TBJM_nasal_966","ZN3TBJM_nasal_967","ZN3TBJM_nasal_968"
"OTU_529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,15,0,0,0,0
"OTU_2929",0,0,0,0,14,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,2,0
"OTU_387",0,0,0,0,3,3,0,0,0,0,0,0,0,6,0,0,0,5,1,0,2,0,0,0,0,0,0,0,6,1,3,0,0,6,0,4,3,0
"OTU_3511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,31,0,0,0,2,7,0
"OTU_420",1,0,0,0,2,0,0,4,0,0,0,15,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,11
"OTU_3188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,1,0
"OTU_9002",0,8,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,12,4,6,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0
"OTU_2997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
"OTU_4035",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,5,0,2,0,0,0,0,0,0,7,0,12,0,3,0,0,4,0,0,3,0
"OTU_2718",0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0,3,0,2,2,0
"OTU_2618",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,30,0
"OTU_1069",0,0,9,0,2,2,0,0,1,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,2,0
"OTU_4513",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,1,1,0,0,0,0,5,0,11,0,0,0,2,0,0,1,4,0
"OTU_2181",0,3,0,0,2,18,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1641",0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,4,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,15,0,0,6,0
"OTU_5245",0,0,0,0,1,0,4,0,1,0,4,6,5,0,0,0,0,0,0,3,5,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
"OTU_60",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,17,0,0,0,0,14,0,0,0,0
"OTU_6055",0,0,0,0,1,0,0,6,14,0,0,2,0,0,0,0,0,1,3,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_777",0,0,7,0,4,2,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,7,0
"OTU_5036",0,0,0,8,2,12,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_569",7,0,0,0,4,3,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,2,0
