"ASVID","ZOZOW1T_feces_320","ZOZOW1T_feces_321","ZOZOW1T_feces_322","ZOZOW1T_feces_323","ZOZOW1T_feces_324","ZOZOW1T_feces_325","ZOZOW1T_feces_326","ZOZOW1T_feces_327","ZOZOW1T_feces_328","ZOZOW1T_feces_329","ZOZOW1T_feces_330","ZOZOW1T_feces_331","ZOZOW1T_feces_332","ZOZOW1T_feces_333","ZOZOW1T_feces_334","ZOZOW1T_feces_336","ZOZOW1T_feces_339","ZOZOW1T_feces_340","ZOZOW1T_feces_342","ZOZOW1T_feces_343","ZOZOW1T_feces_344","ZOZOW1T_feces_345","ZOZOW1T_feces_346","ZOZOW1T_feces_347","ZOZOW1T_feces_348","ZOZOW1T_feces_349","ZOZOW1T_feces_350","ZOZOW1T_feces_351","ZOZOW1T_feces_352","ZOZOW1T_feces_353","ZOZOW1T_feces_354","ZOZOW1T_feces_355","ZOZOW1T_feces_356","ZOZOW1T_feces_358","ZOZOW1T_feces_359","ZOZOW1T_feces_360","ZOZOW1T_feces_362","ZOZOW1T_feces_363","ZOZOW1T_feces_365","ZOZOW1T_feces_367","ZOZOW1T_feces_368","ZOZOW1T_feces_369","ZOZOW1T_feces_370","ZOZOW1T_feces_371","ZOZOW1T_feces_372","ZOZOW1T_feces_373","ZOZOW1T_feces_374","ZOZOW1T_feces_375","ZOZOW1T_feces_376","ZOZOW1T_feces_377","ZOZOW1T_feces_378","ZOZOW1T_feces_379","ZOZOW1T_feces_380"
"OTU_224",-8.78424295284348,-8.8896181250518,-8.95510940420143,-8.86780386736321,-8.91286983201009,-8.91127028291336,-8.97585141829742,-8.9044987479268,-8.98863495257361,-8.93369915988162,-8.93668597334954,-8.95288755977132,-8.95234529173728,-8.98879696376471,-5.15876790159795,-4.65599908684737,-5.76016280809231,-6.31776619052482,-7.00367133581196,-6.80986677816301,-5.39816270151775,-5.27779573082724,-5.50720595072671,-4.82542958212244,-5.74907446384791,-5.32981603360741,-4.73692917550045,-6.45676965557216,-5.29497846528252,-3.89882149356961,-7.23525884562059,-5.87176561479314,-5.30720631396528,-4.69565591258603,-2.53206048714519,-5.74939298590825,-5.71885351896657,-4.5460363878255,-6.76426974597338,-5.937975862157,-4.69270611673337,-5.63641166354112,-4.50451239985717,-5.54907608489522,-4.24320175312006,-5.3890717298165,-2.84566594357213,-5.18773490690906,-3.9936933470626,-3.67418873870393,-4.22504788555172,-4.93102727454084,-8.88832450913438
"OTU_264",-7.67461749736436,-5.69522746618413,-6.42357158616257,-4.75162902162114,-6.84481547920826,-6.55250788703459,-6.46645571786476,-7.23237179922698,-7.41095187558364,-6.04025471127741,-6.20017105062442,-6.23441072571837,-6.0789520012311,-5.00699230281775,-5.7591885122305,-7.3038432252777,-6.4548840484767,-4.96890709199246,-8.98738823612958,-5.79633403202145,-5.77426917931353,-6.66791053594452,-5.58756071956677,-4.74782648638961,-4.91201529505227,-4.81575520805491,-4.22024272909747,-4.88217041009301,-8.94286108863473,-8.95362916345442,-3.4433208544734,-3.90880354280117,-4.44300769919593,-4.26592487718464,-3.88027430711357,-3.86868347676038,-4.69134788222914,-4.7236367486704,-4.9122678139294,-4.83407488773737,-4.81150661898592,-3.87417278129705,-4.96051090691369,-4.69657665231194,-4.17908579067719,-4.55650501400681,-4.52474861867752,-4.91405446609047,-5.29974491853922,-4.68689881660769,-3.96703352031406,-4.73274638157394,-8.8900899780287
"OTU_43",-4.0196966332518,-4.75171436988478,-4.49719186778819,-4.95386896024565,-4.03514324675235,-4.79650893643224,-4.70110712858323,-3.89884565516234,-7.41095187558364,-4.61135789909626,-5.35016407920002,-4.22948450891442,-4.37708021073856,-4.83872093255084,-4.65424890880907,-4.00938938883562,-6.27224787786861,-5.62281341212253,-6.7156863707333,-4.93198051169757,-4.94932710536785,-4.25722327547479,-6.97665925762935,-6.4412654690362,-5.97285495785881,-4.94456023956027,-5.27957132372698,-4.69134788222914,-4.44096917030733,-5.07911341323791,-4.78531546335945,-4.68675017298051,-6.15733203060246,-8.74071318158577,-4.55260015985993,-5.05305600998021,-6.53160622520803,-6.19678351350964,-5.46190390776374,-4.83407488773737,-5.35388721770285,-5.73204593992906,-5.2989838110912,-4.9865377425172,-4.70984080855198,-5.7268477475872,-6.42097164969638,-7.96554557312999,-7.94342776787637,-6.18208490671663,-4.11806108883942,-5.02262660218668,-4.89110072540107
"OTU_172",-5.18458860121969,-5.25152520504128,-4.30768411343969,-7.1573460003112,-4.46734386908069,-4.88819858975853,-5.67613094332569,-4.69829616397757,-5.79909265446053,-4.72158476436626,-6.38283073083664,-6.64052921509774,-5.72129489974083,-8.10440130792161,-7.06076244810732,-6.8980415867945,-6.67834211465433,-6.31776619052482,-7.00367133581196,-6.5864474788807,-5.68697535633982,-6.44444917118412,-5.99427309943002,-6.25862498383897,-5.97285495785881,-6.0945367322478,-5.84136813760876,-5.35501271022458,-3.96386971808013,-4.84385894863776,-3.66985912943491,-3.82148829016644,-4.30014561553372,-5.04664573161929,-4.40992335125504,-3.92287302145221,-5.97089734188229,-4.36705018048432,-4.41806300278074,-3.95213777317831,-4.99518318953733,-4.44265125649032,-6.21826805925368,-5.26009615372784,-5.13579843705026,-5.7268477475872,-4.80500416786668,-4.2887016625274,-3.8802969440956,-4.07007583638723,-4.94811493711492,-6.68617300823488,-4.99721227376411
"OTU_131",-6.28692876000182,-7.20191631753163,-6.64703965476017,-7.1573460003112,-8.95336653640098,-7.93987157636188,-9.01634779655428,-7.23237179922698,-9.02913126710508,-8.97419575413201,-8.9771825519936,-6.92853781816467,-8.99284178931871,-4.96223635773507,-6.5493645782599,-7.3038432252777,-9.01091282886631,-6.31776619052482,-7.40943924483084,-6.40385009806072,-6.78784498230958,-9.00608452089127,-7.38243545611177,-4.32558532376893,-4.32816264478323,-4.24426553019599,-4.22024272909747,-5.11736329537191,-5.0572509989327,-4.3797213479622,-4.08378172498461,-4.17760213246092,-5.38166820578294,-3.32835094085921,-3.77421689564375,-4.9469852670198,-4.65176012924792,-4.7236367486704,-3.71278497496749,-4.89167509526686,-4.40196541827771,-4.471148877456,-4.82597767750475,-4.05030723634485,-5.51714392071685,-3.95323113228627,-4.80500416786668,-4.91405446609047,-5.37420946049526,-5.56127317199699,-4.22504788555172,-5.07173039345607,-4.35519939244074
"OTU_169",-3.91772102654278,-4.55312472909799,-3.87087026838793,-4.66383209863668,-4.89249505179203,-5.04342511691925,-5.18147139171299,-4.41774471727596,-5.26634093832015,-4.31165919252376,-4.31714617474002,-4.16253332799678,-4.92889923431905,-3.40871621407618,-6.77279429354802,-7.9973268229981,-6.96633860308103,-5.62281341212253,-8.10288913464087,-5.19600774772347,-5.22546366819271,-9.01531080493088,-7.38243545611177,-5.48319974420366,-5.34201522181376,-5.39913185035794,-3.59248760843887,-4.92504583060949,-5.80780876730089,-5.25194614936591,-4.92616613746981,-5.64791734181481,-4.8992602547352,-4.69565591258603,-5.49052578429574,-5.17154876887433,-5.14093229504411,-5.79029990251255,-6.47620283611065,-5.01772124048574,-5.35388721770285,-4.93969247074023,-5.17315422359403,-5.46870907042461,-5.19017520792833,-4.72804312673055,-6.93244789157251,-5.25262240728591,-6.33256889605576,-5.12841832975264,-4.99495748137703,-5.50470594942463,-5.94579451027479
"OTU_185",-2.93180518624776,-5.40642410787389,-4.55847158297885,-5.90263333340137,-5.4553211153577,-5.10094188948011,-6.28382316744367,-5.4369917612358,-6.71719991726108,-5.7882597793976,-6.20017105062442,-6.64052921509774,-5.72129489974083,-4.59817608723233,-6.0785019654252,-5.284556451298,-5.01475378558223,-5.46806014113513,-5.10138965736472,-5.79633403202145,-5.86986172534873,-5.56675290705395,-5.58756071956677,-4.35060046498651,-5.41132712345176,-3.72849524200733,-3.21137109921413,-4.44519174690084,-9.01997317858215,-9.0307411495545,-8.98318867603404,-6.85435450225502,-8.99508330249802,-3.61970435028024,-4.19447867805728,-8.99409668943731,-7.91899248816525,-9.01377512824135,-5.46190390776374,-5.53119120250482,-5.50871334503974,-4.93969247074023,-4.96051090691369,-4.85203026391962,-5.88610403145016,-4.6216994879393,-5.38841920124522,-5.01483698094996,-4.63831836753199,-5.35274636447451,-4.86045819062887,-5.76800844695547,-4.38542992780559
"OTU_240",-8.88239330447165,-6.10181260427685,-5.95259377271899,-7.1573460003112,-4.89249505179203,-5.9918216262048,-6.97790303888422,-7.23237179922698,-5.70347939843021,-6.19474546932594,-5.50499272515494,-7.33432935030054,-5.82698290844236,-4.17745946893261,-5.15876790159795,-5.79740773409561,-6.67834211465433,-6.50038836358438,-2.87798474863073,-5.10014355128447,-5.60665012288393,-5.85539024147935,-5.29862981773008,-4.64150211523548,-5.85475350156608,-7.34890922949881,-3.93404292853297,-6.45676965557216,-7.31421988742339,-7.33595987405979,-6.31788644787569,-4.85522119022223,-5.38166820578294,-4.05504051226307,-4.58369115431097,-3.88643525547974,-5.43007635606039,-3.35095616522541,-5.91543164654468,-5.16170430738611,-5.50871334503974,-4.21656219494635,-6.62439717801041,-4.93969247074023,-8.08579470128157,-4.93447393313069,-5.7261960694931,-5.06925354720195,-5.37420946049526,-6.5191472879404,-4.15953391319065,-6.68617300823488,-5.1806593230798
"OTU_367",-5.18458860121969,-4.35670882668959,-4.10627313308737,-4.58300322740064,-4.99329279609367,-4.31604563221875,-4.70110712858323,-5.02934800302841,-4.83872093255084,-4.64679186067891,-4.17199123931241,-5.62663959880733,-5.18837118939889,-3.42838843402813,-5.15876790159795,-5.59606227477519,-5.57721093296674,-5.62281341212253,-9.09748433819815,-5.48507352040986,-5.22546366819271,-6.26180969990649,-5.87617839165019,-5.74652262833236,-5.65344566049461,-5.96068312276854,-4.47843591698856,-5.35501271022458,-6.21427470952095,-6.23604337914226,-5.62293388679288,-5.17579656287212,-4.38345418666507,-5.92585879000999,-4.96157236545725,-5.46064877846549,-5.43007635606039,-4.57916838344909,-6.06996760859593,-4.54373794646959,-5.35388721770285,-5.0872713961556,-4.78482151422617,-6.24416690066374,-6.00419566146171,-5.95064255258773,-5.94999129890141,-6.57820900243166,-5.63764267215166,-4.35611234590841,-4.50891838652851,-5.296127470475,-9.00018741135127
"OTU_76",-8.90204300246561,-5.58949332825407,-5.54582827431054,-5.28124945803589,-4.716711560721,-5.10094188948011,-4.60172676421033,-4.19775195225905,-4.6613065723595,-5.68255883820457,-4.85067064440358,-4.1411486284199,-6.0789520012311,-6.02284208280024,-5.06288267864955,-4.29524250458899,-9.08821358274147,-7.41758040241454,-9.10341973612648,-5.79633403202145,-4.87179884924204,-5.41196487857542,-4.48143195329303,-4.7111376602664,-3.44884141390096,-4.99140393216837,-7.22983877815125,-5.86772631441292,-4.53159092019837,-5.25194614936591,-6.13520407563492,-5.55225461485365,-6.15733203060246,-5.92585879000999,-6.26593472558753,-9.03301684386221,-4.77546316691644,-6.19678351350964,-4.8605872978526,-4.58674052878046,-5.35388721770285,-4.31096280490139,-6.21826805925368,-6.42681202969802,-5.30857705548565,-5.54387451269915,-4.69069235942625,-5.7655393528319,-5.37420946049526,-4.40433687567885,-5.64480422409927,-5.07173039345607,-3.92349540659038
"OTU_140",-6.98100574072173,-5.58949332825407,-6.24092540673957,-5.76871154451969,-3.84581076802443,-4.88819858975853,-6.12936139724214,-5.02934800302841,-5.90475615451697,-4.64679186067891,-5.68799178874988,-5.82796474455461,-5.72129489974083,-6.71719991726108,-5.06288267864955,-5.79740773409561,-5.42242953725607,-5.27299955856375,-5.61464763258836,-5.48507352040986,-5.33725523427446,-8.05515773181968,-6.12811606706875,-5.74652262833236,-5.00362666394178,-5.1465250147889,-5.43444954087262,-5.0166489219675,-4.59680193631757,-5.07911341323791,-4.33255915784668,-4.57648686247215,-4.60909106073133,-4.39014575911239,-5.49052578429574,-4.9469852670198,-5.71885351896657,-5.50159828876599,-4.76450222455735,-4.50247278774975,-5.15871717579626,-4.59381564388517,-5.00963479376267,-5.46870907042461,-4.98826573869365,-4.72804312673055,-4.40902377503314,-4.09929681854057,-4.2926200469583,-4.28777567630511,-6.94665542793969,-6.12562074450135,-5.49231294031159
"OTU_168",-4.9600435079802,-4.84343689887652,-5.08401618494781,-4.62261709959181,-5.86220971125072,-5.53840742040359,-4.85077948201796,-4.69829616397757,-4.28435255194021,-4.93686914385665,-4.42672681359179,-4.80106586280916,-5.18837118939889,-6.71719991726108,-5.51716599357937,-4.77034558394708,-4.44328698442018,-6.0294826142955,-5.45988941932808,-5.1469406136035,-5.60665012288393,-5.05337544777241,-5.4327858199939,-4.82542958212244,-4.02988684590054,-5.26495446287892,-5.14531186408813,-4.59195829201586,-4.59680193631757,-4.97837443187803,-4.74239267479466,-4.25099212224795,-4.80757850134878,-4.69565591258603,-6.26593472558753,-5.11056934840241,-5.20583651375387,-4.84726348608196,-5.21958332600553,-6.34431970494385,-4.65599908684737,-6.93828448401696,-5.23411212320059,-6.08969254386327,-5.59749560413824,-5.3197526472681,-5.7261960694931,-5.5641720359553,-6.55606787655444,-5.93017998535686,-6.94665542793969,-5.67238562059553,-5.94579451027479
"OTU_329",-5.18458860121969,-5.58949332825407,-4.6933118763138,-6.05717425713602,-4.9416424226093,-5.22682136484297,-6.28382316744367,-5.4369917612358,-6.15667627633548,-5.41917260124139,-5.68799178874988,-6.64052921509774,-5.72129489974083,-6.71719991726108,-6.36675677557878,-6.20388413505922,-8.06557942728209,-9.16470391609881,-9.15848547496636,-6.80986677816301,-6.09356977004514,-5.7497114065446,-5.36348069245445,-8.0519780789023,-6.66727480801465,-7.34890922949881,-6.82401128554918,-6.27413407773622,-4.18628205754779,-4.84385894863776,-3.71541810747224,-3.55643246427054,-4.85238531451806,-6.84374994900622,-4.40992335125504,-3.80055066057069,-4.91632461462501,-4.45263584623795,-4.8605872978526,-3.83990024093227,-5.10122052417193,-4.66115933412778,-9.11786727810208,-6.65027904858742,-5.44272687731974,-5.95064255258773,-5.25423485397785,-4.31502895192461,-3.76192659592893,-4.07007583638723,-5.55747135538528,-9.14674461457069,-5.49231294031159
"OTU_249",-5.10407893112815,-4.27101957662784,-5.54582827431054,-4.19878360081874,-4.53259949315326,-5.22682136484297,-4.66689224461609,-4.62060599411793,-4.5680179203568,-4.14416938763231,-4.5825836873153,-4.92988526562326,-4.46030955306793,-4.69440131971603,-6.0785019654252,-5.79740773409561,-6.1177824852142,-5.01366101501279,-7.40943924483084,-5.70904637377574,-5.12481395820496,-6.95591032086918,-7.38243545611177,-6.25862498383897,-6.95527479495011,-5.26495446287892,-6.12977616290549,-5.49874327680798,-5.80780876730089,-6.08156638180517,-5.72865573940134,-5.11481864658107,-3.15589930156739,-7.53743003658651,-6.96003142354751,-5.05305600998021,-4.73253678190853,-5.27743415563161,-4.55776794709351,-5.937975862157,-7.9973268229981,-7.34407285057307,-5.2989838110912,-4.6269316777696,-4.70984080855198,-5.7268477475872,-5.83188247728352,-5.5641720359553,-7.24992553671799,-5.48686947309263,-5.33336270829084,-5.07173039345607,-5.25002707742026
"OTU_339",-8.96659003047749,-9.07196265029447,-9.13745247342583,-9.05014889914446,-3.0708397460408,-2.94744198442621,-4.73651168253958,-4.44888180624095,-3.47921784395492,-4.28599744644494,-4.26645152560634,-2.96733279903229,-4.11920308107581,-3.3425803303475,-9.19739444501252,-9.12076111665242,-9.15275916571255,-9.17418364749986,-9.16796521252693,-7.09782452256692,-9.20440969716177,-5.05337544777241,-3.76279171240071,-6.4412654690362,-6.26117356756951,-8.04237800517328,-5.5218244881262,-6.45676965557216,-9.12343900506397,-9.13420684870245,-9.08665494799066,-9.09902757407112,-9.09854942860954,-6.14953610167848,-9.14938036985018,-9.09756282758024,-9.08363063708553,-9.11724102864078,-9.05694131705432,-8.99467698328503,-9.12077781156601,-9.1391283723443,-9.12734705685196,-9.1396772845594,-9.16226598527369,-9.13720703506277,-9.1369348463608,-9.10542462017919,-9.09496029732204,-9.18273912133597,-9.14359166800388,-9.15622436386579,-9.07066906410829
