"ASVID","Nov2rep2","Nov3rep2","Nov4rep2","Nov6rep2","Nov9rep2","Nov10rep2","Nov11rep2","Nov12rep2","Nov13rep2","Nov16rep2","Nov17rep2","Nov18rep2","Nov19rep2","Nov20rep2","Nov23rep2","Nov24rep2","Nov25rep2","Nov26rep2","Nov30rep2","Dec1rep2","Dec2rep2","Dec3rep2","Dec4rep2","Dec7rep2","Dec8rep2","Dec9rep2","Dec10rep2","Dec11rep2","Dec14rep2","Dec15rep2","Dec16rep2","Dec17rep2","Dec18rep2","Dec21rep2","Dec22rep2","Dec23rep2","Jan4rep2","Jan5rep2","Jan6rep2","Jan7rep2","Jan8rep2","Jan11rep2","Jan12rep2","Jan13rep2","Jan14rep2","Jan15rep2","Jan18rep2","Jan19rep2","Jan20rep2","Jan21rep2","Jan22rep2","Jan25rep2","Jan26rep2","Jan27rep2","Jan28rep2","Jan29rep2","Feb1rep2","Feb2rep2","Feb3rep2","Feb4rep2","Feb5rep2","Feb8rep2","Feb9rep2","Feb11rep2","Feb12rep2","Feb15rep2","Feb16rep2","Feb18rep2","Feb19rep2","Feb22rep2","Feb23rep2","Feb25rep2","Feb26rep2","Feb29rep2","Mar2rep2","Mar3rep2","Mar4rep2","Mar7rep2","Mar8rep2","Mar9rep2","Mar10rep2","Mar11rep2","Mar14rep2","Mar15rep2","Mar21rep2","Mar22rep2","Mar23rep2","Mar24rep2","Mar31rep2","Apr18rep2","Apr19rep2"
"OTU_64",8,7,11,12,0,0,0,1,0,1,2,8,12,5,2,3,0,3,0,3,4,4,2,1,2,0,0,0,8,2,5,13,11,1,1,2,2,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,0,1,2,7,1,9,4,12,11,0,1,6,4,5,4,9,16,23,18,21,17,21,23,11,25,20,24,18,12,14,23,11,2,8
"OTU_77",2,0,0,2,2,0,1,4,4,3,3,0,0,1,7,14,9,3,2,0,0,1,1,3,4,3,4,2,2,5,3,3,2,1,5,4,2,2,7,9,3,5,5,5,7,2,6,9,7,3,12,17,12,5,8,9,11,6,9,14,8,4,5,8,9,11,27,12,14,10,15,22,13,18,14,11,6,5,9,1,4,3,4,2,5,0,3,1,0,1,1
"OTU_91",7,7,6,5,5,4,5,5,3,8,1,2,6,2,2,7,6,14,9,4,3,6,3,8,2,1,4,3,2,10,7,1,11,4,11,9,12,19,9,15,9,18,7,9,4,12,5,6,16,7,12,3,7,10,4,11,9,5,10,4,3,6,8,8,6,2,4,3,2,9,2,3,0,2,1,2,3,6,0,6,3,2,1,1,2,5,4,1,1,0,0
"OTU_68",3,3,0,12,11,4,8,4,4,2,5,6,10,5,6,9,13,10,5,5,9,4,6,13,3,6,6,9,5,3,4,3,9,1,9,8,4,11,6,6,8,4,11,2,2,11,5,5,6,5,12,8,7,7,12,5,2,7,5,5,8,5,5,3,2,6,3,1,3,4,3,8,3,11,4,5,5,5,3,8,6,6,3,1,2,4,0,7,1,0,2
"OTU_75",2,2,4,2,1,3,2,2,0,1,3,7,11,11,2,4,4,3,6,1,4,5,2,8,7,4,2,4,13,4,10,14,4,4,3,5,2,5,2,6,4,10,4,5,4,10,9,11,8,9,2,4,5,8,2,7,3,4,10,8,7,7,6,5,13,10,14,15,9,15,13,15,8,8,7,6,8,2,8,4,6,3,1,0,2,0,1,1,0,0,0
"OTU_84",6,3,9,3,2,3,5,3,3,1,3,7,3,3,3,6,1,6,3,6,0,11,2,7,3,3,5,5,1,3,2,3,7,6,8,6,12,11,3,8,8,8,3,6,3,3,2,8,6,6,2,7,2,5,3,6,6,7,4,2,10,2,8,9,9,7,6,4,3,3,5,5,3,4,15,9,11,8,8,6,9,10,8,5,13,8,14,6,5,1,3
"OTU_62",6,4,0,1,2,12,21,17,26,31,15,9,1,3,15,28,29,25,28,15,22,15,13,7,4,1,3,1,5,6,4,2,1,1,4,4,4,2,2,4,2,3,2,2,1,1,1,1,3,1,1,0,0,1,0,0,0,0,1,1,2,1,0,0,1,1,0,0,0,0,1,1,0,3,1,1,6,0,0,4,1,1,2,5,2,2,4,6,32,1,1
"OTU_72",2,2,8,12,14,23,28,17,29,19,8,2,9,16,5,7,7,7,3,8,4,2,1,2,5,1,6,13,0,4,0,1,4,12,3,1,0,2,1,1,4,5,5,3,1,3,2,3,0,1,4,1,2,0,6,1,2,9,7,5,4,4,7,2,4,7,2,12,7,10,7,6,7,6,3,2,3,2,6,0,4,1,1,2,3,2,2,6,4,2,0
"OTU_95",5,0,14,11,5,5,5,7,5,7,3,4,5,7,0,5,4,3,0,2,3,5,3,4,4,3,6,3,2,2,0,0,0,2,5,4,8,2,3,1,1,8,2,3,2,6,4,4,4,0,1,3,0,0,2,4,8,4,4,1,2,7,7,0,1,5,6,8,16,16,15,14,12,5,6,4,8,6,3,3,2,3,4,5,4,9,12,37,21,2,14
"OTU_81",0,0,1,3,4,0,0,2,0,0,1,4,3,0,2,8,6,6,4,1,2,1,1,2,0,2,2,1,5,11,7,6,3,7,14,7,0,10,12,15,19,11,10,8,12,11,7,6,6,10,16,16,9,10,10,13,4,6,3,11,9,6,10,3,0,2,4,1,1,2,4,1,1,2,4,2,8,4,2,5,1,5,2,2,4,7,5,3,1,3,5
"OTU_85",6,2,12,8,8,4,7,2,2,2,3,7,5,11,4,2,3,6,1,6,4,5,5,9,8,3,5,5,2,7,6,4,2,4,3,5,2,3,6,7,3,5,5,2,4,7,3,0,6,9,3,4,6,4,3,6,3,8,0,8,5,7,8,3,4,6,4,4,9,4,8,1,2,6,7,3,8,4,8,6,6,6,4,7,11,5,4,9,2,1,3
"OTU_98",0,0,0,2,2,2,1,3,2,2,0,1,5,3,1,0,3,3,1,3,3,1,1,0,4,1,3,6,1,4,0,0,1,0,4,9,10,2,8,3,2,11,3,2,2,5,3,4,5,6,4,1,1,4,3,7,9,4,10,4,1,10,13,6,2,11,11,16,21,24,7,16,7,4,12,12,15,4,8,6,6,6,5,11,2,6,6,4,3,1,0
"OTU_57",9,10,1,16,14,15,24,30,16,38,19,28,22,24,1,8,7,4,13,15,16,6,9,2,5,1,3,6,6,8,9,8,4,3,2,2,2,0,0,0,0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,2,0,2,2,1,0,0,0,1,1,3,0,1,0,0,1,1,0,0,0,0
"OTU_74",0,6,5,4,1,1,7,2,4,8,3,2,3,0,10,6,13,7,15,7,7,6,8,4,6,7,3,4,13,3,9,9,2,8,4,0,4,1,3,2,6,3,2,2,2,4,3,5,3,2,1,2,5,1,0,1,3,0,1,0,4,1,1,2,2,3,5,3,2,4,5,1,3,3,3,7,2,2,3,5,1,1,4,1,7,4,2,9,19,37,29
"OTU_96",0,0,0,0,0,1,1,0,0,1,0,0,1,0,2,0,1,1,1,1,5,0,5,3,2,1,4,6,1,4,2,0,0,4,6,5,0,7,1,8,6,8,5,9,8,7,4,13,11,12,7,11,10,13,13,11,11,2,8,6,14,4,9,14,7,8,13,9,14,12,9,14,8,10,5,6,2,3,2,5,1,2,0,0,0,1,1,0,0,0,0
"OTU_83",11,7,11,5,4,3,4,6,1,7,1,5,1,2,4,8,8,1,3,4,2,3,3,4,3,5,2,3,7,5,6,14,0,6,1,4,0,1,1,0,2,2,0,4,5,5,3,10,3,3,2,7,5,2,1,5,1,5,3,1,4,7,9,6,8,7,6,8,10,6,8,7,9,7,10,13,8,4,3,3,2,5,2,2,5,1,2,0,0,2,4
"OTU_97",6,4,13,6,8,8,9,4,3,9,3,4,6,4,10,13,8,5,20,2,6,7,6,7,5,7,6,1,2,2,4,3,0,5,7,4,2,3,4,7,9,4,3,5,3,5,7,3,4,2,5,3,4,7,3,2,3,4,4,5,8,5,5,4,2,3,2,5,0,5,1,5,3,8,1,0,0,2,7,5,2,3,1,1,3,1,1,0,2,0,0
"OTU_60",5,2,0,5,39,37,29,42,27,50,9,8,13,11,7,7,12,9,12,7,9,8,5,2,3,5,0,3,2,2,0,0,1,3,5,5,2,2,3,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_188",0,0,5,1,0,0,1,1,2,1,5,2,2,0,3,1,7,2,8,6,3,2,5,4,4,4,1,5,5,6,6,1,0,1,4,2,2,4,4,3,12,6,5,9,4,2,7,6,9,5,2,9,2,11,6,4,9,5,6,8,4,8,5,1,10,6,5,5,5,3,5,5,6,4,1,7,2,7,8,12,12,3,7,6,7,7,2,1,4,0,0
"OTU_93",19,14,5,14,12,4,5,6,15,21,9,10,3,8,2,1,4,1,0,6,6,7,4,6,4,2,8,3,6,3,1,4,13,1,3,5,6,1,0,3,3,0,1,0,0,1,0,2,1,0,0,1,1,1,1,3,1,1,3,1,5,0,3,1,0,2,4,5,1,3,3,6,6,1,4,1,11,4,4,6,4,5,9,6,6,2,7,2,4,0,0
"OTU_116",0,0,0,0,0,0,1,1,1,1,0,2,0,0,6,5,2,2,3,1,4,3,5,2,5,3,6,1,0,6,0,2,1,4,9,6,4,4,12,17,16,4,7,10,14,9,4,20,11,7,2,18,11,8,7,8,4,7,4,13,4,9,9,4,0,1,8,6,5,6,5,8,3,3,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"OTU_86",5,4,16,3,0,0,0,0,0,0,2,9,19,14,0,0,1,0,1,0,1,0,0,0,0,0,0,0,21,4,57,43,16,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,7,4,4,2,2,3,8,5,4,14,16,13,2,5,6,6,6,5,6,3,4,6,3,3,3,3,1
"OTU_94",2,0,4,4,5,4,6,7,9,6,2,2,5,2,5,4,11,9,10,4,6,7,2,6,5,3,4,10,2,5,2,3,1,2,5,7,2,4,8,4,5,7,1,0,5,15,3,8,4,10,4,3,5,4,7,4,4,4,4,4,0,9,6,4,5,4,4,7,4,3,8,6,1,4,4,2,0,0,2,1,3,5,0,1,2,0,0,0,0,0,0
"OTU_120",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,0,0,0,2,1,1,4,4,1,7,0,0,0,4,7,6,20,13,10,9,17,9,9,12,9,9,12,4,8,11,17,10,11,6,6,11,4,10,9,13,7,12,7,4,2,6,3,4,7,4,2,1,3,0,0,3,2,3,0,1,2,2,0,1,4,0,1,0,0,0,0
"OTU_76",5,0,0,0,2,5,4,8,12,14,3,3,3,6,6,25,16,31,17,16,15,16,8,10,6,13,5,12,2,4,0,0,3,1,0,2,2,0,2,0,0,5,0,3,0,0,2,0,2,0,1,1,0,0,0,1,1,4,1,0,4,1,0,1,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,3,2,1,0,6,2,8,8,7,16,1,1
"OTU_102",1,0,0,0,1,1,1,0,0,2,3,0,4,6,0,2,1,1,0,1,2,1,1,2,2,4,3,1,0,0,1,0,5,1,3,2,4,6,3,4,2,1,2,8,1,3,5,1,4,1,15,7,7,4,9,10,8,8,12,14,11,10,12,13,9,20,3,7,9,6,3,5,6,7,5,8,3,5,4,7,1,0,4,3,5,1,2,3,3,0,0
"OTU_112",0,0,2,3,0,0,0,0,0,0,1,4,4,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,10,10,7,261,2,0,17,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"OTU_88",6,3,10,4,2,0,0,1,2,5,7,14,11,7,2,0,2,0,0,0,1,0,1,0,2,0,2,0,2,0,11,6,4,1,3,0,2,0,0,1,2,1,0,0,0,2,0,2,0,3,0,1,0,0,0,1,1,0,0,2,3,0,2,1,2,1,0,3,4,0,5,4,4,9,3,9,4,11,11,5,10,6,6,2,13,6,9,6,5,42,51
"OTU_106",0,0,0,0,0,1,2,0,2,3,1,0,0,0,2,10,3,13,8,3,1,2,2,2,1,2,4,3,0,1,0,1,1,5,3,2,4,8,7,9,7,6,11,6,0,18,6,6,5,5,2,2,3,3,2,2,4,0,7,2,3,3,4,1,2,5,4,4,1,5,2,1,4,3,7,4,2,8,2,3,8,0,4,7,4,10,8,29,14,2,3
"OTU_113",7,4,9,3,0,1,1,1,0,0,1,0,1,2,0,2,0,2,1,4,2,6,1,1,2,5,0,2,2,5,0,4,4,2,3,2,2,3,5,5,0,1,12,9,1,7,5,2,6,1,0,1,2,6,0,0,1,2,3,2,3,3,0,4,0,1,4,1,2,3,1,2,6,1,3,6,4,6,2,12,8,9,18,21,7,24,18,10,10,7,8
"OTU_107",5,6,9,4,1,4,1,4,2,2,7,2,2,2,2,5,0,2,2,4,3,3,4,1,3,4,1,4,7,5,5,3,1,1,2,4,0,2,2,1,2,3,4,5,0,3,5,3,1,5,1,2,2,5,4,4,4,3,1,2,5,7,1,2,3,4,4,7,4,1,7,9,8,6,6,6,7,5,4,6,8,7,11,4,8,8,11,1,5,4,6
