"ASVID","UK01A","UK02A","UK03A","UK04A","UK05A","UK06A","UK08A","UK09A","UK10A","UK11A","UK12A","UK13A","UK14A","UK15A","UK16A","UK17A","UK18A","UK19A","UK20A","UK21A","UK22A","UK23A","UK24A","UK25A","UK26A","UK27A","UK28A","UK29A","UK30A","UK31A","UK32A","UK33A","UK34A","UK35A","UK36A","UK37A","UK38A","UK39A","UK40A","UK41A","UK42A","UK43A","UK44A","UK45A","UK46A","UK47A","UK48A","UK49A","UK50A","UK51A","UK52A"
"0243b68c76049aa1b8c51a20333da950",-14.3947348460473,-8.93445510940391,-8.94174171400067,-14.3949608064542,-9.63697971531575,-8.5354259596773,-14.3938125121259,-14.3953657033341,-9.63410370836572,-14.3946577327145,-14.396138326749,-14.3951281064588,-14.3952724406951,-14.3956866244442,-14.3939227672009,-14.3934815479841,-8.24898689546511,-14.3957531051675,-14.395760102491,-14.3958113743795,-8.93813787037279,-14.3919308886013,-9.62218508704839,-14.3897849906629,-9.62621775043166,-14.3927262358305,-9.63135069141981,-14.3913501206987,-14.3910545241591,-14.3920094781683,-9.62377364973352,-14.3907762058924,-14.3902453818812,-8.5234403041767,-14.39004247787,-14.3903359841423,-14.3876825678184,-14.3885818734901,-14.3910663236243,-14.3867640702736,-14.3903425607832,-8.0147985931281,-7.6761424437895,-14.3930647218924,-8.93918760147561,-8.02243774782774,-7.55033258763191,-8.23893325754336,-14.3903684102907,-14.3921332420272,-14.3855008589933
"026b68ad384fbb3f5bb0f6769b1b4fce",-12.9139864030147,-7.68136266246993,-7.33178041261121,-7.14867325839551,-7.43923284247899,-7.06843405489688,-7.55236851254623,-12.9146172615016,-7.43635533084729,-6.92480903354797,-7.69080845260924,-12.9143796641744,-7.68884792394572,-7.55590509361135,-7.3291593508918,-8.02138753440663,-8.53673434662307,-8.24944445667191,-8.94278767081957,-8.24964049025962,-12.9127918897038,-12.9111824402252,-12.9085069061471,-8.92970011431345,-12.9106030078442,-12.9119777889716,-12.9128065603708,-12.910601671214,-12.9103060741098,-8.24143968982973,-12.9091156786761,-12.9100277553115,-12.9094969302858,-12.9084881751572,-8.01413730491461,-12.9095875327201,-12.9069341113177,-12.9078334187121,-12.9103178735975,-12.9060156120118,-7.22634123276383,-12.9094439616005,-7.42469550374798,-7.32699179117422,-12.9132226181812,-12.9129804382021,-7.32705754387832,-7.22686994865745,-6.91612019531376,-7.83669895697961,-6.78025607623058
"028cb7dec44769395943fa5e62a0f12a",-7.5551856926451,-7.2291138777933,-8.536211197252,-7.43655178806936,-7.07124681227054,-6.68855132567201,-7.32909373624659,-7.55538194424027,-8.24761295432844,-7.14814918370287,-8.53836742664764,-8.94206869304423,-7.14952429441951,-6.9268386934584,-7.14670656050186,-7.06535056877326,-7.55557815732832,-8.02623555228771,-8.94278767081957,-9.63613084654559,-11.6892630344368,-11.6876535754274,-7.8300943493905,-8.23642052726539,-6.58037491903914,-6.53702092412153,-6.45178603870021,-7.0604763659998,-8.01605383723967,-8.93471861401677,-9.62377364973352,-11.6864988836664,-11.6859680554903,-6.28819042224295,-6.06624066335066,-6.25588240442729,-5.83181582616875,-5.1846552923398,-5.59749560413824,-6.28353430102016,-5.93343810958563,-6.4449258534844,-6.40198352951883,-6.58433088121018,-6.74091329303657,-7.84005058499801,-8.53149049611706,-7.22686994865745,-6.53266505662189,-7.54888521895818,-5.87412784040344
"028e4286e12c8eeca9ecb2309904561b",-7.06935070525897,-7.54776536112895,-7.33178041261121,-9.63430006272051,-8.53823687834459,-7.68786621635027,-7.8401817927657,-11.2102483402865,-9.63410370836572,-11.2095403604779,-8.94389780251682,-6.92631530450305,-7.84306401669205,-6.9268386934584,-7.8402473901943,-8.53234449518358,-7.43772972158689,-7.33276154229714,-7.23745136249281,-7.23758210708344,-5.60238236021447,-5.79632202138002,-5.83514295194224,-6.36316072074111,-6.53378883793334,-6.29546366245166,-6.01806700255224,-5.86224279152,-6.25661008613174,-6.49098740415243,-4.88895085253367,-5.21394109554628,-5.18904710136854,-6.32462442561621,-6.91486329044151,-6.48808100141956,-6.84528129189345,-6.40052319072628,-5.29078910012725,-5.39356069919835,-5.38628842782089,-5.43054108635921,-6.21933026475752,-6.99025650049388,-6.58656566589208,-6.79787475955929,-6.49329329837837,-7.22686994865745,-8.526351129201,-8.01908634005802,-8.92132407651127
"02a021a4a33ccd51f4b020422088397b",-6.74360102614363,-6.98775402964562,-7.43720636687129,-8.24780934724583,-13.889064028216,-13.8878322324476,-13.8867672408271,-13.8883204326102,-13.8877701949696,-13.8876124617287,-7.43936344193066,-8.53653819768001,-7.84306401669205,-7.43805667924878,-7.43458547688984,-7.68478394352278,-13.8884691597393,-13.8887078345868,-13.8887148319129,-13.8887661038203,-13.8864950636114,-13.884885616605,-13.8822100866455,-13.8827397178695,-13.884306185115,-13.8856809641293,-13.8865097342559,-13.8843048484869,-13.8840092518375,-13.8849642062011,-13.8828188582364,-13.8837309334674,-13.8832001092589,-13.8821913556844,-13.8829972051723,-13.8832907115537,-13.8806372942424,-13.881536600249,-13.884021051307,-13.8797187963551,-13.883297288197,-13.8831471406552,-13.8822264147059,-13.8860194503166,-13.8869257914279,-13.8866836118204,-13.8857923020842,-13.8835078064117,-13.8833231377142,-13.8850879701059,-13.8784555846033
"0303bb3e44db210e6aa8839332125997",-13.6828949509976,-13.6802656826689,-13.6834199700337,-13.6831209115359,-13.6842694044139,-13.6830376083853,-13.6819726165396,-13.6835258086511,-13.6829755708942,-13.6828178376199,-13.6842984325148,-13.6832882116377,-9.63515048634812,-9.63580416659104,-8.53359133722587,-8.93787526532926,-8.53673434662307,-8.53719187792293,-9.63600018736987,-13.6839714799554,-13.6817004392662,-8.24143968982973,-9.62218508704839,-9.62291349154373,-13.6795115603059,-13.6808863396116,-9.63135069141981,-8.93300459157855,-8.23926341040714,-8.52918763626461,-7.54386903789028,-7.54611622984719,-7.6790532688138,-8.0124821686501,-8.01413730491461,-13.6784960865291,-8.9256538085042,-8.2344986604755,-8.52773740529191,-8.51879191277993,-8.23840478613458,-7.32132082312417,-8.52370527503146,-13.6812248258707,-8.02270012893781,-8.53339457075425,-8.53149049611706,-8.01572366257427,-13.6785285126964,-13.6802933454627,-13.6736609585493
"04b4ed8ceabf387ba2caa3e54509965d",-5.03353604192858,-5.22793464077203,-5.01327207874856,-6.16653330331529,-6.99707351693033,-7.06843405489688,-11.0854607106733,-11.0870139248087,-11.0864636792535,-11.0863059437429,-11.0877865596153,-11.0867763244284,-7.14952429441951,-7.68950186066795,-7.68603111293844,-6.85751406254539,-6.41503149058013,-6.1681714126486,-5.72077068768506,-5.72090176646359,-7.68504663479638,-11.0835790593257,-9.62218508704839,-8.92970011431345,-7.8341283461978,-11.0843744183219,-7.83926297666115,-7.4284652248221,-8.23926341040714,-8.93471861401677,-8.93056032942026,-11.0824243595169,-8.23886721388848,-4.0286606041773,-4.82844706174754,-5.8846479454162,-5.72385183975071,-5.3120736646703,-6.58063913728495,-7.21897630546797,-7.42714413340862,-7.05875815251866,-6.62545867880669,-5.14709799230419,-6.68678042697026,-6.85856503479136,-6.79596893306977,-6.36567711171204,-5.98506251883996,-7.23023395697481,-6.24537139759737
"04bb27a4cb94cd3559e003c0a8b6e19f",-14.6273572576116,-8.93445510940391,-8.94174171400067,-8.5355568754332,-14.6287317100695,-8.5354259596773,-14.6264349237974,-8.94206869304423,-14.6274378774519,-14.6272801442877,-14.6287607381502,-14.6277505179773,-14.6278948521968,-14.6283090358978,-14.6265451788596,-14.6261039596942,-14.6281368418818,-14.6283755166134,-14.6283825139361,-14.6284337858186,-14.6261627467142,-14.6245533004921,-14.6218777718392,-14.6224074028042,-14.6239738692847,-14.6253486476286,-14.6261774173515,-14.6239725326573,-14.6236769361521,-14.6246318900499,-14.6224865431325,-14.6233986179179,-14.6228677939687,-7.8300943493905,-7.83174959524132,-8.93181623730917,-9.61886745412017,-8.92777850221897,-14.6236887356159,-14.6193864827685,-14.6229649728594,-14.6228148253908,-14.6218940998916,-7.43241805953615,-14.626593474321,-14.6263512948314,-14.6254599855293,-14.6231754909712,-8.526351129201,-14.6247556538944,-9.61453801051738
"04bfa26b3209850428c4ae09b1d4f4b8",-7.68878250674752,-8.93445510940391,-11.8916547947309,-7.84221331481174,-11.892504233956,-7.84208237334239,-11.890207432972,-11.8917606339521,-11.891210393055,-11.8910526588803,-11.8925332622224,-7.6889787455053,-11.8916673707268,-8.24931374626064,-7.8402473901943,-11.889876466746,-8.53673434662307,-11.8921480382205,-8.53725722245198,-7.68982866873648,-6.49441138853398,-6.63094720308223,-6.18620862390049,-6.73141579386573,-6.36647044773144,-5.96338157836516,-6.16357792730941,-6.22310522867614,-6.44618267521425,-6.91895894948946,-5.88338870808243,-5.77283208212229,-5.77216996198951,-7.05644050091671,-7.13820540547878,-11.8867308830609,-7.2203073318857,-6.91201286923478,-6.79221237940512,-6.39706297966138,-6.57905277962529,-6.4449258534844,-6.91347223931137,-7.5502668435735,-6.85882760535871,-7.06640133395827,-7.68392971999284,-7.83333605776338,-11.8867633094141,-11.8885281522911,-11.8818957272881
"04e1000d370d0e9de8c0341e672e47a6",-7.5551856926451,-7.32448997934853,-7.43720636687129,-12.3588958292126,-9.63697971531575,-8.94095652780578,-12.3577475305973,-8.94206869304423,-8.94089106778546,-8.94056370339324,-12.3600733538984,-12.3590631298413,-8.24865993780322,-12.3596216499097,-12.3578577860841,-9.6310881036155,-7.84339101712007,-8.24944445667191,-7.43825280254559,-7.68982866873648,-9.63135069141981,-8.93471861401677,-7.67587740270658,-8.23642052726539,-7.14058509988577,-6.85586970396788,-8.0216501911814,-8.93300459157855,-8.52701150035358,-8.24143968982973,-8.01407115203528,-8.23952745423994,-7.54545581508273,-6.62519340922493,-7.3206593161873,-7.22647343794646,-6.90988633999109,-6.28699520297716,-6.29249463707926,-7.21897630546797,-7.67859074939626,-7.54459662333099,-7.22389227896352,-6.22706353968954,-6.85882760535871,-7.23358668667098,-7.83814613523507,-7.67911932555657,-6.48814714992297,-7.06304816338817,-7.21597500265147
