"ASVID","TSP_23_02","TSP_24_02","TSP_25_02","TSP_26_02","TSP_27_02","TSP_28_02","TSP_01_03","TSP_02_03","TSP_03_03","TSP_04_03","TSP_25_05","TSP_26_05","TSP_27_05","TSP_28_05","TSP_29_05","TSP_30_05","TSP_31_05","TSP_01_06","TSP_02_06","TSP_03_06","TSP_24_08","TSP_25_08","TSP_26_08","TSP_27_08","TSP_28_08","TSP_29_08","TSP_30_08","TSP_31_08","TSP_01_09","TSP_02_09","TSP_25_11","TSP_26_11","TSP_27_11","TSP_28_11","TSP_29_11","TSP_30_11","TSP_01_12","TSP_02_12","TSP_03_12","TSP_04_12"
"OTU_44",1,0,0,0,2,1,0,0,1,0,2,0,2,0,1,11,0,1,0,0,1,0,1,0,0,3,0,0,0,0,4,0,0,0,0,1,0,0,0,1
"OTU_26",4,1,2,2,2,0,1,0,1,0,0,0,1,1,0,1,2,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,3,0,1,0
"OTU_33",0,3,1,2,0,0,0,0,3,0,0,1,1,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,2,0,0,3,0,1,0,5,1,0,4,0
"OTU_21",0,1,0,0,0,0,0,0,0,0,3,1,0,2,4,5,0,1,1,4,0,1,0,0,2,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0
"OTU_31",0,0,0,1,2,0,1,2,0,0,3,0,1,4,2,0,2,2,1,0,1,0,2,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0
"OTU_147",0,0,0,1,1,1,1,1,3,0,0,1,0,0,2,1,0,0,1,0,2,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_17",0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,2,0,1,0,1,0,1,0,1,0,3,1,0,2,2,1,0,2,1,0,2
"OTU_24",2,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,3,1,1,0,1,0,0,1,0,0,2,1,0,0,0
"OTU_20",0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,3,0,2,0,1,0,4,0,0,2,0,0,0,2,1,0,1
"OTU_51",2,1,2,1,2,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1
"OTU_19",0,1,2,0,0,1,4,1,0,2,0,0,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1
"OTU_15",0,0,0,2,0,1,1,0,0,0,0,0,0,1,1,1,1,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,3,2,1,2,0,0,0,1
"OTU_45",0,0,0,2,0,1,0,1,1,1,0,0,1,2,1,2,0,0,0,0,3,0,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_25",3,1,1,1,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,2,0,1,0,0,1,1,0,1,0,1,1,0,0,0,2,1,0,0
"OTU_65",1,1,1,1,2,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,3,0,0,2,0,1,1,0,0,0
"OTU_30",2,2,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,3,0,1,0,2,0,1,0,1
"OTU_16",1,0,0,0,0,2,0,0,2,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,2,1,0,0,0,0
"OTU_29",1,1,0,0,2,1,0,0,1,0,0,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1,1
"OTU_47",0,1,0,0,0,2,1,0,0,0,0,0,0,1,2,2,0,0,1,1,1,0,0,0,2,0,1,0,0,1,2,0,0,1,0,0,0,1,0,0
"OTU_22",0,0,1,1,1,2,0,0,0,0,0,0,3,0,1,0,0,2,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,1
"OTU_42",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,1,2,0,0,2,3,1
"OTU_32",1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0
"OTU_41",0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,2,0,3,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0
"OTU_452",0,0,0,1,0,0,1,1,1,0,0,2,1,1,0,1,2,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"OTU_260",0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,0,0,2,1,1,1,1,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_87",2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,1,0,1,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0
"OTU_52",0,1,0,1,1,0,0,1,1,0,0,0,2,0,0,0,2,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0
"OTU_27",1,0,1,0,0,0,0,0,3,0,1,1,1,0,3,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"OTU_37",0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,1,0,0,1,0,2,2,2,1,0,0,0,1,0,0,0
"OTU_94",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,1,0,2,0,0,0,3,0,0,2,0,0
"OTU_98",0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,4,1,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"OTU_59",0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,1,1,0,1,1,0,0,1,1,0,0
"OTU_170",0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,0,1,0,0,1,2,0,0
"OTU_71",2,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,2
"OTU_54",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3
"OTU_75",0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,3,0,0,0,0,1,0,0,1
"OTU_18",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3
"OTU_66",1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,2,0,0,0,0,1,0,2
"OTU_155",0,0,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,1
"OTU_14",0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"OTU_58",1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
"OTU_28",1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,1,0,1,0,0
"OTU_50",0,0,0,0,0,0,1,3,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_73",0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
"OTU_74",1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"OTU_191",0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0
"OTU_48",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1
"OTU_23",0,0,0,1,2,1,0,2,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_237",1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"OTU_68",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1
"OTU_76",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,2,0,0,1,0,1,0,0,0,0,1,0
"OTU_49",2,0,0,1,0,2,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"OTU_46",1,0,1,1,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"OTU_93",0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
"OTU_35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,1,0,0,1
"OTU_61",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0
