"ASVID","TSP_23_02","TSP_24_02","TSP_25_02","TSP_26_02","TSP_27_02","TSP_28_02","TSP_01_03","TSP_02_03","TSP_03_03","TSP_04_03","TSP_25_05","TSP_26_05","TSP_27_05","TSP_28_05","TSP_29_05","TSP_30_05","TSP_31_05","TSP_01_06","TSP_02_06","TSP_03_06","TSP_24_08","TSP_25_08","TSP_26_08","TSP_27_08","TSP_28_08","TSP_29_08","TSP_30_08","TSP_31_08","TSP_01_09","TSP_02_09","TSP_25_11","TSP_26_11","TSP_27_11","TSP_28_11","TSP_29_11","TSP_30_11","TSP_01_12","TSP_02_12","TSP_03_12","TSP_04_12"
"OTU_94",0,-3.45118553596605,-3.44949642512152,-3.45208012022876,-3.44835594244691,-3.44959887673353,-3.44984215725296,-3.44650790789138,-3.45008537860139,0,0,-3.44714997367573,-3.44981655156418,-3.45022616392738,-3.45256541675588,-3.45114717875089,-3.44822771700478,-3.45158180772859,0.693147180559945,-3.44994457345209,0,-3.44879178600676,0,-3.45011097740768,-3.45172238255167,-3.45049488088705,0,-3.45113439268554,0,-3.4472269938741,0.693147180559945,-3.45057164390026,-3.45239942076174,-3.45112160645671,1.09861228866811,-3.44953484570607,-3.45035413339004,0.693147180559945,-3.44877896978952,-3.45100652303969
"OTU_228",-4.83552180080965,-4.83747989708594,-4.83579078624141,-4.83837448134865,-4.8346503035668,-4.83589323785342,-4.83613651837285,-4.83280226901127,-4.83637973972128,-4.83452207812467,-4.83255817588093,-4.83344433479562,0,-4.83652052504727,-4.83885977787577,-4.83744153987078,-4.83452207812467,-4.83787616884848,-4.83755660710273,-4.83623893457198,-4.83104089354945,-4.83508614712666,-4.83891084802322,-4.83640533852757,-4.83801674367156,-4.83678924200694,-4.8363285401427,-4.83742875380543,-4.8354193111343,-4.83352135499399,0,0,-4.83869378188163,-4.8374159675766,-4.83526555692334,-4.83582920682596,-4.83664849450993,0,-4.83507333090941,-4.83730088415958
"OTU_237",0,-3.73886760841783,-3.7371784975733,-3.73976219268054,-3.7360380148987,-3.73728094918531,-3.73752422970474,-3.73418998034316,-3.73776745105317,-3.73590978945656,-3.73394588721282,0.693147180559945,0,-3.73790823637916,-3.74024748920766,0,0,0,0,-3.73762664590387,-3.73242860488134,-3.73647385845855,-3.74029855935511,0,-3.73940445500345,-3.73817695333883,0,-3.73881646513732,-3.73680702246619,-3.73490906632588,-3.73570459454413,0,0,-3.73880367890849,-3.73665326825523,-3.73721691815785,-3.73803620584182,-3.739736644233,-3.73646104224131,-3.73868859549147
"OTU_106",-3.9192310689355,-3.92118916521179,-3.91950005436726,-3.92208374947449,1.94591014905531,-3.91960250597926,-3.9198457864987,-3.91651153713711,-3.92008900784712,0,-3.91626744400678,-3.91715360292146,-3.91982018080992,-3.92022979317312,0,-3.92115080799662,-3.91823134625051,-3.92158543697432,-3.92126587522858,-3.91994820269783,-3.9147501616753,-3.9187954152525,-3.92262011614907,-3.92011460665342,-3.9217260117974,-3.92049851013278,-3.92003780826855,-3.92113802193128,-3.91912857926015,-3.91723062311984,-3.91802615133809,-3.920575273146,-3.92240305000747,-3.92112523570245,-3.91897482504918,-3.91953847495181,-3.92035776263577,-3.92205820102695,0,-3.92101015228542
"OTU_10",1.09861228866811,1.38629436111989,1.09861228866811,1.09861228866811,-2.03128992266027,-2.03253285694688,0.693147180559945,0,0.693147180559945,-2.03116169721813,1.38629436111989,1.38629436111989,1.38629436111989,1.79175946922805,0,0.693147180559945,1.09861228866811,0.693147180559945,0,0.693147180559945,-2.02768051264292,1.38629436111989,-2.03555046711669,0,-2.03465636276502,0,-2.03296815923617,0,1.09861228866811,0,0,0,0.693147180559945,0,-2.0319051760168,-2.03246882591943,0,0,0,-2.03394050325304
"OTU_694",0,-4.43201478897778,-4.43032567813325,-4.43290937324049,-4.42918519545864,-4.43042812974525,-4.43067141026469,-4.4273371609031,-4.43091463161311,-4.42905697001651,-4.42709306777277,-4.42797922668745,-4.43064580457591,-4.43105541693911,-4.4333946697676,-4.43197643176261,-4.42905697001651,-4.43241106074031,0,-4.43077382646382,-4.42557578544129,-4.42962103901849,-4.43344573991506,-4.43094023041941,-4.43255163556339,-4.43132413389878,0,-4.43196364569727,-4.42995420302614,-4.42805624688583,-4.42885177510408,0,-4.43322867377346,-4.43195085946844,-4.42980044881517,0,0,-4.43288382479294,-4.42960822280125,-4.43183577605141
"OTU_672",-5.12320387326143,-5.12516196953773,-5.12347285869319,-5.12605655380043,-5.12233237601859,-5.1235753103052,-5.12381859082464,-5.12048434146305,-5.12406181217306,-5.12220415057645,-5.12024024833272,-5.1211264072474,-5.12379298513585,-5.12420259749905,-5.12654185032755,-5.12512361232256,-5.12220415057645,-5.12555824130026,0,-5.12392100702376,-5.11872296600123,0,-5.126592920475,0,-5.12569881612334,-5.12447131445872,-5.12401061259448,-5.12511082625721,-5.12310138358608,-5.12120342744577,-5.12199895566402,-5.12454807747194,-5.12637585433341,-5.12509804002838,-5.12294762937512,-5.12351127927774,-5.12433056696171,-5.12603100535289,-5.1227554033612,-5.12498295661136
"OTU_226",-6.22181616192954,-6.22377425820584,-6.2220851473613,-6.22466884246854,-6.2209446646867,-6.22218759897331,-6.22243087949274,-6.21909663013116,-6.22267410084117,-6.22081643924456,-6.21885253700083,-6.21973869591551,-6.22240527380396,-6.22281488616716,-6.22515413899566,-6.22373590099067,-6.22081643924456,-6.22417052996837,-6.22385096822262,-6.22253329569187,-6.21733525466934,-6.22138050824655,-6.22520520914311,-6.22269969964746,-6.22431110479145,-6.22308360312683,-6.22262290126259,-6.22372311492532,-6.22171367225419,-6.21981571611388,-6.22061124433213,-6.22316036614005,-6.22498814300152,-6.22371032869649,-6.22155991804323,-6.22212356794585,0,-6.224643294021,-6.22136769202931,-6.22359524527947
"OTU_315",-5.12320387326143,0,-5.12347285869319,-5.12605655380043,-5.12233237601859,-5.1235753103052,-5.12381859082464,-5.12048434146305,-5.12406181217306,-5.12220415057645,-5.12024024833272,-5.1211264072474,-5.12379298513585,0,-5.12654185032755,-5.12512361232256,-5.12220415057645,0,-5.12523867955451,-5.12392100702376,-5.11872296600123,-5.12276821957844,-5.126592920475,-5.12408741097935,-5.12569881612334,-5.12447131445872,-5.12401061259448,-5.12511082625721,-5.12310138358608,-5.12120342744577,-5.12199895566402,-5.12454807747194,-5.12637585433341,-5.12509804002838,-5.12294762937512,-5.12351127927774,-5.12433056696171,-5.12603100535289,-5.1227554033612,-5.12498295661136
"OTU_536",-4.83552180080965,-4.83747989708594,-4.83579078624141,-4.83837448134865,-4.8346503035668,0,-4.83613651837285,-4.83280226901127,-4.83637973972128,-4.83452207812467,-4.83255817588093,-4.83344433479562,0.693147180559945,-4.83652052504727,-4.83885977787577,-4.83744153987078,-4.83452207812467,-4.83787616884848,-4.83755660710273,-4.83623893457198,-4.83104089354945,-4.83508614712666,-4.83891084802322,-4.83640533852757,-4.83801674367156,-4.83678924200694,-4.8363285401427,-4.83742875380543,-4.8354193111343,-4.83352135499399,0,-4.83686600502016,-4.83869378188163,-4.8374159675766,-4.83526555692334,-4.83582920682596,-4.83664849450993,-4.83834893290111,-4.83507333090941,-4.83730088415958
