"ID","UK01A","UK02A","UK03A","UK04A","UK05A","UK06A","UK08A","UK09A","UK10A","UK11A","UK12A","UK13A","UK14A","UK15A","UK16A","UK17A","UK18A","UK19A","UK20A","UK21A","UK22A","UK23A","UK24A","UK25A","UK26A","UK27A","UK28A","UK29A","UK30A","UK31A","UK32A","UK33A","UK34A","UK35A","UK36A","UK37A","UK38A","UK39A","UK40A","UK41A","UK42A","UK43A","UK44A","UK45A","UK46A","UK47A","UK48A","UK49A","UK50A","UK51A","UK52A"
"60c24e14ac67927ee85a38e54d24a54e",7,10,17,7,10,8,11,12,12,15,18,21,15,26,22,18,26,25,23,34,45,39,43,38,31,48,19,26,25,23,30,35,29,14,13,14,31,10,26,20,15,19,14,9,14,6,7,7,1,0,5
"61535a40adb8221483821e3984d0b1ac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,1,1,5,0,5,0,0,0,0,0,0,0,0,4,6,0,0,1,0,0,0,5,14,13,0,0,3
"61545d6572a5e3a125672708994a65f6",0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30,0,0,0,17,0,0,0,21,19,20,14,30,26,18,0,0,0,0
"61c99e8c05e4ec601235ebdd8cee0f9b",0,0,0,0,12,12,25,0,0,0,0,0,0,4,12,4,0,4,0,9,15,0,0,0,0,2,0,2,0,1,0,0,0,3,7,39,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0
"6238215252d3a1b64fe2e1fa0cf51322",0,3,1,0,0,0,0,0,0,3,2,4,2,0,6,6,8,9,4,0,5,2,3,9,3,5,10,8,16,11,12,6,7,4,3,3,6,1,9,13,16,10,11,2,20,7,10,6,5,4,3
"6257efddbd1abf77efacdb5bab67c0aa",6,1,1,1,4,7,3,4,7,7,5,17,4,5,10,5,8,7,9,10,28,25,15,9,8,4,7,7,7,3,9,10,8,1,1,0,1,2,0,3,2,6,0,0,0,2,3,5,0,2,2
"62764cd979bd1a340be3832f8a1d0a4b",18,23,12,15,16,4,7,1,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6308d99aa6ce525fa4a159ca345f3418",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,2,0,0,0,0,0,1,3,0,0,2
"63735dec6b1a0115dcea6faf93fabcd6",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4,7,0,0,0,3,13,14,3,5,4,2,6,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"63b0badb467190e0ef7eac9216ba59d7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,8,0,0,5,8,9,20,7,0,2,5,3,7,16,17,7,5,4,0,0,3,0,0,0,0,0
"6420671c26eef32065e0275c8cd6701e",0,6,0,3,6,7,0,0,2,3,0,11,3,3,0,3,3,1,0,8,25,12,20,9,2,4,7,4,7,3,14,8,9,3,2,5,0,5,7,15,15,10,6,0,7,9,11,11,0,4,2
"6472eb8b1e09f892aca2f23182962903",14,0,0,0,0,0,14,0,12,10,9,16,0,0,0,0,0,0,0,11,28,23,15,8,11,12,0,5,0,0,4,11,15,0,0,0,0,0,0,5,0,0,0,0,7,7,7,0,0,8,0
"649f026cd615015b1c0f8e760d309122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5,5,8,5,3,7,0,11,12,11,4,7,6,6,10,13,8,0,4,9,0,0,2,3,0,0,0,0
"64f92613d472619ff7edc5c542332f7c",5,5,9,10,0,7,6,0,0,0,0,0,0,0,8,0,0,0,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"653334c36340a20181971e05d9b4e110",0,12,21,19,22,23,38,49,29,30,17,20,38,32,23,17,25,22,17,29,0,0,0,0,0,0,0,0,0,17,15,19,17,0,0,0,21,28,10,21,16,24,16,19,16,12,8,0,23,20,24
"65a2cd72de8d6795960e62923b0bee33",0,0,0,0,0,4,0,0,0,0,0,3,7,0,0,4,6,6,3,8,2,22,23,6,0,0,0,4,12,30,13,17,8,5,14,24,58,19,14,30,23,45,4,0,0,0,3,8,4,0,6
"65e588db04878fbb9057b8e9c265c6ed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,12,6,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"6626f9c2e3859382d416f81cb71595bb",2,1,0,3,0,0,0,3,3,0,0,2,0,2,0,0,0,0,0,0,0,3,0,2,3,0,1,0,0,0,3,3,0,4,5,4,2,5,2,0,0,0,0,0,0,0,0,0,0,0,3
"66710dc67a16ee15b84b22764079988c",108,84,100,66,85,52,40,46,63,84,188,331,95,59,87,62,83,96,56,66,119,97,91,93,194,281,196,154,79,53,56,57,79,20,9,0,31,40,46,59,30,18,20,0,49,39,58,32,29,50,19
"66950cf19482c3f3ee1b7971a304e6c4",28,24,15,17,10,13,13,19,19,17,38,64,21,16,8,9,25,32,13,34,105,61,55,82,34,80,67,83,49,37,45,46,58,18,18,28,25,29,34,30,35,52,39,12,49,46,37,36,16,40,14
"66cc606b623bc8ef62c38b9fcfad7780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,8,10,15,1,1,2,0,0,0,0,0,4,0,5,2,6,3,0,0,0,0,0,0,0,0,0,0,0
"67156123b8043ec74417b97b0d91f257",0,0,0,2,0,5,2,3,3,4,0,3,7,3,3,3,0,2,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"67355e95ba31971f190f204bb8274b04",17,16,14,13,8,11,28,37,33,48,43,21,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,8,4,20,31,38,46
"67588f6f0b9b141bc5f37204a50da5bf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,2,5,7,5,2,3,3,4,7,4,4,5,0,0,0,2,4,1,0,0,0
"675c847bccbc53942ebb7b8cbb4efc4d",3,0,6,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,6,0,0,2,5,0,3
"679c8ac62fb99764876f0c0e594edae8",35,34,39,43,25,21,39,18,11,22,14,51,20,17,29,26,24,25,7,30,8,33,11,30,27,11,13,18,6,11,10,0,13,0,4,0,8,0,6,14,11,15,22,7,32,36,33,37,9,17,7
"67aa187e7915900cc6979df994fc867c",11,8,17,27,13,15,9,16,18,11,28,46,16,19,16,11,25,22,11,12,36,24,25,24,8,5,7,13,6,11,24,26,32,0,5,0,8,0,9,14,13,6,10,8,9,12,15,8,5,22,13
"67b66c716c96d8b9d1bf7b467d9baef3",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,2,1,1,1,4,6,2,3,2,3,0,0,0,0,0,0,0,3,3,3,11,1,14,8,12,1,0,2,0
"683a4c4e73c6d4d7324977e95fab24bc",0,1,2,4,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,3,4,4,7,0,3,0,2,4,2,1,4,5,3,0,0,0,0,1,0,2,6,7,6,3,9,4,9,5,1,0,3
"6851a4ee264b56be2fff4686ce269907",0,5,0,4,2,5,4,0,2,4,0,0,0,5,5,3,2,0,2,0,10,0,3,3,3,0,0,0,0,4,4,0,6,4,0,2,2,2,3,3,8,7,5,4,0,3,9,6,0,5,0
"6856274d8ecedff5eb3df453347d415a",0,0,0,0,0,0,2,4,5,38,23,5,13,8,17,37,52,111,94,49,29,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,42,5,6,4,0,48,0,43
"685cc7b894736d20acd4f502fd62ead3",0,3,5,6,0,1,0,6,8,8,11,2,8,2,0,3,1,0,1,6,2,0,2,2,8,7,9,5,12,8,0,2,0,8,6,3,9,6,7,4,3,0,3,7,0,6,2,4,7,3,7
"68d79c3035521e82b504b081a197d2ed",0,7,0,0,0,0,0,0,0,3,0,0,7,2,0,0,0,0,0,0,0,7,0,6,0,0,0,10,13,8,26,14,20,0,0,0,0,0,0,0,15,9,13,0,10,9,11,0,0,0,0
"68da9d63488baf45aad37e61cb080241",0,0,0,0,0,0,0,0,0,10,3,0,12,7,9,10,15,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,7,0,9
"6939e33232d2e88fbed716782e43ba23",8,6,5,9,20,17,8,9,0,0,0,0,0,0,0,0,0,0,0,5,12,9,7,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"6a0547314074b11de2c8d567b68ec521",0,0,0,0,0,0,0,2,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1
"6a5d1495c22c0e0075f72110f54fc23f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,11,9,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6a6b664ae84ef3825b0b0ae8d1ecc811",0,0,0,0,0,0,0,8,64,22,0,0,0,0,0,4,4,5,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,9,10,24,2,0,0,0,0,0,8,0,0,0,0,3,0,0
