"SampleID","Week","SS.Bacteria.mL","SS.AOB.per.mL","SS.Virus.mL","Eff.Virus.mL","Influent.Flow..L.sec.","HRT..Hours.","SRT..Days.","SS.COD..mg.L.","SS.COD..mg.L..1","Eff.COD..mg.L.","SS.NH4.N..mg.L.","Eff.NH4.N..mg.L.","SS.MLSS..g.L.","Eff.MLSS..g.L.","SS.MLVSS..g.L.","Eff.MLVSS..g.L.","SS.Nitrate..mg.L.","Eff.Nitrate..mg.L.","SS.Nitrite..mg.L.","Eff.Nitrite..mg.L.","SS.Sulphate..mg.L.","Eff.Sulphate..mg.L.","SS.Phosphate..mg.L.","Eff.Phosphate..mg.L.","SS.Fluoride..mg.L.","Eff.Fluoride..mg.L.","SS.Chloride..mg.L.","Eff.Chloride..mg.L.","SS.Calcium..ug.L.","SS.Magnesium..ug.L.","SS.Potassium..ug.L.","SS.Iron..ug.L.","SS.Manganese..ug.L.","SS.Aluminium..ug.L.","SS.Zinc..ug.L.","SS.Lead..ug.L.","SS.Copper..ug.L.","SS.Arsenic..ug.L.","SS.Cadmium..ug.L.","SS.Sulphur..ug.L.","SS.Sillicon..ug.L.","SS.Nickel..ug.L.","SS.Chromium..ug.L."
"SS_30",30,64926974.19,543111.1111,149223215.8,637625904.7,101,13.24152542,11.62,154,15,2,31.7,10.5,0.12,0.04,0.12,0.04,0.954,21.061,0,4.728,66.82,101.039,12.186,2.982,3.694,0,169.158,178.228,45355.1,10032.8,15790.6,4226.71,127.904,413.002,90.0449,6.52273,93.626,0,0.50495,21901.7,2665.72,14.2177,23.5551
"SS_31",31,86613305.68,19878.88889,278999425.8,400263286.4,136.3,12.12121212,12.37,104,13,17,20.7,6.8,0.09,0,0,0,10.124,18.362,0.582,5.153,60.975,87.903,6.798,1.876,2.368,0.224,80.623,85.245,51607.6,12693.4,12880.1,2417.26,99.609,379.272,70.1042,10.1251,107.541,0,0.612133,20344.7,335.889,10.3428,8.75012
"SS_32",32,70152663.52,13103.33333,146086259.2,777067464.8,92.56,12.77628721,12.89,168,33,18,27.1,2.2,0.15,0.07,0.12,0.05,1.457,25.224,0,1.25,62.786,101.512,14.76,2.753,2.655,0,67.918,75.34,48037.5,12590.6,11487.7,3318.45,165.397,388.378,91.489,10.046,71.737,0,0.445,23217.3,3883.82,22.788,23.668
"SS_33",33,64010598.3,8666.666667,77350943.4,719578497.7,83.95,11.32759402,14.12,183,30,29,41,6.9,0.13,0,0.12,0,0.624,36.212,0,1.785,63.628,103.316,17.632,3.232,3.317,0,145.753,68.024,38830,9617.41,13222.1,2307.39,139.288,455.543,111.752,13.526,45.174,0,64.934,22200.7,3575.29,88.632,15.096
"SS_34",34,58000953.79,11268.88889,168109351.9,559085352.1,102.7,9.784735812,13.75,121,29,29,23.4,4.5,0.1,0.06,0.09,0.05,6.123,30.356,0.521,0.558,62.739,80.537,10.464,3.031,1.182,0.1,97.193,110.018,48305.2,11853.9,9174.6,2203.88,131.545,396.15,105.86,11.626,54.378,0,0.461,20775.4,3893.57,27.227,15.573
"SS_35",35,57220541.84,6692.222222,245102132.9,745869468.2,85.52,9.057971014,13.88,175,48,24,8.3,2.7,0.08,0.03,0.08,0.03,1.799,48.462,0,0.283,70.264,111.638,14.202,3.046,2.165,0.246,87.102,88.756,48543.1,12171.2,12149.5,2413.5,148.461,495.879,133.077,12.297,78.877,12.391,0.674,24539.9,3914.67,16.343,12.775
"SS_36",36,47345676.34,6851.111111,80901353.57,936951804.4,76.02,9.505703422,15.9,204,37,37,38.7,6.4,0.07,0.08,0,0.04,0.75,45.383,0,0,63.229,109.586,16.903,3.918,3.091,0,110.316,183.2,43609.2,10367,11620.1,1723.19,214.765,464.821,121.409,4.491,50.082,0,0.969,22854.6,3895.27,41.544,22.826
"SS_37",37,62172619.22,6384.444444,103797949.1,826318993.4,91.65,7.552870091,14.72,174,40,33,29.4,2.3,0.12,0.05,0.12,0.04,1.169,30.786,0,0,69.344,93.419,12.893,3.362,3.104,0.878,125.433,86.447,53241.5,11547.8,11542.3,2046.19,291.419,467.617,131.994,16.804,82.48,16.854,2.665,23906.8,4249.14,21.5,14.972
"SS_38",38,70054990.38,5225.555556,50682319.05,820832241.2,91.32,5.022601708,14.52,206,48,29,39,7.7,0.23,0.08,0.21,0.08,0.693,50.223,0,0,68.252,108.966,15.772,3.261,3.122,0,84.607,90.685,34491,8758.38,11428.8,1440.82,114.078,370.874,117.996,7.927,54.455,17.336,0.802,21334.1,3718.24,32.406,31.661
"SS_39",39,158189971.8,25880,15896723.08,684487746.7,73.85,9.009009009,12.89,389,65,46,38,50.5,0.54,0.11,0.51,0.11,1.76,54.214,0,0,71.512,125.582,25.088,6.119,3.035,0,77.677,83.266,37249.1,9453.28,12963.6,3247.84,147.515,382.317,99.177,8.721,44.018,0,0.774,22128.2,4215,27.627,17.894
"SS_40",40,362624133.8,209677.7778,70738530.79,661574218.8,79.56,7.462686567,14.01,197,150,63,42.7,26,0.13,0.06,0.07,0.01,0.965,41.02,0,0,63.73,100.793,18.174,4.876,4.241,0.655,97.421,117.746,37192.7,9282.37,12155.7,2304.79,129.148,350.729,125.552,9.94,64.761,0,0.547,22313.1,3329.35,12.85,11.913
"SS_41",41,25297176.44,85022.22222,60456607.85,850152508.2,75.52,4.967709886,11.65,285,28,51,40,7.4,0.14,0.06,0.09,0.03,1.461,43.434,0,0,62.264,111.583,20.059,4.613,5.524,0,79.278,80.463,37174.4,9383.11,13370.6,3599.89,145.356,329.71,80.866,7.803,34.24,11.769,91.907,21890.2,2727.89,13.252,14.139
"SS_42",42,16016978.95,170933.3333,82277997.84,804363486.8,82.5,11.41422212,11.6,238,34,112,49.6,18.1,0.12,0.09,0.1,0.09,0.608,48.711,0,0,61.761,112.382,18.339,15.116,4.89,0,75.017,73.399,35056.9,8510.66,13853.7,2444.98,147.408,353.606,110.83,11.244,36.514,7.549,5.791,21836.7,3544.11,15.441,23.034
"SS_43",43,17013415.33,175288.8889,142094886.6,1175239437,78.27,4.967709886,12.76,263,154,45,39.7,7,0.16,0.03,0.1,0.03,1.561,46.438,0,0,61.844,112.004,17.073,5.285,6.415,1.225,76.077,73.747,33873.7,8112.32,13470.4,4355.81,140.349,324.893,81.738,4.288,38.811,7.588,0.558,21720.3,2686.8,17.35,13.831
"SS_44",44,42122218.18,214855.5556,121197947.4,877158910.2,88.28,8.051529791,12.93,260,39,24,40,4.1,0.15,0.05,0.13,0.03,1.68,44.658,0,0,61.508,104.26,20.303,5.614,6.363,0,100.545,69.412,37845,8587.85,13319.2,3733.01,537.389,516.771,108.153,9.032,62.679,24.773,0.488,20356.4,4279.71,17.073,11.883
"SS_45",45,26353691.78,453555.5556,153130932.7,788459714.2,102.2,10.12145749,10.64,175,27,82,32.9,3.5,0.15,0.05,0.11,0.05,0.499,39.128,0,0,67.972,103.983,13.096,4.055,2.99,0.208,115.267,98.874,47006.4,11755.3,13260.7,2852.73,144.094,270.395,93.15,11.01,61.573,22.223,0.657,24327.4,3936.17,15.24,6.371
"SS_46",46,12005135.83,277355.5556,212561315.9,705306386.8,110.4,11.70138076,10.89,182,23,42,26.6,7.5,0.15,0.06,0.13,0.03,4.898,23.561,0.164,0,44.446,94.059,11.437,3.763,3.735,0,135.805,98.071,39225.5,8631.48,10776.5,4259.55,195.342,576.777,92.777,10.198,40.41,14.171,0.823,15907.2,3898.25,16.2,15.428
"SS_47",47,7170513.765,35334.44444,231523266,610971661.4,105.2,9.310986965,8.73,135,26,36,20.1,3,0.16,0.06,0.16,0.06,4.762,36.485,0.721,0,80.724,104.873,9.594,2.608,2.311,2.545,99.757,98.399,61120.6,16357.2,10781.1,2146.41,143.947,468.376,95.414,9.939,30.943,12.418,0.69,25328.5,4707,12.75,9.854
"SS_48",48,20058540.28,50322.22222,197135116.9,344213218.7,132.4,9.310986965,6.6,114,37,30,14.2,1.2,0.09,0.04,0.08,0.04,15.925,50.022,0.442,0.215,86.277,98.329,8.075,1.776,1.638,0.125,85.974,80.199,64905.8,17850.2,9055.55,2469.49,118.488,166.371,45.791,0,38.032,16.425,14.215,26015.8,4663.89,15.904,18.729
"SS_50",50,5210032.619,237855.5556,165547998.4,372103078.3,111,11.57407407,10.53,729,25,40,31.3,5.7,0.08,0.02,0.08,0.02,3.573,45.913,0.759,0,85.224,104.303,9.452,4.593,0.148,0,84.332,77.647,51886.1,12657.1,8198.78,3708.83,156.217,328.759,77.907,0,35.267,0,0.409,19282.8,4064.03,16.758,20.835
"SS_51",51,14784820.38,36103.33333,191274950.5,603557492.1,134,10.88494612,11.03,147,94,154,31.4,24.2,0.19,0.04,0.16,0.04,0.58,53.625,0,0,53.936,105.315,14.062,5.489,3.368,0,61.669,71.532,48149,14107.6,13128.5,3602.51,171.917,288.833,140.235,4.467,33.151,0,1.305,24865.2,94.314,8.489,8.621
"SS_52",52,12389438.16,215977.7778,274971502.2,965981620.6,201.3,10.46462955,7.12,178,55,35,35.7,9.9,0.11,0.07,0.11,0.07,1.079,56.792,0,0.217,82.437,120.815,18.839,8.185,4.744,2.776,80.723,79.76,41678.5,10073.3,8555.28,3835.32,168.797,326.031,88.803,10.709,53.299,9.525,0.37,18826.4,3228.21,16.002,16.333
"SS_53",53,10243485.78,304833.3333,218881965.9,600024988.7,87.61,11.16445238,6.22,112,28,36,29.4,10.6,0.02,0.02,0.02,0.02,1.292,39.957,0,0,66.304,84.055,11.171,6.522,1.535,1.51,80.311,65.775,43069.5,10777.5,9127.27,1677.86,129.559,218.538,92.042,9.303,37.315,0,0.388,21574.6,3688.41,10.867,17.954
"SS_54",54,14021388.53,106877.7778,349456651.7,411427161.6,201.3,11.7370892,7.03,207,29,36,27.2,8.9,0.27,0.03,0.25,0.03,9.547,51.927,0,1.116,29.782,83.366,8.098,4.747,3.945,6.897,32.913,64.01,37138.3,7750.12,5709.94,0,260.923,573.414,116.424,8.241,41.702,6.727,0.835,11348.7,838.518,13.812,12.338
"SS_55",55,24315299.08,95566.66667,299546748.9,541242055.2,124.2,10.43841336,10.38,216,43,32,35.4,5.6,1.02,0.05,0.15,0.05,3.664,43.582,0.59,0,76.101,105.236,6.472,3.629,8.124,1.025,74.379,71.971,61741.2,16828,10902.7,0,255.146,304.907,109.041,0,55.359,18.173,0.916,25698.2,128.335,21.082,16.98
"SS_56",56,13335861.1,15996.66667,278752914.8,551219828,98.8,13.01236174,9.37,181,27,151,30.6,10.4,0.17,0.02,0.11,0.02,4.387,29.334,0,0,73.08,95.741,8.65,4.047,5.597,1.035,68.515,62.272,56147.5,14594.1,9984.8,6033.45,254.592,340.582,81.905,8.519,23.272,12.99,0.7,22986.9,4427.12,9.427,10.937
"SS_57",57,9490607.132,21974.44444,146945254.1,523917881.4,85.46,12.8915818,7.74,150,38,23,37.4,7.5,0.08,0.03,0.08,0.03,1.435,47.281,0,0,76.311,110.002,7.643,3.745,3.589,1.114,75.425,71.684,53410.2,13955.5,10180.4,3714.69,186.166,172.767,61.946,0,24.442,0,0.69,24420.9,3765.65,11.902,11.658
"SS_58",58,18703851.33,2797555.556,111530754.9,306803757.4,107.4,5.42888165,11.36,136,22,19,28,6.2,0.08,0.04,0.03,0.04,1.629,44.5,0.59,0,80.11,111.156,8.62,4.482,2.528,0.492,65.629,61.196,57099.7,15481.1,9227.71,1505.85,184.69,78.775,43.175,5.471,9.812,13.3,0.638,23938.9,4650.42,14.566,20.33
"SS_59",59,8158292.426,107822.2222,119546038.9,306356908.9,107.4,10.99989,6.89,359,164,18,24.4,3.8,0.07,0.01,0.07,0.01,0,27.661,0,0,70.178,90.396,8.95,0,2.889,1.532,55.874,47.493,58210.7,15245.6,8401.32,2682.56,246.236,243.654,65.659,5.15,20.803,0,0.449,24156.6,3678.57,13.045,18.137
"SS_60",60,14894381.23,20087.77778,325833482.8,544897563.9,90.01,11.80358829,9.81,225,14,15,63.1,16.9,0.21,0.02,0.2,0.02,1.198,31.194,0,0,80.795,85.284,13.713,2.042,10.922,1.208,64.188,45.309,52292.6,13036.6,11133.5,4179.24,343.14,215.685,59.615,3.518,23.963,0,0.675,27541.4,4946.2,11.499,10.313
"SS_61",61,24632675.45,88411.11111,193023393.1,667655111.8,86.4,5.219206681,9.54,288,43,32,76.3,2.9,0.13,0.02,0.11,0.02,0,29.536,0,0,55.395,89.403,11.515,2.261,10.221,1.109,49.236,42.676,46505.5,10684,11329.4,5291.43,252.891,265.052,69.81,2.886,24.428,9.597,0.484,24129.6,4296.99,10.404,8.638
"SS_62",62,10277650.55,307466.6667,104800434,438880151.8,91.87,8.038585209,12.12,135,27,22,34.6,42.4,0.11,0.09,0.11,0.03,1.669,38.35,0,0,63.477,92.158,12.941,2.022,5.953,1.171,60.11,44.131,41956.6,9283.17,10031.8,2869.56,158.187,297.78,59.061,0,24.797,3.85,0.372,21956.2,4055.21,7.633,9.351
