"ASVID","N01C","N02C","N03C","N04C","N05C","N06C","N07C","N08C","N09C","N10C","N11C","N12C","N13C","N14C","N15C","N16C","N17C","N18C","N19C","N20C","N21C","N22C","N23C","N24C","N25C","N26C","N27C","N28C","N29C","N30C","N31C","N32C","N33C","N34C","N35C","N36C","N37C","N38C","N39C","N40C","N41C","N42C","N43C","N44C","N45C","N46C","N47C","N48C","N49C","N50C","N51C","N52C"
"1c7d2ad94334dd47c5d0181ab8aea2b9",-3.8264651170665,-4.10857967804397,-4.3217727068538,-4.17685474535124,-2.50099128495405,-3.2571803675497,-3.85379400370047,-4.47567824283867,-3.44385995257535,-3.62943990057761,-4.05877309643723,-3.07083520987508,-3.60413822565885,-4.4780542604016,-3.82256973242055,-4.55977081828932,-3.95323685399931,-4.14871198568964,-3.79740163310934,-3.97773811942734,-3.78981640712578,-3.99144269778046,-4.08630060022707,-4.24697317174029,-4.76866215186616,-4.20272969618708,-4.00483345564041,-4.6108298157024,-5.05662358133165,-4.58940831997903,-5.00424677166959,-4.6067769346768,-4.67897084835717,-4.81460529769571,-4.80692533720375,-4.51850273019477,-4.78571711942368,-4.40198425267093,-3.85489682313967,-4.20117989341911,-2.80936468772296,-3.09694534144009,-3.60242128376109,-4.61103810350031,-4.05884799824568,-2.95369093826455,-3.18071912062003,-3.65131939834262,-3.70013455844785,-4.74171455097289,-4.32073863880376,-3.58151816826193
"08bd45c0807b6fb44faaa54fb53e4213",-3.71646864899142,-3.84042935224114,-3.39239883321422,-3.10462126119661,-3.37006340852664,-2.91862385313702,-2.94049140584331,-2.81611469889908,-3.06731235514906,-2.86047432390188,-2.84167945102828,-2.84486351331184,-2.64269737407934,-3.15804828391435,-3.45822688069732,-3.74637581477656,-3.65839798012139,-4.23394781222209,-3.9262076404201,-3.91743912115727,-4.35732649193468,-4.38335907990766,-4.90387397274623,-5.19306471993729,-5.12503034683979,-5.8023341483847,-5.73947131706471,-6.00998758369854,-8.79865596908919,-6.36850874699424,-8.83433480150228,-6.57641982646608,-8.81866893805665,-8.8321102113815,-8.81044229634566,-8.8453726026403,-8.22243906654793,-8.85278732839173,-8.85773300517452,-8.88755584767352,-8.88361446040242,-8.86553305321552,-8.86957239937667,-6.78407991762092,-8.85537803928356,-5.13478952490818,-5.33471218426275,-4.38107831786502,-5.53685532706313,-3.65198718271902,-2.22181013530891,-2.32242063722434
"37f0f50bbe241beb5ca3703a962a8e8d",-4.22149775558412,-3.81815652692072,-3.91253279047983,-4.08135917620299,-4.51826269970553,-4.70449613678735,-4.70613395332414,-4.46728458136331,-4.56513776908485,-4.70839699834776,-4.18556908907065,-4.45967859031215,-4.62117403517719,-4.81564559890672,-4.71708810219208,-4.93457670277263,-4.85093700919173,-4.52770950785906,-4.82504308843418,-4.59188434927644,-4.84926910247829,-4.69683737451392,-4.60974792741729,-4.8146204101703,-4.82354715039997,-4.34981505532507,-4.46904783865925,-4.50710010359294,-4.88447800635038,-4.84451062380302,-4.69567362711638,-4.59166353893215,-4.18025085404803,-3.545932856084,-3.19424562732864,-2.60970468646595,-2.46203879135055,-2.6768881316626,-2.64373356056209,-2.80055889593616,-2.78373689635681,-3.09469751724861,-3.45583600430982,-3.70053007133391,-4.20885143383812,-4.7556165342516,-5.15507665298616,-4.86247174464004,-4.76115846211489,-4.05613735902652,-3.99370654424835,-4.14878402762114
"1aad9c2d080f1285de75d84d1b96f65b",-5.30220514815892,-5.69227979009997,-5.51812201659673,-5.45715094203478,-5.72984207093957,-5.87714589826452,-5.70344425321457,-5.54489502508489,-5.89926114341593,-5.17604700516093,-5.29761712143364,-4.70201259767805,-4.69641366640986,-4.84573682748522,-4.56907186581561,-4.63195120866573,-4.25451253918082,-4.87714330956222,-4.0569226548756,-4.12941370638002,-4.75497470021146,-3.94040937641572,-3.70776773863414,-3.84082288927232,-3.58071436917941,-4.15566580545298,-3.69889549734405,-3.84353761936188,-3.52807290109446,-3.17771954988353,-3.47469810546025,-3.29722865467715,-3.36304931370539,-3.33832899083337,-3.66356164612965,-3.83766686352504,-3.93344331978511,-3.57066472564127,-3.26648709117047,-3.70342199542286,-3.90174411381747,-3.63381967693091,-2.99971266811077,-3.09345785393618,-3.7653929939536,-3.98938160442838,-4.50801620215819,-4.09404689887714,-3.68005833459953,-3.64975438856019,-3.78216392227892,-4.28848610582541
"4da62986df30d31d35fe1a57ca42739d",-4.3784154711014,-3.84607259237991,-3.72041906366958,-3.91044873320377,-4.02367944954279,-4.33018701431481,-4.23959375563963,-3.88585611314814,-3.99561864551495,-4.53394267669972,-4.57945008492787,-4.54460999508563,-4.7583257958522,-5.04783592457102,-4.87645137290046,-4.82554066512007,-4.37093271539005,-3.80150468714675,-3.76999407229318,-3.51733005740134,-3.6826489043633,-3.40767210184497,-3.51969700638539,-3.78501274697815,-3.73044402999525,-3.74590512151073,-3.76437628615295,-3.73996057002992,-3.51270562790622,-3.80764722643286,-3.36606170631464,-3.55754738212121,-3.35198159501343,-3.25137156311381,-3.37926550499559,-3.37329458773579,-3.52763059645522,-3.77862620148247,-4.17448341911931,-4.27401067266867,-4.31967003176182,-4.50037448254522,-4.98644482298544,-5.2760338867026,-5.27577547687735,-5.07888314337833,-5.04269051724302,-4.71920817502503,-5.59263806873979,-3.80317718633779,-3.61023939804318,-3.83792232453475
"f3adc35cb1fc524f48eba2a0ea2c2b07",-4.1664019157737,-4.23640150074977,-3.86729773908754,-3.46261169905998,-4.03565347426298,-3.93492998130189,-3.99301452633846,-4.08447543675913,-4.48681132668235,-4.55853287517976,-4.54535980604647,-4.26785838134198,-4.18311663439494,-4.15242141195974,-4.43533669932218,-4.33700652880841,-4.39769564279086,-4.77163164405557,-4.45533408433863,-4.33481740520774,-4.33320705830721,-4.27256298046211,-4.47108186174917,-4.35248049058007,-4.5528068005407,-5.31493673830341,-4.69210312852927,-4.81573160191688,-4.44205471101315,-4.49700098316464,-4.06277295132592,-3.73584034948059,-4.25945238855514,-4.03434235203134,-4.16983024632494,-4.13541343984446,-4.32699235436112,-4.07273172605746,-4.6057920021897,-4.48854647805155,-4.06647759043933,-3.96499489019425,-4.15397366379703,-3.72277934244825,-3.57878895279982,-4.05715893534523,-3.53927020238093,-2.8052253572024,-2.89003601842684,-4.3514223727098,-4.76643833358421,-4.95557551691323
"04b4ed8ceabf387ba2caa3e54509965d",-3.83757029121794,-3.83481645470495,-3.92708146930235,-4.12623792599805,-4.28277946982135,-4.37312889925402,-4.24649421646647,-4.48414134217254,-4.2432103656983,-4.52426996790043,-5.95394239059028,-5.17299395434134,-3.3508798194996,-2.94955152849063,-2.8030031644433,-2.73547633776265,-3.35595967620014,-3.48746644063211,-4.00943101088865,-4.33083653413607,-4.38202663467388,-4.39239866765624,-4.70299918503702,-4.5654868658487,-4.6083290333801,-4.64498828694527,-4.59048846698402,-4.53712804690572,-4.51449775005656,-4.23053100915802,-4.35474611752174,-4.75394097159654,-4.70756077854569,-5.01466755762419,-4.74387755404985,-4.63409134259184,-4.2999670919235,-4.56657439381009,-4.72891738260694,-4.90787521031989,-5.07960240035596,-5.07115455478734,-5.31534144245949,-5.22168258797196,-5.12750991248762,-5.28978103552575,-4.90516970330962,-9.12708421052447,-5.26498444094497,-4.9319250316565,-3.91920343068036,-3.86987576477887
"ff289c73ac6541ac56707936f501a2cd",-3.99062878377715,-3.81815652692072,-3.33404613132185,-4.18429279888504,-9.21100878582723,-9.23318177330657,-7.74322151618544,-9.25451332824669,-6.46005115723117,-5.09694147384663,-2.89854712450949,-3.81478131321293,-4.54591001749708,-3.16715153579984,-2.98873487579651,-3.12500460925813,-3.67852871271069,-3.6307580098641,-4.14478680011935,-3.79450035253589,-3.46998821253826,-4.1120441393215,-3.8313699111423,-3.76059659881792,-3.86280998764108,-3.20046563427532,-3.74051831090774,-4.05876611079448,-4.78841123334092,-4.77772195118624,-5.08230558168793,-5.04377514317479,-4.18372185967455,-3.84262188735459,-3.655013672295,-3.521071355058,-4.31339084228374,-4.52513119854573,-6.12724883484008,-6.68773185500417,-9.27553592072312,-9.25745533364169,-9.26149449530469,-9.25201303774716,-9.24730078684766,-9.1718138430991,-9.20282957836739,-9.14727564307253,-9.19563004935012,-6.62726947340095,-5.72475884095575,-4.17190443312071
"7311eb1c24e6b824f722d125c3af3477",-4.65215849550396,-4.25722995291885,-3.96893521464419,-4.01908207772155,-4.07555373058033,-4.53240126727422,-4.1412770801788,-3.8576937190836,-4.02069106451912,-4.42787493715669,-4.46258986523279,-4.68992703932111,-4.92438346575425,-5.06664699900467,-4.84921380141004,-4.8992284390508,-4.4873749551354,-3.85918678822646,-3.76999407229318,-3.67601353686027,-3.73486456735576,-3.73862379005054,-3.8230288806484,-4.17979283603537,-4.33901519600703,-4.29976845591401,-4.36480471703327,-4.32257002964717,-4.17291840147606,-4.2267523374557,-3.95490002978454,-3.88328898611234,-3.82822122841569,-3.74960637248818,-3.72770390922308,-3.75184430654009,-3.74563490297457,-4.00252162823525,-4.10693552759061,-4.42199433180174,-4.69569847370114,-4.7908289177435,-5.56100595283828,-5.59008916592013,-5.8733583660254,-5.84047393311169,-5.88825057294084,-5.30962227224245,-9.20109898600603,-4.43831333744722,-4.23055410299289,-4.34618691825426
"5e881daab846993e2a1262bd76e598f2",-7.45835915275654,-9.19917453745527,-6.96463587645692,-6.80837683500186,-7.47775848880832,-9.27888829324777,-9.2874732742325,-8.17559450363649,-7.98109859852216,-6.99087018569264,-6.40962648601055,-5.86897091476088,-5.45575378167056,-4.81564559890672,-4.32507828280299,-3.54127433427775,-3.2214185582625,-2.63192796890664,-2.51829366582074,-2.71967919137807,-2.92550896189575,-2.75342175746023,-2.87971294882028,-3.18477880525562,-3.47416502724071,-3.68563242999037,-3.82651425832305,-4.0524078067459,-4.29869937208413,-4.5118334271652,-4.570598841923,-4.76573721176062,-5.12474007567815,-5.38867022416493,-5.45979563128524,-5.68012385112437,-6.15715552367411,-6.6140072265707,-6.49081837067309,-6.7619288307626,-7.23975323520843,-9.3031617488696,-9.30720089335347,-8.57678198282789,-8.56722068501589,-8.00252686826431,-9.24853623287177,-7.34683098735282,-7.89857022290078,-4.94754017519674,-4.04051968631148,-3.70831359893957
