"ID","DonorA_Stool123","DonorA_Stool125","DonorA_Stool126","DonorA_Stool127","DonorA_Stool128","DonorA_Stool129","DonorA_Stool134","DonorA_Stool135","DonorA_Stool136","DonorA_Stool138","DonorA_Stool139","DonorA_Stool140","DonorA_Stool141","DonorA_Stool142","DonorA_Stool143","DonorA_Stool144","DonorA_Stool146","DonorA_Stool147","DonorA_Stool149","DonorA_Stool150","DonorA_Stool151","DonorA_Stool152","DonorA_Stool153","DonorA_Stool154","DonorA_Stool155","DonorA_Stool156","DonorA_Stool158","DonorA_Stool159","DonorA_Stool160","DonorA_Stool161","DonorA_Stool162","DonorA_Stool163","DonorA_Stool164","DonorA_Stool165","DonorA_Stool166","DonorA_Stool167","DonorA_Stool168","DonorA_Stool169","DonorA_Stool170","DonorA_Stool171","DonorA_Stool172","DonorA_Stool173","DonorA_Stool174","DonorA_Stool175","DonorA_Stool176","DonorA_Stool177","DonorA_Stool178","DonorA_Stool179","DonorA_Stool180","DonorA_Stool181","DonorA_Stool182","DonorA_Stool183","DonorA_Stool184","DonorA_Stool185","DonorA_Stool186","DonorA_Stool187","DonorA_Stool284","DonorA_Stool285","DonorA_Stool286","DonorA_Stool287"
"OTU_1464",2,1,9,2,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,1,8,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"OTU_386",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_298",2,0,2,0,0,1,2,2,0,4,4,4,2,0,2,2,0,3,1,2,1,3,9,8,1,0,1,0,2,3,1,0,1,0,2,2,1,7,2,3,2,1,1,3,5,5,4,1,6,2,2,0,3,5,2,4,2,4,6,1
"OTU_28",60,45,31,73,33,23,35,39,85,68,69,127,69,93,213,59,130,92,27,32,68,129,100,133,26,22,34,71,65,56,96,61,46,40,61,34,41,51,101,115,137,72,9,64,145,96,124,154,62,71,88,166,140,159,133,138,178,103,110,50
"OTU_254",0,1,1,0,18,3,10,1,4,8,11,13,6,3,4,2,8,1,0,1,0,7,7,10,1,5,4,2,3,4,0,0,3,4,2,3,1,2,1,3,1,11,3,4,4,4,0,1,3,6,10,15,5,4,4,2,4,3,7,2
"OTU_1081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_2457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1984",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_438",1,0,1,0,0,0,1,2,0,1,0,1,1,4,0,0,1,2,0,3,0,0,1,0,2,0,0,1,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,3,2,0,3,0,0,0,1,0,0,0,0,0,0,0
"OTU_658",0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"OTU_151",1,1,2,1,1,0,0,8,3,5,8,10,10,3,12,3,2,6,9,9,14,9,6,20,4,4,1,7,2,5,2,0,6,4,3,7,2,4,0,4,7,30,2,4,12,10,6,15,11,11,8,3,19,11,15,20,26,16,132,16
"OTU_2500",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
